gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attObxCentre,attRfTarget,attBxRight,attOboxTarget,attSvLowLeft,interceptionsInBox,attMissRight,attemptsObox,attOboxMiss,contentiousDecision,attHdTarget,errorLeadToShot,sixYardBlock,punches,attSvHighCentre,blockedScoringAtt,accurateCornersIntobox,handBall,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attCmissRight,attOboxBlocked,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,attMissHighRight,cleanSheet,goodHighClaim,goalAssist,totalKeeperSweeper,attRfGoal,defenderGoals,goalsOpenplay,attAssistSetplay,attIboxGoal,goalAssistIntentional,totalHighClaim,forwardGoals,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,clearanceOffLine,goalsConcededObox,midfielderGoals,attFreekickTotal,freekickTotal,hitWoodwork,attFreekickTarget,attFreekickMiss,ptsGainedLosingPos,postScoringAtt,attIboxPost,attOboxGoal,accurateFreekickCross,penaltyConceded,attPostHigh,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attSvHighRight,attSvHighLeft,attPostLeft,attOboxPost,accuratePullBack,shotFastbreak,totalFastbreak,ownGoals,attFastbreak,foulThrowIn,attIboxOwnGoal,attGoalHighLeft,errorLeadToGoal,attLgCentre,secondYellow,attPostRight,penaltySave,goalFastbreak,attGoalHighRight,attFreekickGoal,attCorner,attCmissHighRight,attPenTarget,penaltyWon,attFreekickPost
11,918997,2017-11-04 15:00:00,"St. James' Park, Newcastle",52237,Home,Newcastle United,Bournemouth,0,1,L,0,0,0,0,2.0,52.0,,35.0,28.0,6.0,8.0,4.0,166.0,6.0,8.0,,14.0,4.0,66.0,147.0,69.0,16.0,36.0,2.0,,1.0,26.0,12.0,28.0,10.0,14.0,31.0,164.0,0.0,133.0,11.0,4.0,1.0,49.0,47.0,6.0,61.0,16.0,17.0,7.0,147.0,,11.0,80.0,569.0,11.0,12.0,17.0,12.0,256.0,17.0,1.0,11.0,15.0,2.0,5.0,8.0,14.0,345.0,71.0,,77359,4.0,118.0,,8.0,2.0,136.0,5.0,,17.0,11.0,61.0,,1.0,5.0,4.0,11.0,5.0,7.0,1.0,80.0,276.0,12.0,5.0,37.0,85.0,,,0.0,2.0,9.0,5.0,1.0,6.0,0.0,3.0,1.0,4.0,48.0,12.0,2.0,3.0,1.0,4.0,44.0,11.0,373.0,12.0,8.0,12.0,9.0,35.0,3.0,263.0,4.0,14.0,31.0,82.0,25.0,5.0,15.0,19.0,1.0,12.0,3.0,10.0,5.0,9.0,11.0,3.0,8.0,,1.0,2.0,1.0,1.0,3.0,8.0,5.0,1.0,2.0,,1.0,,2.0,3.0,3.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,919010,2017-11-18 17:30:00,"Old Trafford, Manchester",75035,Away,Newcastle United,Manchester United,1,4,L,1,2,0,0,2.0,51.0,,25.0,34.0,5.0,6.0,3.0,133.0,4.0,12.0,2.0,10.0,5.0,83.0,122.0,53.0,12.0,14.0,1.0,2.0,2.0,12.0,13.0,34.0,4.0,14.0,25.0,132.0,0.0,91.0,9.0,1.0,2.0,38.0,28.0,6.0,50.0,8.0,14.0,1.0,122.0,2.0,14.0,78.0,526.0,8.0,12.0,17.0,9.0,245.0,29.0,,8.0,18.0,1.0,3.0,4.0,12.0,319.0,46.0,,77359,4.0,132.0,1.0,5.0,,150.0,5.0,1.0,14.0,10.0,50.0,,1.0,1.0,4.0,9.0,2.0,5.0,,62.0,260.0,10.0,12.0,33.0,68.0,,1.0,0.0,4.0,11.0,3.0,4.0,2.0,0.0,2.0,1.0,1.0,35.3,11.0,1.0,1.0,1.0,4.0,35.0,4.0,344.0,9.0,10.0,16.0,6.0,20.0,3.0,206.0,5.0,13.0,13.0,56.0,13.0,6.0,18.0,18.0,4.0,11.0,3.0,17.0,6.0,9.0,4.0,1.0,6.0,2.0,1.0,3.0,1.0,,4.0,6.0,3.0,,,,,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,2.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,919018,2017-11-25 15:00:00,"St. James' Park, Newcastle",52188,Home,Newcastle United,Watford,0,3,L,0,2,0,0,1.0,69.0,,29.0,22.0,6.0,8.0,2.0,180.0,3.0,11.0,3.0,11.0,2.0,111.0,174.0,64.0,12.0,23.0,2.0,,1.0,24.0,8.0,22.0,6.0,18.0,37.0,192.0,0.0,151.0,8.0,1.0,3.0,51.0,50.0,6.0,64.0,18.0,20.0,5.0,174.0,1.0,10.0,125.0,699.0,11.0,13.0,29.0,21.0,361.0,30.0,2.0,9.0,13.0,1.0,1.0,5.0,26.0,455.0,73.0,1.0,77359,6.0,189.0,1.0,10.0,,204.0,4.0,2.0,20.0,9.0,61.0,,4.0,4.0,4.0,11.0,3.0,5.0,,71.0,378.0,13.0,4.0,29.0,82.0,2.0,,0.0,3.0,3.0,2.0,3.0,4.0,0.0,3.0,,2.0,52.4,21.0,2.0,2.0,1.0,4.0,38.0,6.0,480.0,21.0,15.0,15.0,5.0,44.0,4.0,300.0,4.0,18.0,28.0,97.0,32.0,1.0,13.0,12.0,3.0,11.0,3.0,23.0,1.0,13.0,6.0,2.0,4.0,1.0,,,,3.0,2.0,4.0,1.0,,,,2.0,,,5.0,,1.0,,,,,,,1.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14,919028,2017-11-28 20:00:00,"The Hawthorns, West Bromwich",25534,Away,Newcastle United,West Bromwich Albion,2,2,D,0,1,0,0,2.0,75.0,,30.0,29.0,6.0,5.0,2.0,173.0,7.0,6.0,3.0,10.0,4.0,99.0,158.0,62.0,14.0,27.0,,2.0,1.0,21.0,16.0,29.0,6.0,10.0,37.0,213.0,0.0,148.0,12.0,1.0,2.0,64.0,67.0,5.0,61.0,15.0,17.0,8.0,158.0,1.0,5.0,102.0,654.0,7.0,5.0,14.0,7.0,325.0,36.0,,10.0,21.0,0.0,2.0,5.0,25.0,415.0,64.0,,77359,3.0,136.0,,5.0,1.0,158.0,6.0,,17.0,6.0,72.0,,1.0,2.0,4.0,19.0,3.0,6.0,,70.0,342.0,12.0,11.0,32.0,80.0,1.0,,0.0,5.0,1.0,2.0,2.0,1.0,0.0,5.0,,4.0,52.1,22.0,3.0,4.0,,4.0,45.0,6.0,435.0,7.0,16.0,14.0,5.0,31.0,3.0,298.0,3.0,9.0,27.0,104.0,28.0,1.0,21.0,18.0,2.0,9.0,3.0,12.0,1.0,10.0,6.0,1.0,9.0,1.0,,3.0,,,3.0,9.0,2.0,,,,,,,5.0,2.0,,1.0,,,,,2.0,1.0,4.0,,,,1.0,,,1.0,,,1.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,2.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
15,919036,2017-12-02 12:30:00,"Stamford Bridge, London",41538,Away,Newcastle United,Chelsea,1,3,L,1,2,0,0,1.0,65.0,,24.0,37.0,3.0,3.0,6.0,138.0,2.0,6.0,,6.0,2.0,86.0,135.0,41.0,8.0,20.0,,,2.0,11.0,10.0,37.0,4.0,7.0,24.0,129.0,0.0,103.0,13.0,3.0,,56.0,52.0,2.0,63.0,7.0,19.0,2.0,135.0,,18.0,103.0,579.0,5.0,7.0,8.0,13.0,285.0,24.0,,4.0,18.0,1.0,5.0,4.0,16.0,367.0,51.0,,77359,1.0,172.0,,5.0,1.0,191.0,11.0,,19.0,7.0,68.0,,1.0,1.0,5.0,13.0,5.0,4.0,1.0,55.0,299.0,8.0,18.0,22.0,59.0,,,0.0,,11.0,6.0,3.0,,0.0,1.0,2.0,1.0,34.4,13.0,1.0,8.0,1.0,5.0,25.0,4.0,390.0,13.0,14.0,7.0,4.0,14.0,1.0,210.0,4.0,7.0,10.0,57.0,21.0,4.0,18.0,17.0,3.0,6.0,3.0,10.0,4.0,10.0,4.0,1.0,5.0,,1.0,1.0,1.0,,1.0,5.0,3.0,1.0,,,,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
16,919048,2017-12-09 17:30:00,"St. James' Park, Newcastle",52117,Home,Newcastle United,Leicester City,2,3,L,1,1,0,0,1.0,57.0,1.0,28.0,22.0,5.0,5.0,3.0,159.0,3.0,9.0,2.0,8.0,4.0,76.0,153.0,71.0,10.0,24.0,,1.0,2.0,12.0,15.0,22.0,5.0,6.0,23.0,116.0,0.0,109.0,10.0,2.0,1.0,39.0,44.0,4.0,40.0,7.0,22.0,2.0,153.0,1.0,7.0,62.0,519.0,4.0,11.0,17.0,10.0,215.0,19.0,,9.0,11.0,2.0,1.0,4.0,21.0,312.0,60.0,,77359,4.0,117.0,,4.0,,145.0,7.0,1.0,22.0,8.0,76.0,,,1.0,2.0,9.0,7.0,4.0,,63.0,230.0,8.0,22.0,33.0,69.0,1.0,,0.0,1.0,5.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,37.8,15.0,1.0,3.0,1.0,2.0,36.0,6.0,337.0,10.0,9.0,12.0,4.0,24.0,2.0,204.0,3.0,5.0,33.0,56.0,31.0,3.0,11.0,21.0,2.0,6.0,3.0,20.0,3.0,13.0,6.0,1.0,4.0,1.0,,2.0,,1.0,2.0,5.0,2.0,,,,1.0,,,2.0,2.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,,1.0,,,,,2.0,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,3.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
17,919060,2017-12-13 19:45:00,"St. James' Park, Newcastle",51042,Home,Newcastle United,Everton,0,1,L,0,1,1,0,2.0,63.0,,31.0,7.0,9.0,7.0,3.0,194.0,4.0,11.0,4.0,8.0,4.0,120.0,192.0,72.0,16.0,37.0,2.0,1.0,1.0,24.0,10.0,7.0,3.0,9.0,44.0,210.0,0.0,142.0,10.0,3.0,2.0,81.0,80.0,6.0,89.0,21.0,21.0,9.0,192.0,,4.0,106.0,717.0,7.0,16.0,18.0,10.0,378.0,24.0,,11.0,4.0,1.0,,2.0,41.0,486.0,67.0,,77359,5.0,186.0,,10.0,2.0,218.0,5.0,,21.0,7.0,74.0,,,2.0,3.0,13.0,3.0,2.0,,75.0,392.0,11.0,4.0,39.0,86.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,8.0,1.0,3.0,,2.0,55.0,28.0,2.0,6.0,2.0,3.0,41.0,4.0,509.0,10.0,18.0,21.0,4.0,37.0,2.0,315.0,5.0,9.0,34.0,96.0,28.0,,4.0,17.0,1.0,12.0,3.0,18.0,,9.0,4.0,2.0,8.0,2.0,,2.0,1.0,1.0,1.0,9.0,,,,,,,,8.0,1.0,1.0,,,,,,,1.0,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
18,919064,2017-12-16 15:00:00,"Emirates Stadium, London",59379,Away,Newcastle United,Arsenal,0,1,L,0,1,0,0,,67.0,1.0,36.0,41.0,2.0,4.0,4.0,145.0,4.0,8.0,1.0,8.0,2.0,53.0,142.0,79.0,10.0,26.0,2.0,1.0,,14.0,12.0,41.0,5.0,3.0,27.0,108.0,0.0,112.0,9.0,2.0,,30.0,39.0,6.0,32.0,9.0,22.0,4.0,142.0,,18.0,69.0,511.0,7.0,17.0,13.0,14.0,180.0,33.0,,13.0,18.0,1.0,7.0,2.0,11.0,269.0,66.0,,77359,2.0,97.0,,5.0,1.0,113.0,3.0,,22.0,11.0,71.0,1.0,,2.0,1.0,10.0,5.0,8.0,3.0,76.0,201.0,12.0,21.0,34.0,70.0,1.0,,0.0,2.0,7.0,3.0,1.0,7.0,0.0,2.0,,2.0,28.7,8.0,1.0,3.0,1.0,1.0,36.0,5.0,299.0,14.0,10.0,11.0,4.0,28.0,2.0,200.0,6.0,3.0,38.0,52.0,25.0,1.0,18.0,21.0,1.0,8.0,3.0,15.0,1.0,15.0,5.0,,6.0,1.0,1.0,,,2.0,1.0,6.0,2.0,,1.0,,,1.0,,4.0,2.0,1.0,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,919082,2017-12-23 15:00:00,"London Stadium, London",56955,Away,Newcastle United,West Ham United,3,2,W,1,1,0,0,,52.0,2.0,21.0,56.0,5.0,5.0,4.0,131.0,1.0,4.0,3.0,5.0,4.0,32.0,137.0,67.0,11.0,37.0,,1.0,1.0,14.0,15.0,56.0,3.0,8.0,19.0,71.0,0.0,88.0,12.0,3.0,1.0,28.0,51.0,2.0,35.0,11.0,16.0,4.0,137.0,3.0,9.0,51.0,462.0,3.0,19.0,11.0,8.0,140.0,28.0,,9.0,32.0,1.0,7.0,3.0,19.0,222.0,51.0,,92170,5.0,85.0,1.0,6.0,1.0,107.0,7.0,,16.0,9.0,81.0,,,,1.0,7.0,10.0,6.0,2.0,69.0,155.0,9.0,17.0,39.0,69.0,,,0.0,2.0,6.0,2.0,2.0,5.0,0.0,1.0,,,36.5,15.0,,1.0,,1.0,24.0,3.0,249.0,8.0,12.0,8.0,5.0,18.0,2.0,156.0,6.0,7.0,31.0,45.0,14.0,5.0,32.0,23.0,1.0,8.0,3.0,8.0,5.0,7.0,3.0,,6.0,1.0,,1.0,,1.0,,6.0,1.0,1.0,,,,1.0,,2.0,,,2.0,1.0,1.0,1.0,,3.0,,2.0,,2.0,,,,2.0,2.0,,2.0,,2.0,,2.0,2.0,3.0,,,,,,,1.0,3.0,2.0,2.0,2.0,,,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,
20,919089,2017-12-27 19:45:00,"St. James' Park, Newcastle",52311,Home,Newcastle United,Manchester City,0,1,L,0,1,0,0,1.0,54.0,1.0,25.0,23.0,1.0,3.0,5.0,122.0,3.0,11.0,1.0,5.0,2.0,36.0,128.0,51.0,6.0,15.0,1.0,,2.0,6.0,5.0,23.0,3.0,1.0,22.0,72.0,0.0,62.0,11.0,4.0,1.0,43.0,21.0,2.0,28.0,3.0,20.0,1.0,128.0,,12.0,42.0,392.0,4.0,11.0,7.0,11.0,115.0,29.0,,12.0,10.0,1.0,3.0,3.0,19.0,198.0,33.0,,61316,2.0,64.0,,1.0,,87.0,6.0,,20.0,14.0,52.0,,1.0,4.0,3.0,10.0,10.0,6.0,,61.0,133.0,4.0,13.0,28.0,57.0,,,0.0,,8.0,4.0,1.0,1.0,0.0,2.0,,2.0,22.0,18.0,2.0,2.0,1.0,3.0,27.0,3.0,228.0,11.0,12.0,8.0,3.0,9.0,2.0,147.0,3.0,1.0,22.0,23.0,12.0,,10.0,14.0,1.0,5.0,3.0,14.0,,11.0,3.0,,2.0,1.0,,1.0,,1.0,1.0,3.0,1.0,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,
21,919099,2017-12-30 15:00:00,"St. James' Park, Newcastle",52209,Home,Newcastle United,Brighton and Hove Albion,0,0,D,0,0,0,0,1.0,70.0,2.0,25.0,20.0,6.0,4.0,3.0,182.0,4.0,12.0,2.0,7.0,2.0,78.0,177.0,62.0,11.0,31.0,2.0,,3.0,19.0,8.0,20.0,3.0,8.0,37.0,174.0,0.0,138.0,11.0,2.0,2.0,49.0,88.0,4.0,67.0,16.0,20.0,3.0,177.0,1.0,6.0,84.0,614.0,6.0,12.0,14.0,9.0,281.0,24.0,1.0,10.0,11.0,2.0,2.0,3.0,36.0,391.0,76.0,,61316,4.0,122.0,1.0,11.0,,148.0,6.0,,20.0,7.0,64.0,,2.0,1.0,6.0,20.0,4.0,6.0,,69.0,292.0,10.0,10.0,39.0,95.0,1.0,,0.0,1.0,6.0,1.0,,7.0,0.0,3.0,,2.0,45.3,28.0,1.0,4.0,,6.0,46.0,3.0,411.0,9.0,8.0,17.0,5.0,31.0,1.0,282.0,3.0,5.0,28.0,78.0,32.0,3.0,11.0,12.0,,9.0,3.0,17.0,3.0,8.0,3.0,1.0,7.0,,,,1.0,2.0,1.0,7.0,4.0,,1.0,,,,,4.0,1.0,1.0,,,,,,,,3.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,919110,2018-01-01 15:00:00,"bet365 Stadium, Stoke",28471,Away,Newcastle United,Stoke City,1,0,W,0,0,0,0,1.0,63.0,2.0,26.0,39.0,5.0,10.0,4.0,155.0,4.0,10.0,4.0,10.0,6.0,73.0,155.0,65.0,14.0,30.0,3.0,2.0,2.0,12.0,12.0,39.0,3.0,7.0,44.0,95.0,0.0,104.0,11.0,4.0,2.0,32.0,51.0,8.0,46.0,9.0,17.0,2.0,155.0,2.0,6.0,61.0,542.0,8.0,8.0,23.0,12.0,208.0,30.0,,7.0,24.0,1.0,4.0,2.0,20.0,312.0,63.0,,92170,5.0,132.0,2.0,5.0,,162.0,8.0,2.0,17.0,10.0,69.0,,3.0,,5.0,15.0,5.0,5.0,1.0,75.0,223.0,10.0,14.0,31.0,62.0,,,0.0,1.0,10.0,2.0,,2.0,0.0,2.0,,2.0,41.2,15.0,1.0,3.0,2.0,5.0,26.0,5.0,335.0,12.0,9.0,21.0,5.0,31.0,4.0,185.0,7.0,6.0,28.0,48.0,22.0,1.0,24.0,17.0,,10.0,3.0,15.0,1.0,9.0,5.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,,4.0,1.0,1.0,1.0,,,2.0,2.0,3.0,2.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
23,919119,2018-01-13 15:00:00,"St. James' Park, Newcastle",51444,Home,Newcastle United,Swansea City,1,1,D,0,0,0,0,,58.0,1.0,26.0,19.0,3.0,9.0,2.0,147.0,5.0,5.0,3.0,8.0,4.0,91.0,134.0,59.0,12.0,40.0,3.0,2.0,1.0,15.0,16.0,19.0,4.0,9.0,36.0,137.0,0.0,107.0,11.0,1.0,1.0,57.0,46.0,4.0,47.0,11.0,21.0,2.0,134.0,2.0,6.0,84.0,543.0,8.0,5.0,19.0,8.0,267.0,28.0,,9.0,6.0,0.0,3.0,4.0,18.0,349.0,57.0,2.0,92170,5.0,144.0,2.0,8.0,,164.0,6.0,,21.0,9.0,65.0,1.0,2.0,2.0,2.0,12.0,2.0,4.0,2.0,73.0,276.0,10.0,7.0,34.0,81.0,,,0.0,4.0,5.0,3.0,1.0,2.0,0.0,4.0,2.0,3.0,42.2,14.0,2.0,4.0,2.0,2.0,38.0,4.0,369.0,8.0,6.0,15.0,7.0,31.0,4.0,220.0,6.0,8.0,23.0,63.0,23.0,3.0,6.0,22.0,1.0,11.0,2.0,7.0,3.0,13.0,4.0,1.0,3.0,2.0,1.0,,,,3.0,3.0,3.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,,,,,,,,1.0,,,,,,,
24,919128,2018-01-20 17:30:00,"Etihad Stadium, Manchester",54452,Away,Newcastle United,Manchester City,1,3,L,0,1,0,0,,44.0,1.0,21.0,41.0,1.0,5.0,6.0,100.0,2.0,10.0,,3.0,4.0,41.0,131.0,47.0,6.0,17.0,3.0,2.0,,7.0,13.0,41.0,,2.0,14.0,65.0,0.0,67.0,10.0,2.0,,36.0,18.0,2.0,23.0,7.0,21.0,2.0,131.0,2.0,13.0,29.0,397.0,2.0,9.0,13.0,19.0,100.0,23.0,,8.0,14.0,1.0,2.0,1.0,16.0,160.0,39.0,1.0,92170,3.0,51.0,1.0,5.0,1.0,64.0,6.0,1.0,21.0,14.0,71.0,,3.0,2.0,2.0,14.0,8.0,4.0,,62.0,114.0,4.0,22.0,31.0,57.0,,,0.0,2.0,18.0,5.0,3.0,2.0,0.0,2.0,1.0,1.0,19.5,10.0,1.0,1.0,2.0,2.0,21.0,,193.0,19.0,14.0,7.0,1.0,14.0,1.0,136.0,4.0,2.0,16.0,34.0,10.0,5.0,14.0,18.0,3.0,5.0,3.0,19.0,5.0,11.0,,,1.0,3.0,,,,3.0,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,
25,919139,2018-01-31 19:45:00,"St. James' Park, Newcastle",50174,Home,Newcastle United,Burnley,1,1,D,0,0,0,0,2.0,66.0,,32.0,43.0,6.0,9.0,2.0,172.0,4.0,8.0,2.0,10.0,4.0,72.0,172.0,80.0,14.0,33.0,2.0,,1.0,19.0,11.0,43.0,4.0,11.0,36.0,166.0,0.0,121.0,15.0,2.0,,90.0,66.0,4.0,62.0,15.0,24.0,6.0,172.0,2.0,7.0,91.0,621.0,8.0,14.0,23.0,9.0,267.0,25.0,1.0,12.0,30.0,1.0,2.0,6.0,25.0,370.0,51.0,,61316,6.0,118.0,3.0,9.0,,142.0,9.0,1.0,24.0,6.0,69.0,,1.0,2.0,7.0,15.0,5.0,3.0,3.0,76.0,280.0,14.0,5.0,40.0,85.0,1.0,,0.0,,4.0,2.0,1.0,3.0,0.0,2.0,,3.0,52.5,20.0,2.0,3.0,1.0,7.0,39.0,7.0,397.0,9.0,7.0,21.0,7.0,29.0,4.0,274.0,5.0,9.0,42.0,76.0,26.0,5.0,30.0,17.0,1.0,7.0,3.0,19.0,5.0,9.0,7.0,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,5.0,3.0,,,1.0,,,,3.0,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,
26,919147,2018-02-04 14:15:00,"Selhurst Park, London",25746,Away,Newcastle United,Crystal Palace,1,1,D,1,0,0,0,2.0,64.0,,31.0,30.0,4.0,7.0,4.0,164.0,4.0,3.0,1.0,10.0,8.0,84.0,160.0,42.0,12.0,31.0,4.0,4.0,1.0,18.0,7.0,30.0,6.0,16.0,29.0,99.0,0.0,89.0,8.0,2.0,1.0,55.0,31.0,8.0,55.0,12.0,25.0,7.0,160.0,1.0,14.0,60.0,567.0,7.0,13.0,14.0,17.0,238.0,36.0,,11.0,8.0,1.0,6.0,2.0,21.0,331.0,51.0,,77359,4.0,158.0,,4.0,1.0,189.0,4.0,1.0,25.0,13.0,73.0,,2.0,3.0,1.0,12.0,6.0,5.0,,77.0,253.0,11.0,15.0,38.0,78.0,2.0,,0.0,1.0,5.0,5.0,1.0,4.0,0.0,3.0,,,45.7,21.0,,2.0,1.0,1.0,33.0,6.0,363.0,17.0,14.0,11.0,2.0,26.0,1.0,192.0,8.0,14.0,19.0,47.0,21.0,5.0,8.0,11.0,1.0,7.0,3.0,9.0,5.0,10.0,6.0,1.0,5.0,5.0,,3.0,,2.0,1.0,5.0,1.0,,,3.0,,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,2.0,1.0,,2.0,,,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
