gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,accurateKeeperSweeper,attMissLeft,divingSave,attSvHighLeft,interceptionsInBox,attHdTarget,totalKeeperSweeper,attSetpiece,attAssistSetplay,punches,handBall,attLfGoal,attGoalLowCentre,attBxRight,freekickCross,sixYardBlock,attCmissHigh,attSvLowRight,attCmissLeft,shieldBallOop,forwardGoals,goalsConcededObox,attGoalLowLeft,contentiousDecision,attSvHighCentre,goalAssistOpenplay,midfielderGoals,attRfGoal,goalsOpenplay,attLgLeft,cleanSheet,attSvLowLeft,accurateFreekickCross,errorLeadToShot,attFreekickTarget,attCmissHighRight,errorLeadToGoal,attGoalLowRight,shotFastbreak,attOboxGoal,ptsGainedLosingPos,totalFastbreak,attFastbreak,foulThrowIn,attObxLeft,attOneOnOne,attGoalHighLeft,attSvHighRight,attLgCentre,penaltyWon,attPenGoal,accuratePullBack,attGoalHighCentre,penaltyConceded,totalPullBack,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,attFreekickGoal,attObxdLeft,attPostRight,attPenMiss,goalFastbreak,attObxdRight
11,2210374,2021-11-06 15:00:00,"Stamford Bridge, London",39798,Away,Burnley,Chelsea,1,1,D,0,1,0,0,1.0,1.0,18.0,52.0,,,,32.0,25.0,2.0,1.0,3.0,4.0,,122.0,9.0,4.0,1.0,1.0,,5.0,,2.0,53.0,114.0,39.0,,5.0,1.0,23.0,1.0,,,10.0,,9.0,,,25.0,2.0,2.0,55.0,102.0,,0.0,89.0,9.0,2.0,50.0,38.0,3.0,54.0,,8.0,20.0,2.0,,3.0,1.0,114.0,1.0,20.0,,56.0,,436.0,3.0,12.0,10.0,,15.0,186.0,19.0,,2.0,11.0,1.0,4.0,10.0,2.0,10.0,262.0,55.0,,98747,2.0,99.0,,5.0,119.0,6.0,20.0,14.0,51.0,,,4.0,,,7.0,5.0,7.0,,70.0,197.0,6.0,11.0,15.0,1.0,65.0,0.0,1.0,14.0,3.0,1.0,,,1.0,1.0,0.0,3.0,1.0,1.0,30.1,10.0,1.0,5.0,,,1.0,,34.0,2.0,2.0,285.0,15.0,,6.0,25.0,2.0,12.0,1.0,1.0,176.0,3.0,2.0,15.0,47.0,21.0,,11.0,17.0,,1.0,4.0,3.0,3.0,,,10.0,2.0,,,2.0,2.0,1.0,6.0,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,2210382,2021-11-20 15:00:00,"Turf Moor, Burnley",18028,Home,Burnley,Crystal Palace,3,3,D,2,3,0,0,3.0,,22.0,61.0,1.0,2.0,1.0,27.0,16.0,5.0,6.0,10.0,5.0,2.0,153.0,13.0,7.0,5.0,3.0,5.0,9.0,1.0,9.0,47.0,142.0,66.0,1.0,15.0,1.0,16.0,4.0,,2.0,24.0,,11.0,,2.0,16.0,3.0,4.0,34.0,123.0,,0.0,93.0,14.0,,63.0,50.0,7.0,48.0,1.0,21.0,15.0,5.0,1.0,6.0,2.0,142.0,1.0,12.0,,63.0,,488.0,4.0,13.0,19.0,,6.0,201.0,25.0,1.0,12.0,7.0,3.0,2.0,4.0,2.0,20.0,292.0,55.0,,98747,7.0,97.0,1.0,9.0,118.0,9.0,15.0,5.0,42.0,1.0,1.0,1.0,3.0,,17.0,6.0,3.0,2.0,71.0,213.0,15.0,6.0,33.0,1.0,68.0,0.0,,6.0,4.0,3.0,,,3.0,5.0,0.0,6.0,3.0,5.0,39.5,17.0,2.0,3.0,1.0,3.0,2.0,,28.0,3.0,,311.0,6.0,1.0,2.0,11.0,4.0,39.0,1.0,2.0,217.0,4.0,3.0,31.0,52.0,28.0,2.0,7.0,15.0,2.0,3.0,7.0,2.0,9.0,2.0,2.0,5.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,6.0,2.0,1.0,,1.0,,1.0,6.0,,2.0,,,,2.0,,1.0,,2.0,1.0,,,1.0,,,2.0,2.0,1.0,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
13,2210394,2022-02-23 19:30:00,"Turf Moor, Burnley",19488,Home,Burnley,Tottenham Hotspur,1,0,W,0,0,0,0,,,25.0,50.0,,1.0,1.0,26.0,35.0,7.0,3.0,8.0,2.0,1.0,112.0,17.0,5.0,15.0,1.0,5.0,13.0,,4.0,86.0,119.0,51.0,,15.0,4.0,18.0,2.0,,1.0,22.0,,2.0,,1.0,35.0,2.0,6.0,26.0,158.0,,0.0,100.0,8.0,,64.0,50.0,8.0,59.0,3.0,20.0,23.0,7.0,,4.0,2.0,119.0,2.0,8.0,,69.0,,551.0,9.0,5.0,20.0,,24.0,246.0,20.0,,6.0,16.0,1.0,0.0,3.0,5.0,15.0,305.0,51.0,,98747,3.0,106.0,2.0,12.0,123.0,6.0,23.0,10.0,54.0,,1.0,3.0,,,14.0,4.0,6.0,1.0,53.0,259.0,8.0,13.0,17.0,4.0,59.0,0.0,1.0,7.0,2.0,1.0,,,,2.0,0.0,5.0,1.0,4.0,34.1,13.0,1.0,6.0,1.0,,5.0,,33.0,3.0,,326.0,24.0,,7.0,12.0,6.0,28.0,,4.0,225.0,8.0,3.0,17.0,71.0,21.0,4.0,16.0,11.0,1.0,,6.0,1.0,23.0,,4.0,14.0,3.0,1.0,,2.0,1.0,,3.0,2.0,,4.0,3.0,,,,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2210407,2021-12-01 19:30:00,"Molineux Stadium, Wolverhampton",30328,Away,Burnley,Wolverhampton Wanderers,0,0,D,0,0,0,0,,,35.0,75.0,1.0,,,28.0,37.0,3.0,4.0,2.0,2.0,1.0,150.0,18.0,3.0,10.0,,1.0,5.0,,1.0,45.0,164.0,60.0,,6.0,2.0,28.0,1.0,,,20.0,,10.0,,,37.0,5.0,1.0,41.0,130.0,,0.0,100.0,7.0,2.0,53.0,58.0,3.0,49.0,1.0,15.0,19.0,4.0,,5.0,2.0,164.0,,8.0,,62.0,,504.0,5.0,9.0,11.0,,9.0,192.0,30.0,,9.0,18.0,,3.0,5.0,2.0,14.0,289.0,54.0,1.0,98747,,75.0,,9.0,99.0,4.0,19.0,10.0,64.0,1.0,,3.0,3.0,,16.0,8.0,5.0,1.0,73.0,202.0,5.0,18.0,36.0,1.0,70.0,0.0,3.0,5.0,1.0,,,,,4.0,0.0,2.0,,,34.8,7.0,,4.0,1.0,3.0,2.0,,26.0,5.0,2.0,306.0,9.0,,8.0,18.0,3.0,31.0,1.0,1.0,227.0,2.0,1.0,26.0,61.0,33.0,2.0,18.0,19.0,,,4.0,3.0,16.0,,2.0,8.0,5.0,,,1.0,2.0,,2.0,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,2210415,2021-12-04 15:00:00,"St. James' Park, Newcastle",51948,Away,Burnley,Newcastle United,0,1,L,0,1,0,0,,,25.0,63.0,3.0,,,35.0,20.0,4.0,6.0,6.0,3.0,,143.0,11.0,3.0,7.0,,4.0,7.0,,1.0,73.0,152.0,64.0,2.0,10.0,2.0,27.0,1.0,,,16.0,,8.0,,,20.0,3.0,4.0,61.0,129.0,2.0,0.0,104.0,9.0,1.0,37.0,55.0,3.0,49.0,,13.0,12.0,4.0,2.0,4.0,2.0,152.0,,12.0,,91.0,,543.0,6.0,7.0,13.0,1.0,10.0,243.0,28.0,,7.0,10.0,,1.0,11.0,4.0,22.0,339.0,73.0,,98747,3.0,128.0,,6.0,148.0,2.0,12.0,6.0,58.0,1.0,,1.0,1.0,,20.0,7.0,3.0,2.0,79.0,254.0,11.0,9.0,18.0,1.0,88.0,0.0,,10.0,,,,,1.0,2.0,0.0,2.0,,2.0,52.2,19.0,1.0,3.0,2.0,1.0,4.0,,45.0,3.0,2.0,356.0,10.0,1.0,7.0,23.0,5.0,36.0,1.0,3.0,224.0,2.0,3.0,31.0,53.0,27.0,2.0,10.0,15.0,,1.0,7.0,3.0,13.0,,2.0,9.0,3.0,2.0,3.0,1.0,1.0,,4.0,1.0,3.0,,1.0,1.0,,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
16,2210424,2021-12-12 14:00:00,"Turf Moor, Burnley",18065,Home,Burnley,West Ham United,0,0,D,0,0,0,0,,,19.0,60.0,,,,32.0,29.0,2.0,2.0,6.0,3.0,,157.0,7.0,4.0,8.0,,3.0,7.0,1.0,1.0,53.0,154.0,60.0,,9.0,1.0,29.0,1.0,,1.0,23.0,,9.0,,,29.0,6.0,5.0,44.0,123.0,,0.0,124.0,13.0,2.0,68.0,36.0,3.0,46.0,2.0,17.0,20.0,3.0,,4.0,2.0,154.0,,9.0,,54.0,,487.0,5.0,7.0,13.0,,6.0,185.0,25.0,1.0,9.0,17.0,,2.0,5.0,4.0,10.0,286.0,73.0,,98747,3.0,80.0,,10.0,107.0,6.0,20.0,12.0,61.0,,,1.0,5.0,,10.0,7.0,7.0,2.0,81.0,199.0,9.0,10.0,34.0,2.0,78.0,0.0,1.0,14.0,3.0,,,,,2.0,0.0,3.0,,3.0,40.1,8.0,2.0,3.0,1.0,5.0,3.0,,35.0,6.0,2.0,310.0,6.0,,7.0,19.0,5.0,29.0,1.0,3.0,226.0,4.0,3.0,24.0,70.0,24.0,2.0,17.0,19.0,,,6.0,3.0,11.0,,2.0,12.0,6.0,2.0,,,3.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
17,2210434,2022-02-05 18:00:00,"Turf Moor, Burnley",19527,Home,Burnley,Watford,0,0,D,0,0,0,0,,,29.0,68.0,1.0,,,33.0,21.0,6.0,5.0,7.0,5.0,2.0,171.0,16.0,4.0,11.0,,2.0,7.0,,2.0,77.0,189.0,57.0,1.0,13.0,2.0,23.0,1.0,,,14.0,,6.0,,1.0,21.0,4.0,5.0,39.0,139.0,1.0,0.0,114.0,16.0,1.0,34.0,72.0,2.0,62.0,,10.0,15.0,6.0,1.0,7.0,3.0,189.0,,7.0,,81.0,,595.0,7.0,6.0,19.0,1.0,6.0,264.0,21.0,1.0,8.0,11.0,,1.0,2.0,5.0,43.0,375.0,65.0,,98747,3.0,135.0,,2.0,159.0,9.0,15.0,6.0,62.0,,,3.0,4.0,,17.0,4.0,1.0,1.0,81.0,270.0,8.0,8.0,35.0,,97.0,0.0,,7.0,4.0,,,,,1.0,0.0,3.0,,2.0,51.6,21.0,2.0,5.0,1.0,4.0,4.0,,42.0,4.0,1.0,391.0,6.0,,6.0,17.0,7.0,37.0,1.0,4.0,246.0,6.0,4.0,24.0,61.0,34.0,2.0,11.0,14.0,,,10.0,1.0,21.0,,2.0,6.0,4.0,2.0,1.0,4.0,1.0,,1.0,,1.0,,,,,,,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
18,2210441,2022-05-19 20:00:00,"Villa Park, Birmingham",40468,Away,Burnley,Aston Villa,1,1,D,1,0,1,0,,1.0,17.0,41.0,4.0,,,25.0,27.0,3.0,2.0,7.0,8.0,4.0,92.0,7.0,4.0,,1.0,4.0,6.0,,5.0,51.0,112.0,36.0,,10.0,1.0,14.0,2.0,,2.0,14.0,,6.0,,2.0,27.0,6.0,2.0,47.0,91.0,,0.0,87.0,20.0,1.0,30.0,35.0,4.0,45.0,,9.0,10.0,3.0,,4.0,,112.0,1.0,12.0,,43.0,,389.0,4.0,3.0,17.0,1.0,2.0,143.0,14.0,,1.0,16.0,,1.0,6.0,2.0,12.0,201.0,48.0,,98747,5.0,71.0,1.0,3.0,86.0,10.0,10.0,14.0,50.0,,,,8.0,,7.0,10.0,7.0,,57.0,158.0,10.0,1.0,6.0,3.0,57.0,0.0,,13.0,4.0,1.0,,,1.0,1.0,1.0,3.0,,2.0,28.7,6.0,1.0,1.0,,8.0,3.0,,25.0,6.0,1.0,231.0,2.0,,9.0,23.0,2.0,25.0,2.0,2.0,159.0,6.0,2.0,15.0,44.0,13.0,8.0,16.0,11.0,,1.0,5.0,3.0,7.0,2.0,8.0,3.0,6.0,2.0,,2.0,4.0,1.0,,,,1.0,2.0,1.0,,,,1.0,2.0,,,,,,1.0,,1.0,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
19,2210453,2022-04-06 19:30:00,"Turf Moor, Burnley",19830,Home,Burnley,Everton,3,2,W,1,2,0,0,,3.0,28.0,52.0,1.0,1.0,1.0,25.0,27.0,3.0,4.0,10.0,2.0,1.0,156.0,10.0,2.0,8.0,3.0,2.0,8.0,1.0,4.0,70.0,181.0,64.0,,13.0,1.0,21.0,1.0,,,24.0,,2.0,,,27.0,8.0,6.0,50.0,124.0,1.0,0.0,133.0,11.0,2.0,38.0,63.0,6.0,46.0,4.0,16.0,22.0,3.0,,2.0,2.0,181.0,3.0,12.0,,65.0,,581.0,5.0,8.0,40.0,,17.0,201.0,26.0,,4.0,11.0,3.0,2.0,8.0,2.0,36.0,305.0,58.0,,98747,3.0,99.0,,13.0,125.0,5.0,22.0,10.0,63.0,,1.0,1.0,4.0,,17.0,4.0,6.0,,69.0,221.0,15.0,12.0,21.0,1.0,75.0,0.0,,6.0,1.0,3.0,,,2.0,3.0,0.0,,3.0,,50.9,30.0,,4.0,3.0,4.0,3.0,,31.0,9.0,3.0,337.0,17.0,,5.0,19.0,6.0,34.0,2.0,4.0,236.0,9.0,5.0,30.0,70.0,15.0,2.0,11.0,11.0,,2.0,10.0,3.0,22.0,,2.0,9.0,9.0,2.0,1.0,1.0,1.0,,4.0,,1.0,2.0,,1.0,,1.0,,2.0,1.0,,,,,,1.0,,,,1.0,2.0,1.0,2.0,2.0,,,,,,,,,1.0,,,3.0,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,
20,2210468,2021-12-30 20:15:00,"Old Trafford, Manchester",73121,Away,Burnley,Manchester United,1,3,L,1,3,0,0,,,19.0,53.0,3.0,,,36.0,23.0,1.0,3.0,9.0,4.0,,140.0,9.0,5.0,1.0,1.0,1.0,8.0,1.0,3.0,82.0,131.0,45.0,,10.0,,21.0,2.0,,1.0,23.0,,6.0,,,23.0,4.0,1.0,39.0,152.0,,0.0,90.0,10.0,,69.0,55.0,5.0,63.0,1.0,19.0,19.0,1.0,,3.0,1.0,131.0,2.0,12.0,,70.0,,535.0,4.0,8.0,17.0,,8.0,264.0,19.0,1.0,8.0,16.0,,0.0,3.0,3.0,12.0,334.0,54.0,2.0,81183,7.0,128.0,2.0,15.0,147.0,5.0,19.0,8.0,45.0,2.0,,4.0,4.0,1.0,19.0,7.0,2.0,1.0,72.0,275.0,5.0,6.0,25.0,2.0,74.0,0.0,1.0,7.0,1.0,1.0,,,3.0,3.0,0.0,3.0,,5.0,42.7,11.0,3.0,3.0,,4.0,3.0,,35.0,5.0,,355.0,8.0,,4.0,24.0,4.0,27.0,2.0,3.0,231.0,2.0,1.0,25.0,58.0,23.0,2.0,16.0,14.0,,2.0,6.0,3.0,5.0,,2.0,11.0,5.0,3.0,,1.0,3.0,,,2.0,,2.0,4.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
21,2210476,2022-01-02 14:00:00,"Elland Road, Leeds",36083,Away,Burnley,Leeds United,1,3,L,0,1,0,0,,,27.0,59.0,,,,31.0,17.0,4.0,5.0,4.0,4.0,1.0,172.0,15.0,4.0,5.0,1.0,3.0,6.0,,2.0,42.0,173.0,63.0,1.0,8.0,2.0,23.0,1.0,,1.0,15.0,,8.0,,,17.0,2.0,6.0,28.0,116.0,1.0,0.0,127.0,7.0,,78.0,24.0,2.0,55.0,,13.0,15.0,4.0,1.0,4.0,1.0,173.0,1.0,13.0,,28.0,,486.0,5.0,21.0,7.0,,8.0,158.0,24.0,,9.0,9.0,,1.0,9.0,4.0,29.0,261.0,83.0,,81183,1.0,66.0,1.0,9.0,88.0,5.0,15.0,13.0,59.0,,,1.0,3.0,,19.0,9.0,8.0,1.0,81.0,178.0,11.0,11.0,43.0,1.0,83.0,0.0,2.0,9.0,4.0,,,,3.0,3.0,0.0,3.0,,,44.7,26.0,,8.0,,3.0,2.0,,39.0,3.0,,297.0,8.0,,13.0,13.0,4.0,27.0,1.0,3.0,224.0,3.0,3.0,34.0,58.0,16.0,1.0,9.0,14.0,,2.0,6.0,3.0,10.0,,1.0,6.0,3.0,,1.0,2.0,2.0,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
22,2210483,2022-03-01 19:45:00,"Turf Moor, Burnley",17825,Home,Burnley,Leicester City,0,2,L,0,0,0,0,,,23.0,73.0,,,,34.0,15.0,2.0,3.0,7.0,4.0,1.0,166.0,11.0,8.0,13.0,,4.0,5.0,1.0,2.0,55.0,180.0,71.0,,9.0,1.0,21.0,2.0,,,22.0,,12.0,,,15.0,6.0,4.0,56.0,120.0,,0.0,112.0,10.0,2.0,39.0,57.0,3.0,58.0,1.0,16.0,23.0,2.0,,3.0,1.0,180.0,1.0,14.0,,73.0,,573.0,3.0,16.0,29.0,,13.0,219.0,32.0,1.0,7.0,10.0,,1.0,9.0,2.0,26.0,330.0,64.0,1.0,98747,2.0,118.0,2.0,10.0,147.0,6.0,23.0,4.0,48.0,2.0,,4.0,2.0,,20.0,8.0,3.0,1.0,87.0,230.0,13.0,5.0,33.0,2.0,84.0,0.0,1.0,8.0,4.0,,,,2.0,5.0,0.0,5.0,,2.0,44.8,19.0,1.0,1.0,,2.0,3.0,,44.0,6.0,2.0,352.0,13.0,,7.0,23.0,4.0,28.0,3.0,3.0,227.0,4.0,4.0,25.0,51.0,36.0,,10.0,20.0,,1.0,5.0,3.0,18.0,,,12.0,6.0,2.0,,1.0,3.0,,2.0,1.0,,2.0,2.0,,,,,3.0,3.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,2.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
23,2210491,2022-01-23 14:00:00,"Emirates Stadium, London",59255,Away,Burnley,Arsenal,0,0,D,0,0,0,0,1.0,,22.0,41.0,2.0,,,19.0,42.0,4.0,9.0,5.0,5.0,,99.0,7.0,1.0,7.0,,1.0,9.0,,1.0,39.0,105.0,58.0,,10.0,1.0,17.0,,,,6.0,,8.0,,1.0,42.0,4.0,6.0,33.0,80.0,,0.0,76.0,13.0,,36.0,18.0,4.0,36.0,4.0,2.0,8.0,5.0,,,3.0,105.0,,13.0,,37.0,,377.0,7.0,6.0,14.0,,7.0,129.0,21.0,,6.0,27.0,,2.0,6.0,5.0,11.0,188.0,41.0,,98747,3.0,58.0,,2.0,70.0,7.0,8.0,10.0,44.0,,,2.0,3.0,,11.0,7.0,3.0,2.0,58.0,137.0,8.0,8.0,23.0,1.0,58.0,0.0,,12.0,3.0,,,,,3.0,0.0,,,1.0,24.4,5.0,,3.0,2.0,3.0,3.0,,22.0,4.0,,211.0,7.0,,4.0,14.0,6.0,19.0,1.0,3.0,147.0,,2.0,25.0,44.0,10.0,,27.0,18.0,,,7.0,1.0,10.0,,,5.0,4.0,2.0,1.0,,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,
24,2210503,2022-02-08 20:00:00,"Turf Moor, Burnley",21233,Home,Burnley,Manchester United,1,1,D,0,1,0,0,1.0,1.0,28.0,53.0,,,,15.0,28.0,5.0,4.0,4.0,4.0,1.0,121.0,18.0,4.0,7.0,1.0,1.0,4.0,1.0,3.0,67.0,150.0,53.0,,9.0,,22.0,,,1.0,14.0,,14.0,,2.0,28.0,2.0,1.0,25.0,126.0,,0.0,83.0,11.0,1.0,67.0,23.0,2.0,38.0,4.0,12.0,13.0,5.0,,4.0,3.0,150.0,1.0,16.0,,62.0,,497.0,2.0,7.0,14.0,,7.0,186.0,22.0,,4.0,15.0,1.0,2.0,12.0,2.0,23.0,269.0,40.0,,98747,3.0,71.0,,5.0,93.0,5.0,13.0,9.0,51.0,,,2.0,3.0,,25.0,6.0,2.0,1.0,57.0,193.0,10.0,4.0,25.0,1.0,68.0,0.0,,10.0,4.0,1.0,,,1.0,2.0,0.0,4.0,1.0,1.0,35.9,20.0,,2.0,,3.0,1.0,,29.0,2.0,1.0,288.0,7.0,,10.0,11.0,5.0,22.0,,2.0,209.0,4.0,1.0,11.0,47.0,21.0,,15.0,25.0,,1.0,5.0,2.0,12.0,,,6.0,2.0,1.0,,,2.0,,1.0,,,3.0,1.0,,1.0,,,1.0,3.0,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,2210512,2022-02-13 14:00:00,"Turf Moor, Burnley",21239,Home,Burnley,Liverpool,0,1,L,0,1,0,0,,,20.0,64.0,1.0,,,23.0,22.0,3.0,,5.0,3.0,5.0,135.0,9.0,2.0,12.0,,,8.0,1.0,5.0,66.0,155.0,44.0,,8.0,,16.0,2.0,,3.0,13.0,,12.0,,3.0,22.0,5.0,,62.0,79.0,,0.0,89.0,7.0,,52.0,27.0,5.0,55.0,2.0,8.0,17.0,3.0,,4.0,,155.0,2.0,8.0,,47.0,,495.0,7.0,5.0,11.0,,19.0,188.0,27.0,,4.0,13.0,,0.0,2.0,3.0,24.0,284.0,62.0,1.0,98747,5.0,121.0,2.0,3.0,145.0,5.0,17.0,8.0,45.0,3.0,,7.0,6.0,,13.0,4.0,4.0,,69.0,198.0,6.0,12.0,16.0,1.0,73.0,0.0,2.0,8.0,2.0,,,,1.0,2.0,0.0,1.0,,1.0,32.6,18.0,1.0,4.0,,6.0,,,27.0,5.0,,303.0,19.0,,10.0,21.0,3.0,23.0,1.0,3.0,171.0,7.0,,12.0,35.0,24.0,,13.0,14.0,,1.0,6.0,2.0,13.0,,,6.0,5.0,,,1.0,1.0,,3.0,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
26,2210523,2022-02-19 15:00:00,"American Express Stadium, Falmer",29921,Away,Burnley,Brighton and Hove Albion,3,0,W,2,0,0,0,1.0,1.0,25.0,61.0,1.0,,,19.0,19.0,4.0,4.0,6.0,1.0,,128.0,11.0,,6.0,3.0,1.0,9.0,,4.0,46.0,138.0,47.0,,10.0,2.0,12.0,1.0,1.0,,14.0,,12.0,1.0,,19.0,4.0,,27.0,92.0,,0.0,87.0,12.0,2.0,40.0,37.0,7.0,37.0,,10.0,18.0,4.0,,4.0,1.0,138.0,1.0,6.0,,49.0,,425.0,5.0,6.0,15.0,1.0,11.0,157.0,21.0,,3.0,11.0,3.0,4.0,4.0,2.0,14.0,236.0,49.0,,98747,4.0,71.0,,6.0,103.0,8.0,18.0,7.0,40.0,,,3.0,4.0,,6.0,5.0,3.0,1.0,62.0,163.0,11.0,3.0,27.0,,53.0,0.0,1.0,4.0,,3.0,1.0,1.0,,2.0,0.0,,3.0,,31.1,10.0,,6.0,,4.0,4.0,,26.0,4.0,2.0,260.0,11.0,,8.0,10.0,2.0,21.0,,,171.0,6.0,,13.0,41.0,24.0,3.0,11.0,17.0,,,9.0,3.0,11.0,,3.0,10.0,4.0,2.0,2.0,,,,2.0,,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,3.0,2.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
