gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attRfTarget,fouledFinalThird,attOboxBlocked,attMissLeft,attSvLowLeft,attHdTarget,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,attCmissHighLeft,attSvLowRight,goalsConceded,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,goalsConcededIbox,postScoringAtt,attIboxPost,attOboxTarget,attMissHighRight,attSvHighRight,attOboxGoal,goodHighClaim,attHdPost,hitWoodwork,penaltyConceded,attCmissLeft,attPostHigh,penaltyFaced,totalHighClaim,penGoalsConceded,ptsDroppedWinningPos,accurateThroughBall,errorLeadToShot,attOboxOwnGoal,ownGoals,totalThroughBall,errorLeadToGoal,attGoalLowRight,ptsGainedLosingPos,punches,foulThrowIn,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,freekickTotal,attGoalHighCentre,attGoalHighLeft,attHdGoal,attFreekickPost,attFreekickTarget,attOboxPost,attGoalHighRight,attObxdLeft,attCmissHighRight,attSvHighLeft,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,accuratePullBack,attSvHighCentre,attOneOnOne,penaltyWon,defenderGoals,attPenGoal,attCmissHigh,attObpGoal,clearanceOffLine,attFreekickMiss,penaltySave,attPostLeft
11,1059809,2019-11-02 15:00:00,"Bramall Lane, Sheffield",31131.0,Away,Burnley,Sheffield United,0,3,L,0,3,0,0,,,65.0,,,,24.0,17.0,1.0,3.0,5.0,3.0,,166.0,,3.0,2.0,,3.0,,,115.0,174.0,44.0,6.0,33.0,,,,,,23.0,4.0,17.0,6.0,3.0,47.0,176.0,,0.0,139.0,12.0,2.0,,1.0,62.0,72.0,,72.0,,1.0,17.0,14.0,1.0,6.0,,174.0,,,12.0,107.0,627.0,3.0,11.0,13.0,4.0,331.0,25.0,,8.0,10.0,,,2.0,2.0,3.0,28.0,437.0,72.0,98747,4.0,169.0,10.0,195.0,6.0,,14.0,10.0,73.0,,7.0,,14.0,1.0,5.0,1.0,85.0,342.0,8.0,13.0,,36.0,1.0,96.0,0.0,2.0,7.0,3.0,,4.0,0.0,3.0,,54.4,25.0,2.0,7.0,1.0,35.0,6.0,460.0,4.0,12.0,15.0,5.0,36.0,,5.0,288.0,1.0,2.0,29.0,84.0,28.0,,3.0,10.0,5.0,4.0,3.0,7.0,3.0,4.0,6.0,,1.0,,1.0,1.0,3.0,,,,1.0,,,,,,3.0,,2.0,2.0,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1059812,2019-11-09 15:00:00,"Turf Moor, Burnley",20255.0,Home,Burnley,West Ham United,3,0,W,2,0,0,0,2.0,2.0,67.0,1.0,2.0,,30.0,21.0,5.0,4.0,9.0,4.0,1.0,150.0,1.0,8.0,14.0,3.0,10.0,,12.0,46.0,144.0,65.0,14.0,26.0,6.0,1.0,,1.0,2.0,24.0,2.0,21.0,8.0,3.0,30.0,125.0,1.0,0.0,92.0,17.0,,,,78.0,28.0,9.0,63.0,2.0,,16.0,14.0,5.0,7.0,,144.0,4.0,1.0,3.0,40.0,496.0,6.0,5.0,18.0,8.0,193.0,14.0,1.0,14.0,14.0,2.0,,2.0,1.0,1.0,19.0,275.0,52.0,98747,4.0,91.0,9.0,107.0,9.0,1.0,14.0,5.0,57.0,7.0,1.0,1.0,13.0,4.0,3.0,,69.0,208.0,10.0,4.0,2.0,34.0,5.0,81.0,0.0,,4.0,2.0,3.0,1.0,0.0,4.0,2.0,40.0,16.0,4.0,1.0,1.0,34.0,11.0,299.0,8.0,3.0,13.0,1.0,36.0,4.0,1.0,216.0,8.0,2.0,35.0,52.0,41.0,2.0,3.0,14.0,7.0,7.0,2.0,25.0,3.0,7.0,11.0,,1.0,6.0,,1.0,,3.0,2.0,,3.0,,2.0,1.0,,,,,2.0,,1.0,,,,4.0,,1.0,,2.0,,,,,,,2.0,,,2.0,,,,4.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,3.0,,,,,,,,,,
13,1059830,2019-11-23 15:00:00,"Vicarage Road, Watford",19711.0,Away,Burnley,Watford,3,0,W,0,0,0,0,1.0,3.0,52.0,,2.0,2.0,22.0,29.0,4.0,4.0,7.0,4.0,2.0,116.0,2.0,3.0,8.0,3.0,5.0,,5.0,41.0,128.0,51.0,11.0,31.0,2.0,,,,1.0,16.0,4.0,29.0,5.0,2.0,30.0,86.0,1.0,0.0,82.0,13.0,2.0,,2.0,52.0,24.0,3.0,35.0,3.0,,11.0,6.0,4.0,3.0,2.0,128.0,2.0,1.0,8.0,56.0,422.0,4.0,2.0,16.0,12.0,148.0,22.0,1.0,8.0,14.0,,,3.0,7.0,2.0,15.0,219.0,50.0,98747,4.0,75.0,6.0,94.0,9.0,1.0,6.0,9.0,60.0,2.0,2.0,,11.0,7.0,4.0,1.0,73.0,158.0,14.0,6.0,1.0,38.0,2.0,76.0,0.0,,7.0,2.0,3.0,,0.0,2.0,,38.1,14.0,3.0,2.0,3.0,27.0,5.0,248.0,12.0,8.0,8.0,3.0,20.0,1.0,,170.0,6.0,2.0,23.0,40.0,19.0,2.0,4.0,14.0,6.0,6.0,1.0,11.0,4.0,3.0,5.0,,,1.0,2.0,1.0,,1.0,,1.0,3.0,1.0,2.0,,,,,1.0,,,,,1.0,,,,,,3.0,,1.0,,,1.0,,3.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
14,1059832,2019-11-30 15:00:00,"Turf Moor, Burnley",19818.0,Home,Burnley,Crystal Palace,0,2,L,0,1,0,0,2.0,,69.0,,,2.0,27.0,16.0,3.0,6.0,12.0,1.0,,148.0,,7.0,9.0,,10.0,,4.0,68.0,172.0,70.0,15.0,32.0,3.0,,2.0,,2.0,26.0,15.0,16.0,5.0,7.0,49.0,117.0,,0.0,110.0,13.0,1.0,,2.0,59.0,33.0,5.0,48.0,3.0,,21.0,17.0,3.0,7.0,1.0,172.0,2.0,1.0,6.0,83.0,553.0,5.0,7.0,23.0,16.0,220.0,25.0,1.0,12.0,8.0,,2.0,2.0,1.0,4.0,24.0,327.0,69.0,98747,3.0,119.0,12.0,138.0,7.0,,17.0,7.0,68.0,1.0,5.0,,15.0,1.0,1.0,1.0,80.0,229.0,8.0,11.0,4.0,34.0,6.0,92.0,0.0,1.0,6.0,,,3.0,0.0,2.0,,43.5,21.0,2.0,5.0,3.0,33.0,5.0,347.0,16.0,11.0,11.0,8.0,33.0,5.0,7.0,235.0,3.0,7.0,33.0,52.0,35.0,,4.0,8.0,20.0,8.0,3.0,13.0,4.0,9.0,5.0,,,,2.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,,2.0,1.0,5.0,3.0,4.0,2.0,,,1.0,1.0,1.0,,,,,,2.0,,,,,,1.0,1.0,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1059843,2019-12-03 20:15:00,"Turf Moor, Burnley",20101.0,Home,Burnley,Manchester City,1,4,L,0,1,0,0,1.0,1.0,46.0,1.0,2.0,1.0,20.0,24.0,1.0,3.0,3.0,4.0,1.0,118.0,,1.0,4.0,1.0,3.0,1.0,2.0,52.0,129.0,45.0,4.0,13.0,,,,1.0,,9.0,8.0,24.0,3.0,1.0,33.0,84.0,,0.0,78.0,9.0,3.0,,,26.0,47.0,2.0,35.0,,1.0,6.0,12.0,1.0,1.0,,129.0,1.0,,9.0,45.0,422.0,2.0,8.0,12.0,13.0,150.0,22.0,,7.0,7.0,1.0,,1.0,5.0,1.0,21.0,227.0,40.0,98747,3.0,80.0,5.0,96.0,6.0,,12.0,7.0,37.0,,3.0,1.0,23.0,8.0,3.0,,56.0,163.0,6.0,8.0,,21.0,,57.0,0.0,1.0,6.0,2.0,1.0,1.0,0.0,1.0,,24.5,19.0,1.0,3.0,1.0,25.0,3.0,250.0,13.0,3.0,12.0,1.0,19.0,,1.0,163.0,,1.0,22.0,37.0,13.0,,3.0,7.0,14.0,3.0,3.0,9.0,3.0,7.0,3.0,2.0,,,1.0,,,,,,,1.0,,1.0,,,4.0,,1.0,1.0,,2.0,,,1.0,,1.0,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,1059859,2019-12-07 15:00:00,"Tottenham Hotspur Stadium, London",58401.0,Away,Burnley,Tottenham Hotspur,0,5,L,0,3,0,0,,,63.0,,1.0,1.0,31.0,10.0,2.0,1.0,5.0,2.0,,149.0,,5.0,11.0,,5.0,,1.0,124.0,170.0,64.0,7.0,25.0,1.0,,3.0,,1.0,18.0,7.0,10.0,1.0,2.0,34.0,152.0,,0.0,104.0,8.0,1.0,,1.0,68.0,43.0,1.0,76.0,1.0,1.0,17.0,10.0,2.0,5.0,2.0,170.0,1.0,,8.0,130.0,671.0,5.0,7.0,13.0,7.0,349.0,20.0,1.0,14.0,2.0,,3.0,1.0,3.0,4.0,24.0,454.0,60.0,98747,3.0,219.0,11.0,248.0,2.0,,10.0,5.0,65.0,2.0,7.0,,22.0,5.0,3.0,1.0,67.0,366.0,12.0,16.0,,29.0,,100.0,0.0,,1.0,1.0,,3.0,0.0,5.0,,51.0,23.0,5.0,7.0,1.0,53.0,1.0,479.0,7.0,6.0,11.0,5.0,27.0,,2.0,249.0,2.0,1.0,27.0,60.0,28.0,,,2.0,15.0,6.0,2.0,24.0,,4.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,5.0,,3.0,1.0,,4.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
17,1059863,2019-12-14 15:00:00,"Turf Moor, Burnley",19798.0,Home,Burnley,Newcastle United,1,0,W,0,0,0,0,2.0,1.0,55.0,,,1.0,21.0,28.0,1.0,2.0,6.0,,,136.0,,3.0,8.0,1.0,6.0,,4.0,106.0,148.0,64.0,7.0,21.0,2.0,,,,1.0,12.0,11.0,28.0,4.0,4.0,33.0,148.0,1.0,0.0,90.0,15.0,,,,64.0,39.0,4.0,43.0,,,8.0,16.0,1.0,4.0,,148.0,1.0,1.0,4.0,84.0,560.0,4.0,9.0,16.0,13.0,258.0,21.0,1.0,5.0,16.0,1.0,,0.0,1.0,2.0,17.0,346.0,52.0,98747,2.0,125.0,4.0,152.0,9.0,,16.0,10.0,64.0,3.0,9.0,,16.0,5.0,2.0,,63.0,270.0,11.0,11.0,1.0,24.0,2.0,82.0,0.0,3.0,3.0,,1.0,5.0,0.0,1.0,1.0,48.0,16.0,3.0,9.0,1.0,43.0,4.0,369.0,13.0,7.0,17.0,2.0,23.0,2.0,2.0,229.0,2.0,3.0,32.0,47.0,22.0,1.0,3.0,16.0,14.0,5.0,1.0,18.0,3.0,8.0,4.0,,,1.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,3.0,2.0,1.0,,,,1.0,,,,4.0,,,,,,,5.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
18,1059872,2019-12-21 15:00:00,"Vitality Stadium, Bournemouth",10020.0,Away,Burnley,Bournemouth,1,0,W,0,0,0,0,,,50.0,,,,22.0,27.0,1.0,1.0,1.0,,,129.0,,2.0,,1.0,1.0,,1.0,33.0,149.0,48.0,2.0,24.0,,,,1.0,,19.0,7.0,27.0,5.0,4.0,32.0,71.0,1.0,0.0,82.0,21.0,,,2.0,34.0,37.0,1.0,38.0,,,14.0,18.0,1.0,4.0,,149.0,,1.0,1.0,30.0,410.0,,5.0,7.0,7.0,119.0,19.0,,7.0,13.0,1.0,,4.0,,,31.0,201.0,57.0,98747,1.0,65.0,8.0,83.0,12.0,,18.0,10.0,63.0,,6.0,1.0,13.0,2.0,5.0,,68.0,134.0,13.0,5.0,,29.0,,78.0,0.0,1.0,4.0,,1.0,1.0,0.0,2.0,1.0,35.2,25.0,3.0,7.0,1.0,31.0,5.0,230.0,7.0,8.0,8.0,,31.0,,,166.0,,4.0,24.0,32.0,16.0,,,13.0,13.0,2.0,3.0,7.0,,9.0,5.0,,1.0,,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
19,1059886,2019-12-26 15:00:00,"Goodison Park, Liverpool",39177.0,Away,Burnley,Everton,0,1,L,0,0,0,0,,,50.0,,,,23.0,25.0,3.0,,3.0,4.0,,125.0,,5.0,2.0,,5.0,,,49.0,132.0,71.0,6.0,32.0,,,,,,8.0,13.0,25.0,2.0,3.0,25.0,68.0,,0.0,87.0,14.0,2.0,,3.0,35.0,38.0,,37.0,2.0,2.0,6.0,16.0,3.0,2.0,3.0,132.0,1.0,,10.0,44.0,418.0,2.0,9.0,8.0,9.0,133.0,17.0,1.0,9.0,16.0,,,0.0,8.0,5.0,18.0,231.0,52.0,98747,2.0,81.0,1.0,102.0,9.0,,16.0,8.0,61.0,1.0,6.0,,10.0,11.0,4.0,1.0,76.0,144.0,14.0,12.0,3.0,41.0,2.0,69.0,0.0,,10.0,4.0,,2.0,0.0,4.0,,32.5,16.0,,6.0,,18.0,2.0,255.0,9.0,2.0,7.0,6.0,21.0,1.0,3.0,161.0,2.0,3.0,36.0,31.0,23.0,,,16.0,20.0,2.0,3.0,5.0,,9.0,3.0,,,,2.0,,2.0,,,3.0,1.0,,2.0,1.0,,,1.0,,4.0,4.0,,1.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1059894,2019-12-28 19:45:00,"Turf Moor, Burnley",21924.0,Home,Burnley,Manchester United,0,2,L,0,1,0,0,,,59.0,,1.0,2.0,29.0,12.0,4.0,2.0,4.0,2.0,,135.0,,7.0,7.0,,6.0,,1.0,67.0,139.0,49.0,8.0,20.0,,1.0,,,1.0,24.0,9.0,12.0,5.0,2.0,44.0,105.0,,0.0,87.0,17.0,1.0,,1.0,62.0,27.0,2.0,34.0,,1.0,19.0,17.0,4.0,10.0,3.0,139.0,,,6.0,59.0,455.0,6.0,11.0,17.0,6.0,187.0,30.0,,10.0,7.0,,,4.0,7.0,4.0,18.0,273.0,51.0,98747,1.0,102.0,8.0,123.0,9.0,,17.0,9.0,55.0,5.0,4.0,,12.0,8.0,3.0,2.0,69.0,200.0,8.0,14.0,,32.0,2.0,77.0,0.0,1.0,4.0,2.0,,4.0,0.0,4.0,,38.6,15.0,1.0,4.0,2.0,37.0,5.0,295.0,6.0,5.0,23.0,5.0,27.0,3.0,2.0,196.0,4.0,1.0,21.0,45.0,21.0,,,7.0,13.0,4.0,3.0,8.0,,9.0,5.0,,,1.0,2.0,,,,,,,1.0,1.0,,,,2.0,1.0,,,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,
21,1059904,2020-01-01 12:30:00,"Turf Moor, Burnley",19561.0,Home,Burnley,Aston Villa,1,2,L,0,2,0,0,,1.0,57.0,,1.0,3.0,37.0,12.0,7.0,6.0,13.0,4.0,,167.0,,12.0,3.0,1.0,16.0,,1.0,132.0,163.0,53.0,20.0,32.0,,1.0,,1.0,,45.0,2.0,12.0,8.0,3.0,28.0,263.0,,0.0,151.0,12.0,3.0,,2.0,106.0,72.0,4.0,82.0,,2.0,37.0,14.0,7.0,17.0,4.0,163.0,3.0,,9.0,125.0,699.0,15.0,17.0,30.0,5.0,391.0,18.0,1.0,11.0,6.0,1.0,,1.0,2.0,12.0,29.0,489.0,77.0,98747,8.0,154.0,18.0,178.0,8.0,,14.0,4.0,60.0,2.0,4.0,1.0,13.0,2.0,3.0,2.0,73.0,405.0,9.0,5.0,,34.0,5.0,92.0,0.0,1.0,4.0,3.0,1.0,5.0,0.0,10.0,1.0,61.9,29.0,7.0,4.0,6.0,57.0,8.0,506.0,5.0,8.0,17.0,13.0,44.0,2.0,9.0,373.0,8.0,3.0,34.0,103.0,25.0,1.0,,6.0,7.0,14.0,2.0,8.0,,6.0,8.0,,,,4.0,3.0,7.0,,,,2.0,1.0,,,,,2.0,2.0,5.0,4.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
22,1059914,2020-01-11 15:00:00,"Stamford Bridge, London",40396.0,Away,Burnley,Chelsea,0,3,L,0,2,0,0,1.0,,47.0,,1.0,2.0,17.0,22.0,3.0,2.0,4.0,5.0,,121.0,,1.0,10.0,,2.0,,3.0,74.0,135.0,49.0,7.0,14.0,2.0,,,,,10.0,6.0,22.0,2.0,3.0,28.0,94.0,,0.0,70.0,4.0,1.0,,1.0,47.0,42.0,1.0,50.0,1.0,,8.0,14.0,3.0,3.0,2.0,135.0,1.0,1.0,13.0,55.0,473.0,1.0,7.0,7.0,9.0,197.0,21.0,,8.0,9.0,,,3.0,6.0,1.0,17.0,275.0,36.0,98747,1.0,113.0,4.0,135.0,3.0,,14.0,10.0,37.0,6.0,5.0,,12.0,5.0,2.0,1.0,62.0,206.0,7.0,6.0,1.0,30.0,4.0,75.0,0.0,,10.0,4.0,,1.0,0.0,,,34.5,16.0,4.0,5.0,2.0,30.0,3.0,300.0,9.0,12.0,14.0,2.0,14.0,1.0,,175.0,4.0,2.0,20.0,35.0,13.0,,3.0,9.0,13.0,1.0,1.0,11.0,3.0,6.0,3.0,,,1.0,3.0,,,2.0,1.0,,1.0,1.0,,,,1.0,3.0,,1.0,,,3.0,,,1.0,1.0,,,2.0,,,1.0,,,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,2.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,
23,1059924,2020-01-19 14:00:00,"Turf Moor, Burnley",19788.0,Home,Burnley,Leicester City,2,1,W,0,1,0,0,,2.0,72.0,1.0,1.0,,26.0,18.0,3.0,1.0,5.0,7.0,,146.0,,3.0,13.0,2.0,4.0,,5.0,93.0,163.0,68.0,8.0,27.0,2.0,,,,1.0,19.0,11.0,18.0,4.0,5.0,42.0,142.0,,0.0,84.0,14.0,3.0,1.0,1.0,68.0,49.0,2.0,58.0,2.0,,15.0,20.0,3.0,5.0,1.0,163.0,,,12.0,89.0,611.0,3.0,10.0,14.0,12.0,273.0,25.0,,9.0,12.0,,1.0,1.0,4.0,2.0,32.0,369.0,44.0,98747,2.0,143.0,9.0,166.0,8.0,2.0,20.0,7.0,74.0,1.0,10.0,1.0,13.0,6.0,4.0,1.0,70.0,282.0,7.0,10.0,1.0,31.0,2.0,83.0,0.0,3.0,5.0,6.0,2.0,2.0,0.0,2.0,,44.5,29.0,6.0,10.0,1.0,39.0,4.0,386.0,12.0,10.0,17.0,2.0,33.0,1.0,1.0,239.0,4.0,4.0,33.0,45.0,26.0,1.0,4.0,12.0,16.0,5.0,1.0,26.0,4.0,8.0,4.0,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,3.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
24,1059936,2020-01-22 20:15:00,"Old Trafford, Manchester",73198.0,Away,Burnley,Manchester United,2,0,W,1,0,0,0,,,66.0,1.0,3.0,1.0,23.0,29.0,1.0,3.0,4.0,7.0,2.0,136.0,,2.0,1.0,2.0,4.0,,2.0,38.0,142.0,48.0,5.0,34.0,,,1.0,1.0,,11.0,8.0,29.0,2.0,4.0,27.0,81.0,1.0,0.0,102.0,7.0,5.0,,,74.0,18.0,3.0,39.0,,,9.0,14.0,1.0,5.0,1.0,142.0,1.0,1.0,11.0,48.0,441.0,2.0,8.0,8.0,15.0,142.0,30.0,1.0,4.0,14.0,2.0,1.0,2.0,7.0,1.0,19.0,233.0,55.0,98747,3.0,75.0,4.0,93.0,5.0,,14.0,11.0,61.0,2.0,7.0,1.0,11.0,13.0,5.0,,76.0,154.0,11.0,10.0,,30.0,,67.0,0.0,,5.0,4.0,2.0,,0.0,2.0,1.0,27.8,16.0,6.0,7.0,1.0,20.0,2.0,261.0,15.0,7.0,9.0,2.0,19.0,,1.0,179.0,1.0,3.0,25.0,44.0,16.0,2.0,2.0,14.0,13.0,1.0,,4.0,2.0,11.0,2.0,,,,2.0,,1.0,,,,1.0,,3.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
25,1059943,2020-02-02 14:00:00,"Turf Moor, Burnley",21048.0,Home,Burnley,Arsenal,0,0,D,0,0,0,0,,,58.0,,1.0,2.0,23.0,21.0,4.0,4.0,11.0,2.0,,128.0,,12.0,7.0,,15.0,,2.0,65.0,141.0,60.0,15.0,18.0,1.0,,1.0,,1.0,38.0,14.0,21.0,5.0,2.0,35.0,166.0,1.0,0.0,116.0,8.0,,,4.0,83.0,38.0,5.0,60.0,,2.0,33.0,19.0,4.0,10.0,2.0,141.0,4.0,,9.0,71.0,533.0,13.0,4.0,25.0,7.0,232.0,13.0,3.0,5.0,12.0,,1.0,1.0,5.0,10.0,25.0,304.0,60.0,98747,8.0,91.0,19.0,99.0,4.0,,19.0,8.0,54.0,4.0,2.0,,12.0,4.0,5.0,2.0,60.0,245.0,11.0,11.0,2.0,25.0,,75.0,0.0,1.0,7.0,1.0,,1.0,0.0,10.0,,42.7,23.0,4.0,2.0,3.0,35.0,5.0,324.0,7.0,11.0,19.0,10.0,39.0,2.0,7.0,263.0,3.0,2.0,22.0,78.0,33.0,,,12.0,20.0,11.0,,13.0,,7.0,5.0,,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,,2.0,,,,6.0,5.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
26,1059960,2020-02-15 12:30:00,"St. Mary's Stadium, Southampton",26302.0,Away,Burnley,Southampton,2,1,W,1,1,0,0,1.0,,61.0,1.0,,,26.0,30.0,2.0,4.0,6.0,1.0,1.0,150.0,,3.0,9.0,2.0,7.0,,6.0,37.0,174.0,55.0,9.0,26.0,3.0,1.0,,1.0,1.0,12.0,10.0,30.0,2.0,,34.0,93.0,,0.0,91.0,11.0,,1.0,,86.0,26.0,5.0,48.0,,,10.0,16.0,3.0,4.0,1.0,174.0,1.0,,6.0,62.0,509.0,6.0,7.0,14.0,10.0,171.0,20.0,,13.0,10.0,1.0,,2.0,3.0,2.0,40.0,278.0,58.0,98747,3.0,90.0,6.0,115.0,6.0,1.0,16.0,5.0,59.0,3.0,4.0,1.0,17.0,4.0,2.0,,72.0,180.0,6.0,11.0,,40.0,1.0,85.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,3.0,,36.4,27.0,5.0,4.0,,25.0,3.0,297.0,10.0,4.0,8.0,3.0,18.0,,2.0,194.0,4.0,,23.0,40.0,25.0,,2.0,10.0,18.0,8.0,1.0,16.0,2.0,7.0,3.0,1.0,,2.0,,,2.0,2.0,1.0,,1.0,,,2.0,,,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,
27,1059963,2020-02-22 15:00:00,"Turf Moor, Burnley",18227.0,Home,Burnley,Bournemouth,3,0,W,0,0,0,0,2.0,2.0,60.0,,,1.0,22.0,18.0,9.0,5.0,7.0,4.0,1.0,137.0,,2.0,7.0,3.0,11.0,,10.0,53.0,156.0,53.0,16.0,21.0,3.0,,1.0,2.0,3.0,25.0,13.0,18.0,7.0,5.0,37.0,128.0,1.0,0.0,117.0,9.0,1.0,1.0,1.0,52.0,29.0,9.0,43.0,2.0,,18.0,17.0,9.0,6.0,,156.0,4.0,1.0,8.0,73.0,503.0,8.0,8.0,22.0,9.0,198.0,19.0,,9.0,9.0,2.0,1.0,4.0,4.0,2.0,18.0,286.0,73.0,98747,7.0,80.0,11.0,101.0,6.0,2.0,17.0,7.0,49.0,1.0,3.0,2.0,12.0,4.0,2.0,,72.0,206.0,6.0,8.0,1.0,36.0,,66.0,0.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,,42.1,13.0,6.0,4.0,4.0,24.0,7.0,306.0,9.0,6.0,16.0,2.0,39.0,,1.0,230.0,11.0,4.0,18.0,65.0,25.0,2.0,2.0,9.0,22.0,13.0,3.0,13.0,2.0,6.0,7.0,,1.0,5.0,2.0,3.0,1.0,2.0,,,4.0,,2.0,1.0,,,,,,,,,1.0,,4.0,,,1.0,3.0,,1.0,,1.0,,,3.0,,,1.0,,,,2.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,1.0
