gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,attIboxBlocked,accuratePullBack,attBxRight,attMissHighRight,divingSave,accurateThroughBall,sixYardBlock,attSetpiece,penaltyConceded,totalPullBack,attCmissHigh,totalOffside,attMissHigh,attCmissLeft,goalsConceded,possWonAtt3rd,penaltyFaced,penGoalsConceded,goalsConcededIbox,attOboxTarget,attHdTarget,ownGoals,attSvLowRight,attIboxOwnGoal,attLfGoal,attFreekickTotal,midfielderGoals,freekickTotal,shieldBallOop,handBall,attGoalLowLeft,attOboxGoal,attSvLowLeft,contentiousDecision,goalsConcededObox,ptsDroppedWinningPos,attGoalLowCentre,attSvHighRight,attPostLeft,attOboxPost,attPostHigh,attCmissHighRight,penaltySave,accurateKeeperSweeper,totalKeeperSweeper,accurateFreekickCross,punches,attFreekickMiss,ptsGainedLosingPos,errorLeadToShot,attObxLeft,attGoalHighRight,winningGoal,attSvHighLeft,attGoalHighCentre,keeperGoals,subsGoals,attPenGoal,attObpGoal,attFreekickGoal,errorLeadToGoal,secondYellow,penaltyWon,attFreekickPost,attOneOnOne,attFreekickTarget,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals
11,2128390,2020-12-06 19:15:00,"Anfield, Liverpool",2000.0,Away,Wolverhampton Wanderers,Liverpool,0,4,L,0,1,0,0,1.0,,25.0,47.0,,,32.0,15.0,2.0,2.0,6.0,3.0,1.0,122.0,17.0,6.0,6.0,0.0,2.0,5.0,,3.0,104.0,112.0,42.0,9.0,,7.0,3.0,,,,,,2.0,25.0,,6.0,15.0,1.0,7.0,52.0,167.0,,0.0,95.0,14.0,,1.0,,59.0,85.0,4.0,76.0,2.0,2.0,24.0,10.0,3.0,11.0,3.0,112.0,,8.0,93.0,,560.0,5.0,3.0,21.0,,13.0,311.0,26.0,,2.0,7.0,,1.0,1.0,1.0,13.0,370.0,38.0,94147,4.0,172.0,,12.0,189.0,6.0,0.0,10.0,7.0,41.0,1.0,0.0,3.0,,0.0,11.0,4.0,5.0,52.0,333.0,8.0,10.0,,5.0,1.0,57.0,,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,5.0,,2.0,,39.4,10.0,1.0,,,3.0,1.0,,33.0,6.0,,395.0,13.0,3.0,28.0,5.0,,20.0,1.0,2.0,231.0,4.0,7.0,9.0,73.0,12.0,,2.0,7.0,19.0,0.0,7.0,3.0,15.0,2.0,5.0,6.0,0.0,1.0,1.0,,1.0,,,,,,,,1.0,3.0,1.0,,4.0,3.0,,,3.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,,0.0,,,,,,,,,,,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
12,2128405,2020-12-12 12:30:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Aston Villa,0,1,L,0,0,1,1,2.0,,30.0,45.0,,,35.0,34.0,6.0,5.0,10.0,1.0,4.0,125.0,10.0,5.0,18.0,0.0,5.0,11.0,1.0,7.0,85.0,122.0,69.0,16.0,2.0,26.0,4.0,2.0,1.0,,1.0,,2.0,22.0,1.0,11.0,34.0,3.0,3.0,51.0,138.0,,0.0,107.0,23.0,2.0,2.0,,45.0,73.0,7.0,64.0,1.0,1.0,19.0,11.0,6.0,3.0,1.0,122.0,1.0,8.0,74.0,,559.0,9.0,3.0,24.0,1.0,7.0,245.0,23.0,,4.0,19.0,,2.0,5.0,4.0,18.0,322.0,41.0,94147,8.0,134.0,1.0,14.0,161.0,9.0,0.0,11.0,7.0,63.0,1.0,0.0,1.0,,0.0,14.0,5.0,5.0,76.0,267.0,14.0,9.0,2.0,22.0,1.0,63.0,2.0,0.0,0.0,,8.0,1.0,0.0,,1.0,5.0,,3.0,,50.5,16.0,2.0,,,1.0,5.0,,27.0,5.0,,348.0,7.0,4.0,25.0,4.0,,23.0,,2.0,209.0,8.0,3.0,22.0,83.0,17.0,,1.0,19.0,15.0,0.0,12.0,1.0,22.0,1.0,8.0,5.0,0.0,,3.0,,1.0,,1.0,,,2.0,1.0,,,,,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,,0.0,1.0,0.0,1.0,,2.0,0.0,0.0,3.0,,0.0,,0.0,1.0,1.0,,,,,,,1.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,
13,2128413,2020-12-15 18:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Chelsea,2,1,W,0,0,0,0,1.0,,36.0,60.0,1.0,,28.0,34.0,6.0,5.0,6.0,2.0,1.0,144.0,20.0,2.0,15.0,2.0,2.0,9.0,,4.0,97.0,135.0,69.0,12.0,1.0,12.0,,2.0,,1.0,1.0,1.0,1.0,17.0,,10.0,34.0,2.0,8.0,39.0,161.0,,0.0,102.0,12.0,3.0,2.0,1.0,57.0,45.0,4.0,66.0,1.0,3.0,15.0,18.0,6.0,3.0,3.0,135.0,,7.0,111.0,,625.0,5.0,7.0,16.0,,14.0,316.0,35.0,,,27.0,2.0,2.0,4.0,5.0,14.0,391.0,45.0,94147,3.0,177.0,,10.0,204.0,9.0,1.0,18.0,9.0,48.0,,,3.0,,1.0,19.0,6.0,7.0,55.0,336.0,11.0,10.0,2.0,14.0,3.0,52.0,2.0,1.0,0.0,3.0,6.0,,2.0,2.0,0.0,1.0,,2.0,,45.1,13.0,2.0,2.0,,3.0,2.0,,33.0,5.0,1.0,418.0,14.0,6.0,20.0,6.0,,31.0,1.0,3.0,231.0,5.0,7.0,27.0,69.0,14.0,2.0,1.0,27.0,17.0,,8.0,3.0,23.0,1.0,7.0,5.0,1.0,2.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,4.0,,,1.0,2.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
14,2128417,2020-12-21 17:30:00,"Turf Moor, Burnley",,Away,Wolverhampton Wanderers,Burnley,1,2,L,0,1,0,0,1.0,1.0,32.0,50.0,,,36.0,11.0,6.0,6.0,9.0,2.0,1.0,155.0,14.0,6.0,14.0,1.0,5.0,10.0,,3.0,112.0,126.0,48.0,15.0,4.0,18.0,1.0,,,,1.0,,1.0,22.0,,5.0,11.0,2.0,2.0,45.0,205.0,,0.0,118.0,15.0,,,2.0,66.0,67.0,5.0,69.0,2.0,1.0,20.0,6.0,6.0,7.0,1.0,126.0,,6.0,127.0,,646.0,9.0,4.0,20.0,,15.0,360.0,21.0,,4.0,10.0,,1.0,1.0,5.0,24.0,434.0,44.0,94147,5.0,185.0,,13.0,221.0,9.0,1.0,6.0,11.0,52.0,1.0,,3.0,,,12.0,4.0,8.0,64.0,384.0,11.0,5.0,1.0,14.0,3.0,63.0,,,0.0,1.0,1.0,2.0,1.0,3.0,0.0,6.0,,2.0,,63.6,22.0,2.0,1.0,,3.0,7.0,,42.0,7.0,2.0,463.0,15.0,4.0,28.0,5.0,,28.0,,4.0,264.0,7.0,1.0,12.0,93.0,22.0,,,10.0,11.0,,9.0,3.0,24.0,,1.0,7.0,,,3.0,,2.0,2.0,,,,,,,1.0,2.0,1.0,,2.0,2.0,,,2.0,1.0,,,,,,2.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,
15,2128435,2020-12-27 19:15:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Tottenham Hotspur,1,1,D,0,1,0,0,2.0,,26.0,67.0,1.0,1.0,41.0,6.0,4.0,4.0,7.0,2.0,1.0,174.0,12.0,5.0,14.0,1.0,3.0,8.0,1.0,6.0,150.0,144.0,68.0,11.0,3.0,19.0,4.0,,,,,,,30.0,,13.0,6.0,5.0,8.0,52.0,242.0,,0.0,163.0,20.0,,1.0,1.0,77.0,101.0,6.0,79.0,,1.0,25.0,18.0,4.0,5.0,,144.0,1.0,4.0,139.0,,746.0,6.0,8.0,29.0,,12.0,445.0,27.0,,3.0,5.0,1.0,4.0,1.0,2.0,22.0,522.0,61.0,94147,5.0,227.0,1.0,19.0,246.0,10.0,,18.0,3.0,59.0,1.0,1.0,5.0,,,22.0,2.0,3.0,62.0,464.0,13.0,6.0,1.0,10.0,2.0,71.0,,,0.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,,54.8,21.0,,,1.0,5.0,3.0,,48.0,9.0,1.0,542.0,12.0,6.0,35.0,2.0,,38.0,2.0,2.0,326.0,4.0,8.0,21.0,125.0,29.0,,,5.0,21.0,1.0,8.0,3.0,22.0,,9.0,9.0,,,,,1.0,1.0,,,,,,3.0,,2.0,,,1.0,5.0,,,,1.0,2.0,,3.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,2128441,2020-12-29 20:00:00,"Old Trafford, Manchester",,Away,Wolverhampton Wanderers,Manchester United,0,1,L,0,0,0,0,2.0,,34.0,63.0,,,29.0,24.0,2.0,4.0,7.0,2.0,3.0,158.0,11.0,4.0,7.0,,3.0,7.0,,5.0,102.0,120.0,43.0,9.0,,13.0,3.0,,1.0,,2.0,,,11.0,1.0,7.0,24.0,1.0,7.0,41.0,149.0,,0.0,102.0,7.0,,2.0,2.0,49.0,66.0,6.0,69.0,1.0,1.0,10.0,17.0,2.0,3.0,,120.0,,6.0,110.0,1.0,607.0,5.0,5.0,19.0,1.0,11.0,334.0,44.0,,5.0,9.0,,1.0,3.0,1.0,15.0,409.0,42.0,94147,2.0,212.0,,5.0,237.0,5.0,,17.0,12.0,46.0,1.0,,6.0,,,12.0,5.0,10.0,61.0,357.0,11.0,11.0,2.0,15.0,,63.0,,,0.0,,2.0,1.0,,,0.0,4.0,,1.0,,41.8,13.0,,3.0,2.0,6.0,2.0,,34.0,2.0,2.0,439.0,11.0,9.0,21.0,2.0,,12.0,,1.0,213.0,4.0,6.0,9.0,65.0,9.0,,1.0,9.0,16.0,,7.0,2.0,13.0,1.0,7.0,2.0,,1.0,2.0,,2.0,,1.0,,,2.0,,,,2.0,,,1.0,2.0,,,1.0,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
17,2128446,2021-01-02 17:30:00,"American Express Stadium, Falmer",,Away,Wolverhampton Wanderers,Brighton and Hove Albion,3,3,D,3,1,0,0,1.0,1.0,28.0,52.0,1.0,,28.0,21.0,4.0,3.0,7.0,1.0,1.0,151.0,16.0,2.0,16.0,3.0,3.0,8.0,,4.0,101.0,132.0,51.0,11.0,1.0,19.0,1.0,,,,1.0,,2.0,14.0,,8.0,21.0,6.0,7.0,50.0,164.0,,0.0,98.0,8.0,,,,79.0,69.0,5.0,94.0,1.0,,9.0,16.0,4.0,1.0,2.0,132.0,1.0,10.0,115.0,,647.0,6.0,8.0,14.0,,10.0,355.0,33.0,,3.0,11.0,1.0,1.0,6.0,3.0,19.0,430.0,42.0,94147,5.0,220.0,1.0,8.0,251.0,4.0,1.0,16.0,10.0,54.0,,1.0,2.0,,,17.0,3.0,9.0,60.0,382.0,13.0,7.0,1.0,17.0,1.0,57.0,,,0.0,2.0,5.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,,45.5,18.0,1.0,1.0,,2.0,3.0,,28.0,7.0,,461.0,10.0,14.0,28.0,4.0,,15.0,1.0,2.0,224.0,6.0,7.0,9.0,77.0,14.0,,1.0,11.0,13.0,1.0,7.0,2.0,23.0,1.0,5.0,8.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,1.0,,3.0,1.0,1.0,1.0,3.0,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,
18,2128463,2021-01-12 20:15:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Everton,1,2,L,1,1,0,0,,1.0,28.0,48.0,1.0,,16.0,14.0,5.0,2.0,7.0,1.0,2.0,146.0,16.0,3.0,9.0,1.0,5.0,10.0,,3.0,164.0,102.0,40.0,12.0,1.0,16.0,1.0,,1.0,,1.0,,1.0,26.0,,9.0,14.0,5.0,7.0,31.0,262.0,,0.0,155.0,6.0,,,,53.0,110.0,5.0,98.0,1.0,2.0,21.0,15.0,5.0,6.0,2.0,102.0,1.0,5.0,150.0,,727.0,7.0,,16.0,1.0,13.0,491.0,25.0,1.0,1.0,7.0,1.0,2.0,1.0,5.0,13.0,538.0,58.0,94147,4.0,250.0,,15.0,264.0,3.0,1.0,15.0,5.0,44.0,1.0,,4.0,1.0,,16.0,,5.0,27.0,509.0,9.0,11.0,2.0,5.0,2.0,51.0,,,0.0,2.0,5.0,1.0,1.0,,0.0,2.0,1.0,2.0,,52.8,12.0,2.0,1.0,,4.0,3.0,,45.0,6.0,,558.0,13.0,6.0,18.0,6.0,,29.0,1.0,3.0,320.0,8.0,7.0,8.0,124.0,15.0,,2.0,7.0,14.0,,7.0,3.0,14.0,2.0,6.0,6.0,1.0,,2.0,,1.0,1.0,1.0,,2.0,2.0,,,,,,,2.0,4.0,,,2.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
19,2128475,2021-01-16 12:30:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,West Bromwich Albion,2,3,L,2,1,0,0,1.0,2.0,30.0,57.0,1.0,,27.0,8.0,8.0,4.0,15.0,2.0,2.0,155.0,15.0,10.0,18.0,2.0,4.0,17.0,1.0,6.0,154.0,148.0,75.0,23.0,2.0,22.0,1.0,,,,1.0,,4.0,31.0,,8.0,8.0,11.0,17.0,36.0,235.0,,0.0,137.0,10.0,,2.0,,81.0,78.0,9.0,80.0,,2.0,20.0,19.0,8.0,5.0,3.0,148.0,1.0,8.0,160.0,,761.0,12.0,6.0,37.0,,10.0,438.0,21.0,,1.0,5.0,1.0,2.0,2.0,8.0,28.0,528.0,49.0,94147,12.0,232.0,,13.0,247.0,7.0,2.0,19.0,4.0,52.0,1.0,1.0,3.0,,,12.0,4.0,4.0,50.0,457.0,14.0,3.0,4.0,11.0,7.0,80.0,,,0.0,2.0,,1.0,2.0,2.0,0.0,6.0,1.0,6.0,,67.8,26.0,4.0,,1.0,3.0,7.0,,50.0,11.0,,549.0,10.0,8.0,20.0,10.0,,40.0,4.0,7.0,333.0,13.0,16.0,31.0,92.0,28.0,1.0,1.0,5.0,12.0,,12.0,3.0,29.0,1.0,8.0,11.0,1.0,1.0,5.0,1.0,2.0,,1.0,,,3.0,2.0,4.0,,,4.0,1.0,3.0,5.0,2.0,2.0,3.0,3.0,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,,3.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
20,2128481,2021-01-27 18:00:00,"Stamford Bridge, London",,Away,Wolverhampton Wanderers,Chelsea,0,0,D,0,0,0,0,,,29.0,48.0,,,21.0,30.0,2.0,2.0,2.0,5.0,,101.0,15.0,1.0,9.0,,1.0,2.0,,,60.0,104.0,41.0,4.0,,13.0,,1.0,1.0,,,,,6.0,1.0,4.0,30.0,,1.0,24.0,49.0,1.0,0.0,41.0,7.0,1.0,,1.0,19.0,27.0,,34.0,2.0,,6.0,12.0,2.0,2.0,2.0,104.0,,9.0,47.0,,403.0,2.0,3.0,6.0,1.0,16.0,156.0,32.0,1.0,6.0,20.0,,1.0,4.0,2.0,17.0,212.0,23.0,94147,1.0,126.0,1.0,4.0,152.0,3.0,,12.0,8.0,40.0,1.0,,3.0,,,11.0,5.0,5.0,50.0,174.0,14.0,6.0,,14.0,,46.0,1.0,,0.0,,13.0,4.0,,,0.0,1.0,,1.0,,21.1,12.0,1.0,1.0,,3.0,,,21.0,1.0,1.0,242.0,16.0,9.0,6.0,4.0,,10.0,,1.0,96.0,1.0,1.0,13.0,18.0,8.0,,6.0,20.0,5.0,,2.0,3.0,15.0,6.0,6.0,1.0,,1.0,,,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,2128489,2021-01-30 15:00:00,"Selhurst Park, London",,Away,Wolverhampton Wanderers,Crystal Palace,0,1,L,0,0,0,0,1.0,,33.0,61.0,,,15.0,11.0,2.0,1.0,4.0,1.0,2.0,141.0,16.0,8.0,13.0,,,6.0,,4.0,163.0,120.0,52.0,6.0,,9.0,2.0,,,,2.0,,,25.0,,15.0,11.0,5.0,3.0,26.0,205.0,,0.0,100.0,10.0,,,,89.0,59.0,5.0,100.0,,1.0,20.0,11.0,2.0,5.0,,120.0,1.0,5.0,156.0,,730.0,4.0,4.0,15.0,,6.0,475.0,28.0,,,4.0,,2.0,3.0,1.0,14.0,540.0,38.0,94147,3.0,296.0,1.0,15.0,315.0,5.0,,11.0,9.0,43.0,,,3.0,,,17.0,6.0,8.0,30.0,493.0,6.0,11.0,2.0,9.0,3.0,62.0,,,0.0,3.0,1.0,,,4.0,0.0,5.0,,2.0,,52.7,13.0,1.0,,1.0,3.0,1.0,,45.0,6.0,,560.0,6.0,3.0,13.0,1.0,,22.0,3.0,1.0,270.0,3.0,3.0,8.0,77.0,25.0,,1.0,4.0,25.0,,3.0,3.0,24.0,1.0,8.0,6.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,4.0,,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,2128502,2021-02-02 18:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Arsenal,2,1,W,1,1,0,2,2.0,1.0,26.0,41.0,,,30.0,17.0,4.0,2.0,7.0,2.0,3.0,140.0,12.0,4.0,18.0,2.0,2.0,10.0,,7.0,169.0,105.0,46.0,11.0,,12.0,2.0,,,1.0,1.0,,2.0,27.0,,7.0,17.0,4.0,7.0,43.0,270.0,,0.0,132.0,11.0,,1.0,,84.0,97.0,6.0,115.0,1.0,,23.0,13.0,4.0,4.0,,105.0,1.0,6.0,152.0,,745.0,8.0,5.0,20.0,,6.0,506.0,16.0,1.0,2.0,11.0,1.0,3.0,4.0,4.0,18.0,556.0,44.0,94147,4.0,258.0,1.0,18.0,272.0,7.0,2.0,13.0,4.0,43.0,2.0,,5.0,,1.0,12.0,3.0,4.0,46.0,524.0,7.0,8.0,1.0,8.0,3.0,59.0,,1.0,0.0,1.0,6.0,2.0,1.0,1.0,0.0,3.0,,3.0,,54.6,15.0,3.0,1.0,2.0,5.0,,,44.0,9.0,,576.0,6.0,4.0,26.0,4.0,,28.0,1.0,4.0,331.0,6.0,6.0,11.0,112.0,17.0,,1.0,11.0,10.0,,7.0,3.0,27.0,1.0,2.0,9.0,,,,,,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,3.0,,,,,,,2.0,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,
23,2128515,2021-02-07 14:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Leicester City,0,0,D,0,0,0,0,,,30.0,68.0,,,24.0,14.0,6.0,2.0,7.0,3.0,1.0,128.0,19.0,5.0,17.0,,2.0,11.0,,1.0,117.0,138.0,61.0,13.0,4.0,9.0,1.0,,,,,,,22.0,,12.0,14.0,5.0,4.0,50.0,147.0,1.0,0.0,88.0,11.0,,1.0,,63.0,60.0,6.0,73.0,1.0,3.0,17.0,30.0,6.0,2.0,2.0,138.0,2.0,6.0,111.0,,635.0,11.0,3.0,19.0,,15.0,329.0,33.0,,2.0,6.0,,1.0,5.0,5.0,20.0,401.0,21.0,94147,6.0,207.0,2.0,14.0,238.0,6.0,,30.0,7.0,46.0,1.0,,2.0,,,18.0,7.0,6.0,47.0,349.0,14.0,8.0,,7.0,4.0,56.0,,,0.0,2.0,2.0,,,1.0,0.0,4.0,,2.0,,43.9,18.0,1.0,,,2.0,6.0,,32.0,8.0,,429.0,15.0,11.0,24.0,6.0,,21.0,1.0,4.0,213.0,9.0,4.0,11.0,66.0,25.0,,1.0,6.0,19.0,,8.0,3.0,25.0,1.0,9.0,8.0,,3.0,2.0,1.0,,,,1.0,,,,2.0,,,3.0,,,5.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
24,2128523,2021-02-14 12:00:00,"St. Mary's Stadium, Southampton",,Away,Wolverhampton Wanderers,Southampton,2,1,W,0,1,0,0,,1.0,34.0,68.0,,,28.0,13.0,4.0,2.0,6.0,2.0,1.0,158.0,18.0,3.0,8.0,2.0,3.0,7.0,,4.0,101.0,172.0,43.0,10.0,2.0,17.0,1.0,,,1.0,1.0,,1.0,19.0,,2.0,13.0,3.0,6.0,47.0,161.0,,0.0,104.0,9.0,,3.0,1.0,74.0,62.0,4.0,95.0,,,16.0,22.0,4.0,5.0,1.0,172.0,,4.0,94.0,,630.0,4.0,3.0,17.0,,13.0,319.0,22.0,,7.0,5.0,1.0,2.0,1.0,3.0,27.0,424.0,48.0,94147,3.0,179.0,,8.0,223.0,3.0,1.0,22.0,3.0,58.0,,,3.0,,1.0,10.0,3.0,2.0,67.0,337.0,8.0,9.0,2.0,27.0,2.0,83.0,,,0.0,5.0,4.0,1.0,2.0,1.0,0.0,2.0,,3.0,1.0,48.9,22.0,2.0,,,3.0,3.0,,53.0,6.0,1.0,448.0,13.0,5.0,21.0,3.0,,19.0,1.0,2.0,244.0,5.0,6.0,18.0,67.0,33.0,1.0,1.0,5.0,9.0,,6.0,3.0,26.0,1.0,6.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,6.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,3.0,,,,,,,,,1.0,,,,,1.0,,,,,,,
25,2128535,2021-02-19 20:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Leeds United,1,0,W,0,0,0,0,2.0,,36.0,51.0,,,19.0,12.0,10.0,5.0,5.0,7.0,3.0,125.0,19.0,1.0,6.0,1.0,2.0,11.0,,5.0,71.0,132.0,42.0,15.0,3.0,19.0,2.0,2.0,1.0,,2.0,,1.0,13.0,,11.0,12.0,6.0,8.0,37.0,136.0,1.0,0.0,85.0,13.0,2.0,1.0,1.0,35.0,50.0,6.0,56.0,,1.0,7.0,13.0,10.0,1.0,3.0,132.0,,15.0,56.0,,500.0,10.0,4.0,9.0,1.0,10.0,221.0,17.0,,8.0,7.0,,1.0,6.0,5.0,31.0,283.0,42.0,94147,2.0,99.0,,5.0,117.0,5.0,,13.0,8.0,50.0,,,4.0,,,17.0,3.0,3.0,50.0,234.0,7.0,4.0,1.0,15.0,2.0,59.0,2.0,,0.0,2.0,9.0,6.0,1.0,1.0,0.0,,,1.0,,41.0,23.0,,,,4.0,5.0,,31.0,7.0,1.0,308.0,10.0,14.0,14.0,5.0,,20.0,1.0,1.0,204.0,9.0,8.0,12.0,54.0,19.0,,2.0,7.0,17.0,,13.0,3.0,10.0,2.0,7.0,7.0,,1.0,2.0,,2.0,1.0,3.0,,,,,,,1.0,1.0,,,3.0,,,,3.0,,,2.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
