gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,savedObox,attRfTarget,attGoalLowCentre,attCmissRight,attOboxBlocked,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissHighRight,divingSave,interceptionsInBox,attMissHighLeft,attRfGoal,totalPullBack,attAssistSetplay,attFastbreak,attSvLowRight,attBxLeft,attGoalLowLeft,postScoringAtt,attIboxPost,bigChanceCreated,attPostLeft,attHdPost,errorLeadToShot,attSetpiece,totalOffside,goalsConcededObox,attGoalLowRight,accurateKeeperSweeper,secondYellow,attHdTarget,totalKeeperSweeper,sixYardBlock,attCmissHigh,defenderGoals,attSvHighCentre,errorLeadToGoal,accurateFreekickCross,penaltyConceded,shieldBallOop,penaltyFaced,penGoalsConceded,attFreekickMiss,accuratePullBack,attObxLeft,attSvLowCentre,attOboxTarget,clearanceOffLine,attLgCentre,attSvHighRight,ownGoals,attFreekickTarget,attOboxPost,attPostHigh,attIboxOwnGoal,attObxRight,totalFastbreak,cleanSheet,attCmissHighLeft,attFreekickPost,penaltyWon,attPenGoal,attObpGoal,attCmissHighRight
11,321764,2010-11-06 15:00:00,"Old Trafford, Manchester",75285,Away,Wolverhampton Wanderers,Manchester United,1,2,L,0,1,0,0,1.0,,1.0,49.0,1.0,,,25.0,25.0,3.0,6.0,1.0,155.0,2.0,7.0,1.0,2.0,8.0,3.0,106.0,154.0,46.0,,9.0,14.0,1.0,,1.0,14.0,17.0,,11.0,,18.0,34.0,172.0,,0.0,137.0,11.0,,,,1.0,2.0,75.0,50.0,6.0,80.0,,14.0,,2.0,,140.0,8.0,108.0,613.0,7.0,9.0,,12.0,22.0,8.0,12.0,1.0,0.0,7.0,2.0,17.0,81.0,,7635,4.0,181.0,1.0,11.0,197.0,10.0,45.0,1.0,5.0,1.0,9.0,9.0,5.0,1.0,60.0,351.0,6.0,8.0,31.0,92.0,,,,,0.0,,3.0,2.0,1.0,2.0,2.0,0.0,2.0,,1.0,,48.2,14.0,,3.0,5.0,4.0,39.0,2.0,2.0,449.0,7.0,9.0,16.0,2.0,10.0,,2.0,266.0,2.0,16.0,15.0,81.0,12.0,1.0,3.0,5.0,18.0,,2.0,8.0,3.0,11.0,3.0,2.0,1.0,1.0,1.0,,3.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,2.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12,321771,2010-11-10 19:45:00,"Molineux Stadium, Wolverhampton",27329,Home,Wolverhampton Wanderers,Arsenal,0,2,L,0,1,0,0,,3.0,,70.0,3.0,,,33.0,25.0,9.0,7.0,,166.0,10.0,7.0,,5.0,11.0,3.0,117.0,187.0,46.0,1.0,18.0,17.0,,,3.0,35.0,11.0,,15.0,5.0,21.0,35.0,189.0,,0.0,150.0,7.0,,,1.0,4.0,1.0,71.0,62.0,6.0,74.0,2.0,30.0,1.0,6.0,2.0,177.0,6.0,109.0,679.0,8.0,14.0,,12.0,24.0,9.0,14.0,,1.0,5.0,5.0,31.0,84.0,,7635,5.0,182.0,2.0,20.0,196.0,5.0,53.0,,4.0,,11.0,8.0,2.0,3.0,76.0,361.0,14.0,4.0,41.0,93.0,,,,,0.0,1.0,3.0,3.0,,2.0,9.0,0.0,7.0,,3.0,,52.0,25.0,3.0,6.0,4.0,7.0,41.0,5.0,1.0,466.0,9.0,12.0,17.0,8.0,30.0,3.0,6.0,305.0,7.0,21.0,13.0,85.0,33.0,,2.0,7.0,12.0,,1.0,9.0,3.0,20.0,2.0,5.0,,,,1.0,4.0,,,,,2.0,,,,,3.0,,1.0,1.0,,,,2.0,,,3.0,4.0,1.0,1.0,,2.0,,,2.0,2.0,2.0,,,,2.0,,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,
13,321786,2010-11-13 15:00:00,"Molineux Stadium, Wolverhampton",27508,Home,Wolverhampton Wanderers,Bolton Wanderers,2,3,L,0,1,0,0,4.0,3.0,1.0,68.0,3.0,1.0,1.0,17.0,30.0,5.0,6.0,,206.0,9.0,9.0,2.0,2.0,11.0,5.0,78.0,236.0,54.0,1.0,15.0,28.0,1.0,,,44.0,10.0,1.0,19.0,10.0,17.0,25.0,168.0,,0.0,161.0,13.0,2.0,,,3.0,1.0,100.0,30.0,6.0,54.0,3.0,36.0,1.0,8.0,1.0,225.0,6.0,76.0,653.0,5.0,19.0,1.0,8.0,28.0,5.0,22.0,2.0,1.0,4.0,5.0,32.0,101.0,4.0,7635,5.0,112.0,1.0,25.0,140.0,13.0,64.0,5.0,2.0,1.0,12.0,12.0,7.0,2.0,70.0,271.0,10.0,6.0,46.0,117.0,,,,,0.0,1.0,3.0,,2.0,3.0,6.0,0.0,6.0,1.0,4.0,,55.5,27.0,3.0,3.0,2.0,4.0,44.0,11.0,1.0,414.0,6.0,14.0,11.0,6.0,31.0,5.0,4.0,318.0,5.0,16.0,21.0,87.0,26.0,1.0,4.0,12.0,14.0,1.0,3.0,5.0,1.0,16.0,4.0,12.0,3.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,4.0,,1.0,3.0,,1.0,,2.0,,,,2.0,2.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
14,321790,2010-11-20 15:00:00,"Bloomfield Road, Blackpool",15922,Away,Wolverhampton Wanderers,Blackpool,1,2,L,0,2,0,0,3.0,3.0,1.0,59.0,3.0,1.0,,33.0,23.0,9.0,9.0,,192.0,10.0,3.0,1.0,3.0,20.0,9.0,89.0,196.0,53.0,,24.0,16.0,2.0,1.0,,56.0,18.0,,12.0,11.0,15.0,18.0,218.0,,0.0,176.0,11.0,,,3.0,3.0,1.0,75.0,47.0,12.0,63.0,6.0,45.0,,12.0,3.0,185.0,6.0,96.0,691.0,17.0,18.0,1.0,5.0,19.0,13.0,8.0,1.0,2.0,4.0,8.0,40.0,86.0,3.0,7635,6.0,135.0,1.0,30.0,149.0,8.0,54.0,3.0,2.0,,7.0,7.0,6.0,2.0,61.0,343.0,7.0,5.0,32.0,101.0,,,,1.0,0.0,1.0,4.0,,1.0,2.0,7.0,0.0,7.0,1.0,7.0,,55.8,35.0,5.0,2.0,2.0,5.0,54.0,11.0,1.0,440.0,5.0,16.0,6.0,10.0,34.0,3.0,7.0,347.0,7.0,15.0,17.0,123.0,28.0,1.0,3.0,5.0,26.0,1.0,1.0,16.0,3.0,12.0,3.0,11.0,2.0,4.0,1.0,2.0,2.0,,,,1.0,1.0,,1.0,,2.0,2.0,,2.0,1.0,,,,2.0,,,1.0,,2.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,2.0,6.0,,,1.0,,,,,,1.0,,,,,,,,
15,321806,2010-11-27 15:00:00,"Molineux Stadium, Wolverhampton",25112,Home,Wolverhampton Wanderers,Sunderland,3,2,W,0,0,0,0,1.0,,2.0,55.0,3.0,,,20.0,34.0,4.0,6.0,1.0,194.0,7.0,5.0,3.0,4.0,14.0,7.0,83.0,224.0,73.0,,18.0,23.0,3.0,2.0,1.0,48.0,14.0,,14.0,10.0,19.0,33.0,169.0,,0.0,160.0,12.0,,1.0,,1.0,1.0,56.0,62.0,8.0,57.0,2.0,38.0,,9.0,2.0,204.0,9.0,82.0,667.0,11.0,17.0,,17.0,21.0,13.0,22.0,1.0,2.0,5.0,6.0,23.0,90.0,2.0,78774,7.0,131.0,2.0,28.0,156.0,8.0,60.0,4.0,3.0,2.0,5.0,7.0,3.0,3.0,48.0,293.0,10.0,4.0,35.0,105.0,1.0,1.0,,,0.0,1.0,5.0,1.0,3.0,2.0,8.0,0.0,5.0,1.0,4.0,1.0,54.0,22.0,2.0,1.0,3.0,4.0,48.0,11.0,1.0,416.0,14.0,14.0,15.0,7.0,20.0,2.0,5.0,308.0,8.0,16.0,33.0,101.0,24.0,1.0,2.0,9.0,25.0,,2.0,13.0,2.0,13.0,2.0,11.0,3.0,2.0,,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,,,,,,1.0,4.0,5.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,1.0,,,,,,,
16,321809,2010-12-04 15:00:00,"Ewood Park, Blackburn",22314,Away,Wolverhampton Wanderers,Blackburn Rovers,0,3,L,0,2,0,0,1.0,5.0,,53.0,,,,22.0,36.0,6.0,10.0,,176.0,8.0,3.0,,2.0,11.0,6.0,86.0,193.0,33.0,,14.0,21.0,3.0,1.0,3.0,45.0,8.0,,23.0,10.0,21.0,36.0,205.0,,0.0,190.0,13.0,2.0,,1.0,3.0,3.0,103.0,52.0,7.0,54.0,1.0,35.0,,9.0,1.0,180.0,9.0,77.0,604.0,11.0,12.0,2.0,7.0,18.0,4.0,28.0,,2.0,1.0,4.0,27.0,87.0,,87835,3.0,82.0,,23.0,97.0,7.0,51.0,2.0,12.0,,7.0,2.0,4.0,,65.0,279.0,8.0,2.0,37.0,88.0,,1.0,,1.0,0.0,,8.0,3.0,,3.0,1.0,0.0,6.0,,1.0,,58.4,24.0,1.0,2.0,12.0,2.0,36.0,11.0,3.0,393.0,6.0,7.0,17.0,6.0,25.0,2.0,4.0,341.0,3.0,20.0,10.0,121.0,16.0,,4.0,16.0,12.0,,3.0,8.0,2.0,12.0,4.0,11.0,,1.0,,,2.0,,,,,,,1.0,,,,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,1.0,,,,,,,,,,
17,321826,2010-12-12 13:30:00,"Molineux Stadium, Wolverhampton",25150,Home,Wolverhampton Wanderers,Birmingham City,1,0,W,1,0,0,0,,3.0,1.0,50.0,,,,25.0,39.0,6.0,7.0,1.0,173.0,11.0,,1.0,6.0,11.0,8.0,44.0,200.0,48.0,1.0,17.0,25.0,5.0,1.0,3.0,40.0,8.0,1.0,18.0,7.0,16.0,43.0,148.0,,0.0,163.0,11.0,,1.0,1.0,4.0,4.0,76.0,79.0,5.0,39.0,,33.0,1.0,7.0,2.0,179.0,2.0,49.0,513.0,9.0,22.0,,20.0,17.0,12.0,25.0,1.0,2.0,,6.0,30.0,88.0,,92178,7.0,55.0,3.0,22.0,78.0,9.0,46.0,3.0,3.0,1.0,8.0,1.0,1.0,2.0,55.0,192.0,15.0,,37.0,83.0,,2.0,,,0.0,2.0,2.0,,1.0,,7.0,0.0,10.0,1.0,6.0,,45.9,25.0,4.0,4.0,3.0,2.0,31.0,7.0,4.0,305.0,14.0,6.0,18.0,7.0,16.0,1.0,5.0,267.0,3.0,14.0,23.0,96.0,18.0,,2.0,12.0,10.0,,,12.0,1.0,4.0,2.0,7.0,,2.0,,,2.0,,1.0,,,,1.0,2.0,,,1.0,,1.0,,,,,3.0,,,,,4.0,,,,,2.0,,,,,1.0,,,,,,,,,,3.0,2.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,
18,321835,2011-02-20 12:00:00,"The Hawthorns, West Bromwich",26170,Away,Wolverhampton Wanderers,West Bromwich Albion,1,1,D,1,0,0,0,,,,50.0,,1.0,1.0,24.0,42.0,4.0,3.0,1.0,160.0,1.0,6.0,1.0,3.0,3.0,1.0,113.0,183.0,46.0,,6.0,8.0,,,1.0,19.0,14.0,,22.0,,34.0,35.0,192.0,1.0,0.0,151.0,6.0,,1.0,,1.0,1.0,81.0,70.0,2.0,72.0,1.0,19.0,,5.0,2.0,163.0,12.0,111.0,647.0,2.0,11.0,,7.0,17.0,5.0,23.0,1.0,0.0,4.0,1.0,22.0,79.0,,5700,2.0,162.0,1.0,13.0,180.0,15.0,33.0,1.0,2.0,,7.0,7.0,3.0,1.0,57.0,353.0,7.0,6.0,34.0,97.0,1.0,,,2.0,0.0,3.0,12.0,4.0,,1.0,4.0,0.0,1.0,1.0,1.0,,55.0,17.0,1.0,1.0,2.0,1.0,43.0,1.0,3.0,456.0,6.0,7.0,14.0,4.0,10.0,,2.0,295.0,2.0,32.0,15.0,91.0,26.0,,5.0,12.0,18.0,,1.0,5.0,3.0,12.0,5.0,1.0,3.0,,,1.0,1.0,,,,1.0,4.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,,1.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
19,321846,2010-12-26 15:00:00,"Molineux Stadium, Wolverhampton",26901,Home,Wolverhampton Wanderers,Wigan Athletic,1,2,L,0,2,0,0,,1.0,1.0,56.0,2.0,,,31.0,15.0,3.0,5.0,1.0,189.0,8.0,7.0,1.0,8.0,7.0,3.0,77.0,237.0,62.0,2.0,10.0,19.0,1.0,1.0,1.0,43.0,20.0,,10.0,7.0,19.0,34.0,169.0,,0.0,183.0,7.0,,,,5.0,,65.0,82.0,5.0,48.0,1.0,36.0,2.0,12.0,1.0,232.0,11.0,72.0,636.0,5.0,13.0,,22.0,19.0,18.0,5.0,1.0,1.0,3.0,2.0,42.0,94.0,1.0,87835,4.0,88.0,,19.0,112.0,5.0,58.0,5.0,2.0,1.0,22.0,4.0,2.0,1.0,63.0,249.0,14.0,8.0,49.0,93.0,,,,,0.0,3.0,3.0,4.0,1.0,2.0,2.0,0.0,7.0,,1.0,,54.6,35.0,1.0,5.0,2.0,3.0,44.0,7.0,,386.0,20.0,16.0,18.0,4.0,33.0,1.0,3.0,317.0,2.0,17.0,16.0,101.0,23.0,1.0,2.0,1.0,25.0,,2.0,7.0,2.0,15.0,2.0,7.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,2.0,,,2.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,
20,321849,2010-12-29 20:00:00,"Anfield, Liverpool",41614,Away,Wolverhampton Wanderers,Liverpool,1,0,W,0,0,0,0,,1.0,1.0,63.0,2.0,,,24.0,37.0,2.0,7.0,1.0,178.0,5.0,1.0,1.0,4.0,7.0,2.0,54.0,214.0,51.0,,8.0,25.0,1.0,,1.0,32.0,15.0,,21.0,8.0,8.0,18.0,155.0,,0.0,183.0,11.0,,1.0,,1.0,1.0,62.0,104.0,4.0,52.0,,24.0,,3.0,2.0,198.0,5.0,68.0,585.0,6.0,10.0,,24.0,15.0,12.0,22.0,1.0,1.0,5.0,3.0,30.0,98.0,1.0,77610,4.0,78.0,1.0,20.0,97.0,9.0,55.0,2.0,2.0,1.0,17.0,8.0,6.0,1.0,64.0,228.0,8.0,3.0,52.0,107.0,,,,1.0,0.0,1.0,2.0,2.0,1.0,,2.0,0.0,4.0,1.0,,,43.6,24.0,,7.0,2.0,2.0,40.0,8.0,2.0,352.0,19.0,13.0,6.0,4.0,17.0,1.0,2.0,287.0,1.0,7.0,22.0,105.0,28.0,,2.0,12.0,20.0,,,7.0,2.0,4.0,2.0,8.0,1.0,,,,,,1.0,,,,2.0,2.0,,,,,1.0,2.0,1.0,,,2.0,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
21,321865,2011-01-01 15:00:00,"Boleyn Ground, London",33500,Away,Wolverhampton Wanderers,West Ham United,0,2,L,0,0,0,0,1.0,1.0,,54.0,3.0,,,22.0,42.0,8.0,6.0,,175.0,8.0,6.0,,5.0,14.0,3.0,55.0,185.0,52.0,2.0,16.0,21.0,2.0,,1.0,26.0,15.0,,25.0,9.0,8.0,29.0,160.0,,0.0,164.0,15.0,,,1.0,1.0,3.0,76.0,60.0,7.0,55.0,1.0,17.0,2.0,1.0,4.0,167.0,7.0,58.0,573.0,13.0,20.0,1.0,17.0,25.0,14.0,26.0,,1.0,2.0,7.0,24.0,88.0,,77610,6.0,76.0,3.0,15.0,93.0,10.0,49.0,2.0,3.0,,12.0,7.0,5.0,3.0,59.0,228.0,7.0,2.0,43.0,94.0,,,,,0.0,2.0,5.0,3.0,,2.0,4.0,0.0,5.0,,4.0,,51.9,21.0,1.0,2.0,3.0,6.0,41.0,10.0,3.0,343.0,10.0,9.0,8.0,7.0,17.0,3.0,2.0,276.0,6.0,6.0,20.0,85.0,8.0,,1.0,16.0,19.0,,2.0,8.0,3.0,9.0,2.0,10.0,3.0,,,1.0,3.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,3.0,,1.0,,1.0,,,,1.0,,2.0,1.0,2.0,,,,,,,1.0,,,,,,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,
22,321871,2011-01-05 19:45:00,"Molineux Stadium, Wolverhampton",26432,Home,Wolverhampton Wanderers,Chelsea,1,0,W,1,0,0,0,,2.0,,52.0,,,,20.0,37.0,3.0,3.0,,135.0,1.0,1.0,1.0,5.0,1.0,2.0,35.0,169.0,46.0,1.0,3.0,6.0,,,,14.0,16.0,,20.0,4.0,14.0,15.0,107.0,,0.0,126.0,15.0,,,,1.0,3.0,61.0,43.0,1.0,34.0,,10.0,1.0,1.0,,152.0,14.0,45.0,447.0,1.0,10.0,1.0,26.0,24.0,7.0,19.0,,0.0,6.0,,17.0,72.0,1.0,87835,,50.0,,8.0,73.0,14.0,41.0,3.0,,,13.0,5.0,4.0,,54.0,156.0,12.0,6.0,37.0,80.0,,,,1.0,0.0,2.0,9.0,3.0,1.0,,4.0,0.0,1.0,,,1.0,32.2,14.0,,3.0,1.0,,30.0,4.0,3.0,249.0,16.0,6.0,7.0,1.0,8.0,,,190.0,,13.0,11.0,69.0,15.0,,8.0,9.0,22.0,,,1.0,3.0,9.0,8.0,4.0,,,,,,1.0,,,,1.0,6.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,
23,321880,2011-01-15 15:00:00,"Etihad Stadium, Manchester",46672,Away,Wolverhampton Wanderers,Manchester City,3,4,L,1,1,0,0,,1.0,2.0,48.0,4.0,1.0,1.0,22.0,26.0,3.0,7.0,1.0,170.0,5.0,2.0,3.0,5.0,9.0,5.0,68.0,166.0,40.0,,15.0,10.0,2.0,,1.0,31.0,14.0,,14.0,6.0,22.0,33.0,182.0,,0.0,173.0,9.0,,1.0,,2.0,2.0,95.0,40.0,6.0,60.0,2.0,25.0,,4.0,2.0,154.0,12.0,77.0,564.0,6.0,10.0,1.0,11.0,15.0,7.0,13.0,1.0,0.0,7.0,3.0,24.0,86.0,1.0,87835,7.0,97.0,1.0,19.0,112.0,8.0,45.0,4.0,1.0,1.0,3.0,5.0,3.0,1.0,56.0,274.0,11.0,13.0,32.0,76.0,,,,,0.0,,12.0,3.0,3.0,4.0,2.0,0.0,3.0,1.0,4.0,,49.6,21.0,1.0,1.0,1.0,5.0,36.0,8.0,2.0,375.0,10.0,8.0,16.0,5.0,23.0,2.0,2.0,294.0,4.0,21.0,6.0,106.0,23.0,1.0,,6.0,21.0,1.0,4.0,10.0,3.0,7.0,,8.0,1.0,,1.0,,1.0,1.0,,,,2.0,2.0,,1.0,1.0,2.0,1.0,,3.0,,1.0,1.0,,,1.0,1.0,,3.0,,2.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,
24,321896,2011-01-22 12:45:00,"Molineux Stadium, Wolverhampton",28869,Home,Wolverhampton Wanderers,Liverpool,0,3,L,0,1,0,0,,3.0,,57.0,1.0,,,28.0,20.0,5.0,6.0,,212.0,10.0,6.0,,8.0,9.0,3.0,75.0,226.0,62.0,2.0,13.0,24.0,1.0,1.0,2.0,43.0,14.0,,11.0,4.0,22.0,44.0,228.0,,0.0,215.0,6.0,,,,6.0,1.0,80.0,60.0,3.0,67.0,,39.0,2.0,7.0,2.0,217.0,10.0,96.0,682.0,9.0,21.0,,19.0,20.0,11.0,8.0,,0.0,2.0,6.0,35.0,104.0,,78774,5.0,96.0,1.0,26.0,117.0,6.0,55.0,2.0,4.0,,11.0,6.0,3.0,3.0,71.0,314.0,17.0,4.0,39.0,103.0,,,,1.0,0.0,2.0,4.0,5.0,,3.0,8.0,0.0,9.0,,5.0,2.0,58.2,29.0,5.0,4.0,4.0,2.0,47.0,5.0,1.0,450.0,15.0,17.0,19.0,8.0,39.0,1.0,6.0,376.0,2.0,21.0,18.0,126.0,21.0,,1.0,4.0,21.0,,2.0,8.0,1.0,10.0,1.0,5.0,1.0,,,,1.0,,,,3.0,2.0,2.0,,,1.0,,,2.0,1.0,,,,1.0,,,,2.0,3.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,
25,321900,2011-02-02 20:00:00,"Macron Stadium, Bolton",18944,Away,Wolverhampton Wanderers,Bolton Wanderers,0,1,L,0,0,0,0,,,,65.0,4.0,,,20.0,42.0,5.0,7.0,,192.0,3.0,4.0,,4.0,12.0,1.0,80.0,215.0,44.0,,13.0,18.0,,,2.0,19.0,11.0,,18.0,2.0,35.0,39.0,188.0,,0.0,160.0,8.0,,,1.0,4.0,3.0,87.0,50.0,6.0,74.0,2.0,17.0,,4.0,3.0,191.0,10.0,77.0,652.0,12.0,12.0,1.0,12.0,22.0,9.0,27.0,,3.0,3.0,6.0,24.0,99.0,2.0,5700,8.0,121.0,1.0,9.0,140.0,10.0,55.0,4.0,7.0,,16.0,4.0,1.0,2.0,76.0,306.0,15.0,6.0,51.0,112.0,,1.0,,1.0,0.0,3.0,8.0,3.0,,1.0,5.0,0.0,3.0,,,,57.4,21.0,,4.0,7.0,5.0,39.0,3.0,4.0,423.0,10.0,16.0,14.0,7.0,26.0,,4.0,302.0,6.0,35.0,9.0,93.0,21.0,,4.0,9.0,16.0,,1.0,11.0,3.0,11.0,4.0,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,4.0,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,
26,321916,2011-02-05 17:30:00,"Molineux Stadium, Wolverhampton",28811,Home,Wolverhampton Wanderers,Manchester United,2,1,W,2,1,0,0,,1.0,,63.0,3.0,2.0,,16.0,38.0,2.0,4.0,,165.0,6.0,2.0,2.0,2.0,6.0,4.0,58.0,185.0,39.0,1.0,9.0,10.0,1.0,,,19.0,12.0,1.0,25.0,1.0,17.0,34.0,132.0,,0.0,130.0,9.0,,,2.0,2.0,3.0,48.0,50.0,6.0,61.0,,18.0,1.0,8.0,,172.0,10.0,66.0,560.0,3.0,15.0,,16.0,28.0,9.0,21.0,2.0,2.0,3.0,,22.0,84.0,3.0,5700,4.0,109.0,,8.0,126.0,10.0,44.0,4.0,4.0,,10.0,5.0,4.0,,63.0,235.0,11.0,5.0,40.0,105.0,,,,,0.0,3.0,6.0,2.0,2.0,1.0,7.0,0.0,6.0,1.0,1.0,,41.7,19.0,,,4.0,4.0,37.0,4.0,3.0,350.0,13.0,12.0,13.0,1.0,16.0,,1.0,243.0,2.0,14.0,8.0,68.0,21.0,1.0,4.0,15.0,18.0,1.0,1.0,4.0,3.0,10.0,4.0,4.0,1.0,1.0,,,1.0,1.0,,,,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,
27,321917,2011-02-12 15:00:00,"Emirates Stadium, London",60050,Away,Wolverhampton Wanderers,Arsenal,0,2,L,0,1,0,0,,,,52.0,,,,25.0,27.0,2.0,2.0,,169.0,2.0,11.0,,2.0,3.0,,107.0,162.0,43.0,,4.0,13.0,,,1.0,21.0,7.0,,13.0,6.0,34.0,28.0,187.0,,0.0,141.0,9.0,,,,1.0,1.0,72.0,68.0,1.0,82.0,,15.0,,4.0,,148.0,15.0,104.0,657.0,2.0,12.0,,14.0,26.0,8.0,9.0,,1.0,4.0,2.0,22.0,75.0,,5700,2.0,193.0,,10.0,207.0,17.0,50.0,2.0,3.0,,10.0,6.0,8.0,1.0,51.0,378.0,15.0,11.0,26.0,86.0,,,,,0.0,2.0,3.0,4.0,,2.0,2.0,0.0,,,1.0,1.0,49.9,20.0,1.0,2.0,3.0,2.0,45.0,6.0,2.0,462.0,11.0,6.0,14.0,2.0,15.0,2.0,2.0,276.0,1.0,33.0,4.0,93.0,16.0,,2.0,4.0,13.0,,2.0,2.0,3.0,22.0,2.0,6.0,2.0,,,,2.0,,,,,3.0,1.0,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
