gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attLfGoal,attGoalLowCentre,attBxRight,attOneOnOne,attMissHighRight,cleanSheet,penaltyWon,interceptionsInBox,attOboxMiss,subsGoals,hitWoodwork,accurateLaunches,totalOffside,attPenGoal,attCmissLeft,effectiveBlockedCross,blockedCross,attOboxGoal,attCmissHigh,attSvHighCentre,forwardGoals,goalsConcededObox,ownGoals,shieldBallOop,attIboxOwnGoal,postScoringAtt,goalFastbreak,attIboxPost,ptsGainedLosingPos,attGoalHighCentre,contentiousDecision,attPostRight,sixYardBlock,attGoalLowLeft,goalAssistSetplay,attPostLeft,attHdPost,defenderGoals,attSvHighRight,attGoalHighLeft,punches,goalAssistDeadball,errorLeadToShot,foulThrowIn,attObxRight,attHdGoal,attOboxPost,attCmissHighLeft,attFreekickGoal,ptsDroppedWinningPos,attFreekickMiss,attPostHigh,penaltyConceded,penaltyFaced,penGoalsConceded,penaltySave
11,2367645,2023-11-05 14:00:00,"The City Ground, Nottingham",29313.0,Away,Aston Villa,Nottingham Forest,0,2,L,0,1,0,0,,3.0,50.0,,3.0,24.0,10.0,2.0,5.0,11.0,1.0,,171.0,10.0,12.0,,1.0,13.0,,,3.0,204.0,131.0,39.0,,13.0,1.0,8.0,3.0,,1.0,,,1.0,36.0,5.0,,,10.0,8.0,7.0,46.0,389.0,0.0,207.0,9.0,1.0,,,,3.0,,,98.0,86.0,7.0,97.0,1.0,28.0,16.0,2.0,,7.0,131.0,2.0,2.0,182.0,843.0,,13.0,2.0,52.0,,8.0,575.0,21.0,2.0,6.0,,1.0,1.0,,6.0,19.0,629.0,92.0,1.0,,98980,6.0,219.0,2.0,21.0,,223.0,5.0,,,1.0,7.0,4.0,49.0,1.0,2.0,,17.0,3.0,4.0,1.0,40.0,598.0,6.0,2.0,,,1.0,64.0,,,0.0,,,,1.0,,2.0,2.0,0.0,8.0,,5.0,73.5,18.0,4.0,7.0,2.0,2.0,4.0,,48.0,10.0,,654.0,8.0,14.0,29.0,6.0,51.0,2.0,5.0,467.0,3.0,7.0,11.0,170.0,19.0,6.0,10.0,,12.0,4.0,28.0,1.0,7.0,10.0,,,,,1.0,,1.0,,,2.0,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,2367650,2023-11-12 14:00:00,"Villa Park, Birmingham",41608.0,Home,Aston Villa,Fulham,3,1,W,2,0,0,0,,3.0,55.0,3.0,1.0,29.0,13.0,3.0,7.0,9.0,4.0,1.0,150.0,2.0,11.0,3.0,2.0,9.0,,1.0,6.0,138.0,123.0,45.0,,12.0,,6.0,3.0,1.0,1.0,1.0,,1.0,8.0,4.0,,1.0,13.0,2.0,6.0,49.0,131.0,0.0,95.0,4.0,1.0,2.0,,1.0,1.0,,,33.0,44.0,6.0,94.0,4.0,6.0,21.0,3.0,,,123.0,3.0,5.0,129.0,665.0,,7.0,3.0,24.0,,10.0,401.0,28.0,,6.0,1.0,1.0,2.0,,3.0,13.0,479.0,48.0,1.0,,98980,4.0,296.0,3.0,6.0,,324.0,3.0,,1.0,1.0,8.0,4.0,37.0,2.0,3.0,2.0,8.0,4.0,1.0,,54.0,425.0,17.0,12.0,1.0,14.0,2.0,52.0,1.0,,0.0,,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,50.7,11.0,2.0,7.0,,3.0,1.0,,32.0,2.0,,511.0,10.0,10.0,29.0,5.0,16.0,1.0,4.0,195.0,3.0,5.0,10.0,57.0,12.0,6.0,7.0,1.0,10.0,1.0,16.0,,8.0,2.0,1.0,2.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,3.0,,,1.0,1.0,1.0,,3.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,2367667,2023-11-26 14:00:00,"Tottenham Hotspur Stadium, London",61679.0,Away,Aston Villa,Tottenham Hotspur,2,1,W,1,1,0,0,1.0,2.0,61.0,1.0,1.0,25.0,15.0,5.0,8.0,9.0,6.0,1.0,132.0,6.0,11.0,2.0,3.0,12.0,,1.0,5.0,100.0,103.0,49.0,1.0,15.0,1.0,9.0,,,1.0,1.0,,5.0,16.0,9.0,,3.0,15.0,3.0,6.0,29.0,150.0,0.0,91.0,13.0,4.0,,,,2.0,2.0,2.0,44.0,37.0,6.0,64.0,3.0,13.0,11.0,6.0,1.0,2.0,103.0,4.0,16.0,88.0,565.0,,8.0,1.0,16.0,,12.0,310.0,33.0,,7.0,2.0,1.0,4.0,2.0,6.0,8.0,357.0,38.0,,2.0,98980,7.0,187.0,3.0,9.0,2.0,207.0,10.0,,1.0,,3.0,9.0,54.0,2.0,5.0,1.0,14.0,2.0,7.0,,45.0,331.0,11.0,12.0,2.0,10.0,1.0,47.0,,,0.0,1.0,1.0,9.0,6.0,2.0,1.0,,0.0,4.0,2.0,4.0,38.0,7.0,3.0,4.0,,5.0,2.0,1.0,29.0,3.0,3.0,384.0,12.0,14.0,21.0,8.0,18.0,2.0,6.0,193.0,2.0,5.0,9.0,74.0,13.0,7.0,18.0,1.0,11.0,4.0,18.0,,3.0,3.0,1.0,1.0,,,,,,,,3.0,2.0,,1.0,2.0,2.0,,2.0,,,,,,1.0,,,,,,,,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,
14,2367668,2023-12-03 14:00:00,"Vitality Stadium, Bournemouth",11191.0,Away,Aston Villa,Bournemouth,2,2,D,1,1,0,0,,,63.0,,3.0,27.0,16.0,5.0,5.0,6.0,5.0,1.0,154.0,3.0,8.0,2.0,1.0,8.0,,,3.0,132.0,155.0,65.0,1.0,11.0,2.0,16.0,1.0,,,2.0,1.0,1.0,20.0,16.0,,,16.0,6.0,7.0,37.0,163.0,0.0,117.0,12.0,3.0,,,1.0,,1.0,1.0,49.0,42.0,6.0,83.0,,14.0,21.0,5.0,1.0,2.0,155.0,1.0,13.0,104.0,678.0,,6.0,10.0,22.0,,7.0,355.0,18.0,,6.0,2.0,,3.0,3.0,2.0,23.0,444.0,56.0,,1.0,98980,4.0,218.0,1.0,11.0,1.0,253.0,8.0,,,1.0,6.0,5.0,63.0,,9.0,2.0,10.0,2.0,4.0,1.0,53.0,378.0,16.0,11.0,,19.0,1.0,64.0,,,0.0,,2.0,7.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,62.7,19.0,,8.0,1.0,9.0,5.0,,38.0,7.0,1.0,473.0,7.0,13.0,24.0,3.0,26.0,,,240.0,5.0,5.0,18.0,81.0,22.0,6.0,24.0,2.0,8.0,5.0,20.0,1.0,6.0,7.0,,,1.0,,1.0,,1.0,,,2.0,3.0,,1.0,7.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,
15,2367678,2023-12-06 20:15:00,"Villa Park, Birmingham",41421.0,Home,Aston Villa,Manchester City,1,0,W,0,0,0,0,1.0,3.0,55.0,,4.0,31.0,6.0,10.0,11.0,12.0,2.0,3.0,147.0,4.0,16.0,1.0,3.0,18.0,,1.0,7.0,108.0,113.0,53.0,,22.0,5.0,3.0,4.0,,,1.0,1.0,1.0,17.0,7.0,1.0,2.0,6.0,5.0,9.0,43.0,173.0,0.0,123.0,13.0,2.0,,2.0,1.0,,1.0,,39.0,59.0,13.0,66.0,1.0,13.0,19.0,10.0,,1.0,113.0,1.0,2.0,115.0,608.0,,14.0,2.0,36.0,,7.0,353.0,25.0,1.0,2.0,1.0,,2.0,,5.0,12.0,412.0,47.0,1.0,1.0,98980,4.0,203.0,2.0,11.0,1.0,223.0,12.0,,1.0,,13.0,3.0,36.0,2.0,2.0,1.0,15.0,,3.0,1.0,54.0,372.0,13.0,2.0,3.0,11.0,5.0,45.0,,2.0,0.0,,,,2.0,,,2.0,0.0,3.0,,1.0,46.1,10.0,1.0,13.0,2.0,2.0,9.0,,27.0,6.0,,436.0,7.0,14.0,26.0,6.0,27.0,2.0,4.0,230.0,10.0,6.0,9.0,90.0,12.0,2.0,15.0,,16.0,4.0,21.0,,13.0,6.0,,,,,3.0,,1.0,1.0,,,1.0,,1.0,3.0,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
16,2367688,2023-12-09 17:30:00,"Villa Park, Birmingham",42000.0,Home,Aston Villa,Arsenal,1,0,W,1,0,0,0,,1.0,62.0,,2.0,20.0,25.0,5.0,6.0,5.0,3.0,1.0,116.0,,4.0,1.0,1.0,6.0,,,3.0,57.0,135.0,49.0,1.0,10.0,3.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,17.0,,,25.0,3.0,4.0,35.0,85.0,0.0,82.0,16.0,3.0,2.0,,1.0,1.0,,4.0,24.0,27.0,5.0,43.0,1.0,6.0,8.0,5.0,1.0,,135.0,,10.0,73.0,496.0,,5.0,2.0,15.0,,13.0,190.0,22.0,,6.0,1.0,2.0,4.0,4.0,1.0,18.0,255.0,46.0,,,98980,2.0,124.0,,6.0,1.0,151.0,15.0,,,1.0,4.0,8.0,62.0,,3.0,1.0,11.0,2.0,5.0,,65.0,209.0,10.0,7.0,,18.0,,56.0,2.0,,0.0,,1.0,3.0,5.0,1.0,,,0.0,,1.0,,38.5,16.0,,6.0,2.0,3.0,5.0,2.0,21.0,3.0,5.0,289.0,13.0,18.0,15.0,2.0,17.0,,,147.0,4.0,3.0,4.0,48.0,18.0,6.0,31.0,,8.0,5.0,17.0,,4.0,3.0,,,1.0,,1.0,,,1.0,,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
17,2367700,2023-12-17 14:00:00,"Gtech Community Stadium, Brentford",17034.0,Away,Aston Villa,Brentford,2,1,W,0,1,1,1,,2.0,53.0,,2.0,21.0,29.0,7.0,7.0,8.0,2.0,1.0,132.0,9.0,12.0,2.0,,12.0,,3.0,5.0,164.0,143.0,56.0,,15.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,11.0,,2.0,29.0,4.0,3.0,34.0,309.0,0.0,228.0,6.0,2.0,1.0,,1.0,,1.0,1.0,78.0,55.0,6.0,91.0,4.0,20.0,18.0,7.0,,10.0,143.0,4.0,4.0,141.0,749.0,,9.0,5.0,29.0,,7.0,417.0,18.0,,13.0,2.0,1.0,4.0,,6.0,23.0,494.0,77.0,1.0,,98980,4.0,149.0,2.0,9.0,,174.0,6.0,,,,5.0,,50.0,2.0,2.0,1.0,13.0,,,1.0,38.0,449.0,18.0,5.0,1.0,12.0,3.0,42.0,1.0,,0.0,,2.0,7.0,2.0,2.0,1.0,2.0,1.0,7.0,2.0,3.0,67.2,22.0,1.0,5.0,,2.0,4.0,,29.0,11.0,1.0,528.0,7.0,22.0,22.0,6.0,36.0,2.0,3.0,378.0,5.0,2.0,14.0,184.0,26.0,13.0,12.0,1.0,12.0,4.0,23.0,,5.0,12.0,2.0,1.0,,,,,,,,,3.0,,,2.0,,,1.0,2.0,2.0,,,2.0,1.0,,,,,,,,3.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,
18,2367708,2023-12-22 20:00:00,"Villa Park, Birmingham",41651.0,Home,Aston Villa,Sheffield United,1,1,D,0,0,0,0,,,45.0,1.0,1.0,11.0,4.0,5.0,4.0,7.0,1.0,2.0,183.0,6.0,4.0,1.0,4.0,11.0,,,4.0,207.0,140.0,51.0,,12.0,3.0,20.0,3.0,1.0,,1.0,2.0,,28.0,3.0,,,4.0,7.0,9.0,32.0,349.0,0.0,217.0,11.0,1.0,1.0,,,1.0,1.0,,84.0,90.0,7.0,80.0,,21.0,22.0,5.0,,7.0,140.0,3.0,3.0,186.0,833.0,,8.0,1.0,42.0,1.0,4.0,552.0,20.0,2.0,1.0,1.0,,3.0,1.0,4.0,19.0,630.0,58.0,,,98980,5.0,234.0,2.0,13.0,1.0,254.0,11.0,,,1.0,11.0,3.0,69.0,1.0,5.0,1.0,4.0,2.0,3.0,2.0,23.0,577.0,16.0,7.0,2.0,6.0,4.0,58.0,1.0,,0.0,,1.0,1.0,,1.0,1.0,,0.0,5.0,1.0,4.0,77.7,16.0,1.0,1.0,,5.0,4.0,,46.0,9.0,,656.0,4.0,17.0,16.0,4.0,53.0,1.0,2.0,430.0,4.0,9.0,20.0,175.0,19.0,1.0,11.0,1.0,7.0,3.0,18.0,,11.0,9.0,1.0,,,,1.0,,,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
19,2367725,2023-12-26 20:00:00,"Old Trafford, Manchester",73574.0,Away,Aston Villa,Manchester United,2,3,L,2,0,0,0,,2.0,52.0,2.0,2.0,24.0,14.0,2.0,5.0,7.0,4.0,,135.0,5.0,11.0,2.0,1.0,8.0,1.0,,4.0,119.0,148.0,49.0,1.0,10.0,2.0,15.0,2.0,,5.0,,1.0,,21.0,8.0,,,14.0,5.0,6.0,43.0,150.0,0.0,116.0,10.0,1.0,,,2.0,,,1.0,46.0,43.0,6.0,87.0,1.0,16.0,21.0,3.0,1.0,4.0,148.0,2.0,8.0,121.0,653.0,,6.0,6.0,43.0,,7.0,357.0,29.0,,8.0,1.0,5.0,3.0,3.0,2.0,22.0,435.0,43.0,,,98980,4.0,234.0,1.0,12.0,,269.0,8.0,,1.0,3.0,10.0,4.0,50.0,1.0,4.0,,19.0,5.0,4.0,1.0,43.0,379.0,10.0,4.0,1.0,16.0,2.0,40.0,,1.0,0.0,,2.0,3.0,2.0,1.0,3.0,3.0,0.0,3.0,1.0,2.0,54.3,16.0,2.0,6.0,,4.0,4.0,,29.0,6.0,1.0,462.0,7.0,10.0,29.0,2.0,23.0,2.0,2.0,214.0,3.0,5.0,14.0,76.0,10.0,8.0,14.0,3.0,7.0,5.0,22.0,,10.0,6.0,1.0,,1.0,,1.0,,,,,,,,,4.0,,,,2.0,2.0,1.0,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,1.0,3.0,,,,,,
20,2367728,2023-12-30 15:00:00,"Villa Park, Birmingham",41613.0,Home,Aston Villa,Burnley,3,2,W,2,1,0,1,1.0,3.0,39.0,2.0,3.0,19.0,12.0,6.0,12.0,13.0,3.0,1.0,127.0,1.0,6.0,3.0,4.0,14.0,3.0,1.0,7.0,136.0,110.0,40.0,1.0,19.0,2.0,14.0,2.0,,2.0,2.0,3.0,1.0,17.0,5.0,2.0,2.0,12.0,5.0,6.0,32.0,180.0,0.0,124.0,9.0,3.0,,,2.0,1.0,1.0,,50.0,66.0,10.0,66.0,1.0,12.0,24.0,6.0,1.0,3.0,110.0,2.0,7.0,136.0,611.0,,11.0,3.0,41.0,,4.0,374.0,12.0,1.0,8.0,2.0,2.0,4.0,1.0,4.0,12.0,438.0,50.0,,,98980,9.0,217.0,1.0,8.0,3.0,233.0,7.0,,2.0,6.0,10.0,5.0,39.0,3.0,4.0,2.0,8.0,2.0,4.0,4.0,39.0,396.0,13.0,4.0,1.0,9.0,2.0,43.0,,,0.0,,2.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,65.7,12.0,1.0,3.0,2.0,4.0,5.0,,26.0,6.0,,465.0,4.0,7.0,14.0,7.0,29.0,,5.0,249.0,6.0,6.0,11.0,85.0,16.0,8.0,10.0,2.0,12.0,3.0,13.0,,10.0,6.0,2.0,,1.0,,2.0,,,,1.0,1.0,2.0,,,3.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,2367744,2024-01-14 14:00:00,"Goodison Park, Liverpool",39284.0,Away,Aston Villa,Everton,0,0,D,0,0,0,0,,1.0,56.0,,1.0,22.0,19.0,4.0,3.0,12.0,2.0,3.0,170.0,4.0,13.0,,1.0,12.0,1.0,1.0,5.0,123.0,145.0,44.0,,16.0,3.0,19.0,5.0,,,,2.0,4.0,20.0,7.0,,,19.0,,5.0,34.0,182.0,0.0,138.0,14.0,2.0,,,,,1.0,4.0,64.0,56.0,7.0,102.0,3.0,20.0,14.0,4.0,,4.0,145.0,1.0,7.0,135.0,748.0,,12.0,,27.0,1.0,4.0,428.0,25.0,,10.0,,,4.0,3.0,5.0,34.0,499.0,52.0,2.0,,98980,6.0,276.0,1.0,15.0,,295.0,9.0,,,1.0,5.0,5.0,58.0,2.0,6.0,,19.0,3.0,4.0,,54.0,454.0,13.0,1.0,,18.0,2.0,66.0,,2.0,0.0,,1.0,4.0,2.0,,,,0.0,4.0,,3.0,68.7,27.0,2.0,2.0,,6.0,4.0,,37.0,5.0,4.0,530.0,4.0,15.0,13.0,7.0,31.0,,6.0,255.0,9.0,5.0,8.0,100.0,20.0,10.0,10.0,,14.0,4.0,23.0,,5.0,5.0,,,,,3.0,,,1.0,,2.0,1.0,,,4.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,2367748,2024-01-30 20:15:00,"Villa Park, Birmingham",42191.0,Home,Aston Villa,Newcastle United,1,3,L,0,2,0,0,,2.0,51.0,,2.0,24.0,11.0,3.0,5.0,9.0,3.0,3.0,172.0,5.0,9.0,1.0,,11.0,,,6.0,160.0,131.0,41.0,,12.0,,15.0,4.0,,2.0,1.0,2.0,1.0,23.0,9.0,,1.0,11.0,4.0,8.0,46.0,255.0,0.0,163.0,14.0,1.0,,,,1.0,,,39.0,63.0,7.0,92.0,,19.0,20.0,3.0,,7.0,131.0,3.0,14.0,145.0,755.0,,8.0,2.0,27.0,,3.0,471.0,20.0,1.0,8.0,1.0,2.0,4.0,4.0,4.0,23.0,539.0,51.0,6.0,,98980,2.0,248.0,2.0,12.0,,276.0,14.0,,,1.0,8.0,5.0,53.0,6.0,5.0,1.0,16.0,1.0,4.0,2.0,48.0,498.0,12.0,5.0,2.0,18.0,3.0,53.0,,1.0,0.0,,2.0,7.0,3.0,1.0,3.0,,0.0,3.0,1.0,3.0,61.0,20.0,2.0,4.0,,5.0,2.0,,33.0,8.0,,569.0,3.0,13.0,21.0,4.0,43.0,2.0,2.0,316.0,4.0,7.0,7.0,130.0,21.0,8.0,13.0,3.0,9.0,3.0,15.0,,8.0,8.0,1.0,,1.0,,5.0,,,,,,2.0,,,7.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2367767,2024-02-03 17:30:00,"Bramall Lane, Sheffield",,Away,Aston Villa,Sheffield United,5,0,W,4,0,0,0,,2.0,47.0,,,35.0,13.0,4.0,6.0,10.0,4.0,3.0,165.0,4.0,11.0,5.0,2.0,12.0,,,10.0,177.0,108.0,40.0,1.0,14.0,,8.0,3.0,1.0,,3.0,3.0,1.0,12.0,5.0,,2.0,13.0,3.0,9.0,30.0,200.0,0.0,88.0,7.0,4.0,2.0,,3.0,1.0,1.0,,39.0,80.0,8.0,101.0,,9.0,20.0,4.0,1.0,1.0,108.0,5.0,10.0,190.0,787.0,,8.0,3.0,25.0,,8.0,543.0,17.0,,9.0,3.0,,0.0,4.0,4.0,17.0,613.0,47.0,4.0,,98980,5.0,366.0,3.0,7.0,,383.0,7.0,,3.0,,9.0,3.0,40.0,9.0,5.0,4.0,7.0,,3.0,3.0,51.0,562.0,10.0,8.0,1.0,4.0,2.0,80.0,1.0,,0.0,,1.0,3.0,5.0,5.0,,1.0,0.0,4.0,2.0,,64.1,13.0,,2.0,,5.0,,1.0,59.0,4.0,,633.0,8.0,11.0,16.0,4.0,27.0,,2.0,262.0,8.0,9.0,12.0,55.0,23.0,9.0,8.0,,11.0,5.0,17.0,,9.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,
24,2367768,2024-02-11 16:30:00,"Villa Park, Birmingham",,Home,Aston Villa,Manchester United,1,2,L,0,1,0,0,,5.0,50.0,1.0,6.0,10.0,14.0,4.0,14.0,18.0,3.0,3.0,151.0,3.0,15.0,1.0,1.0,14.0,1.0,1.0,10.0,142.0,122.0,38.0,1.0,23.0,1.0,15.0,6.0,1.0,1.0,,4.0,3.0,23.0,8.0,1.0,3.0,14.0,7.0,5.0,28.0,239.0,0.0,165.0,9.0,2.0,1.0,1.0,1.0,1.0,,,57.0,60.0,10.0,73.0,2.0,16.0,10.0,5.0,1.0,4.0,122.0,2.0,13.0,125.0,677.0,,14.0,1.0,47.0,1.0,12.0,405.0,17.0,,5.0,,1.0,3.0,7.0,4.0,14.0,468.0,52.0,2.0,,98980,9.0,191.0,3.0,12.0,,203.0,9.0,,1.0,3.0,5.0,5.0,55.0,3.0,4.0,,9.0,4.0,5.0,,29.0,427.0,7.0,6.0,,8.0,5.0,53.0,1.0,2.0,0.0,1.0,1.0,8.0,2.0,1.0,2.0,,0.0,2.0,,1.0,55.9,11.0,,8.0,3.0,4.0,7.0,,35.0,10.0,,491.0,12.0,16.0,11.0,6.0,45.0,1.0,5.0,311.0,8.0,5.0,6.0,129.0,19.0,5.0,10.0,2.0,17.0,4.0,24.0,,5.0,10.0,1.0,,,,4.0,,1.0,,,3.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,
25,2367781,2024-02-17 15:00:00,"Craven Cottage, London",24401.0,Away,Aston Villa,Fulham,2,1,W,1,0,0,0,2.0,,44.0,,3.0,18.0,28.0,5.0,3.0,7.0,3.0,1.0,112.0,3.0,5.0,2.0,1.0,9.0,,1.0,3.0,118.0,108.0,35.0,1.0,12.0,,7.0,1.0,2.0,,1.0,1.0,2.0,10.0,8.0,,,28.0,4.0,5.0,32.0,138.0,0.0,72.0,6.0,1.0,2.0,,,,,1.0,45.0,42.0,4.0,72.0,2.0,6.0,21.0,5.0,1.0,1.0,108.0,2.0,11.0,123.0,596.0,,5.0,3.0,19.0,,4.0,336.0,10.0,,10.0,1.0,,2.0,1.0,5.0,15.0,396.0,34.0,2.0,,98980,6.0,225.0,1.0,5.0,,245.0,5.0,,2.0,1.0,10.0,15.0,30.0,2.0,6.0,2.0,14.0,4.0,12.0,,45.0,360.0,11.0,5.0,3.0,11.0,4.0,61.0,2.0,,0.0,,,4.0,3.0,2.0,1.0,,0.0,,1.0,3.0,47.8,13.0,1.0,3.0,,6.0,3.0,,34.0,4.0,1.0,425.0,4.0,8.0,12.0,6.0,14.0,3.0,1.0,190.0,6.0,4.0,8.0,44.0,17.0,10.0,11.0,1.0,7.0,3.0,11.0,,10.0,4.0,2.0,,,,1.0,,1.0,,,,4.0,,1.0,2.0,6.0,,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,
26,2367790,2024-02-24 15:00:00,"Villa Park, Birmingham",42422.0,Home,Aston Villa,Nottingham Forest,4,2,W,3,1,0,0,,1.0,40.0,1.0,3.0,16.0,22.0,3.0,8.0,13.0,1.0,1.0,125.0,3.0,12.0,4.0,4.0,10.0,3.0,,6.0,158.0,96.0,46.0,2.0,16.0,2.0,3.0,2.0,1.0,,2.0,1.0,,13.0,7.0,1.0,,22.0,5.0,10.0,27.0,183.0,0.0,113.0,7.0,,1.0,,3.0,,2.0,,57.0,44.0,6.0,90.0,1.0,8.0,14.0,3.0,2.0,1.0,96.0,3.0,7.0,139.0,683.0,,7.0,,40.0,,1.0,443.0,21.0,,10.0,3.0,,1.0,1.0,4.0,14.0,485.0,43.0,,,98980,8.0,289.0,1.0,5.0,,304.0,6.0,,2.0,4.0,9.0,8.0,48.0,3.0,3.0,3.0,16.0,3.0,8.0,1.0,31.0,469.0,16.0,15.0,,10.0,1.0,45.0,1.0,1.0,0.0,,1.0,2.0,,4.0,2.0,,0.0,2.0,3.0,1.0,58.1,12.0,,3.0,,3.0,5.0,,36.0,7.0,,512.0,1.0,13.0,17.0,5.0,23.0,1.0,3.0,221.0,7.0,10.0,5.0,92.0,12.0,10.0,13.0,2.0,13.0,5.0,22.0,,9.0,7.0,4.0,,1.0,2.0,3.0,,2.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,
