gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attSvHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,wonCorners,handBall,attObxLeft,interceptionsInBox,secondYellow,accurateThroughBall,clearanceOffLine,errorLeadToGoal,penaltySave,goalAssistDeadball,attSvLowCentre,attMissLeft,penaltyConceded,attCmissLeft,penaltyFaced,attSvLowLeft,errorLeadToShot,penGoalsConceded,attSvHighLeft,sixYardBlock,attObxRight,hitWoodwork,foulThrowIn,postScoringAtt,attIboxPost,attPostHigh,shieldBallOop,attCmissHighRight,attBxLeft,attIboxOwnGoal,attCmissHigh,ptsDroppedWinningPos,attLgCentre,cleanSheet,attFreekickPost,attOboxPost,attPostLeft,goalFastbreak,attHdPost,attObxdLeft,attPostRight,ptsGainedLosingPos,penaltyWon,attPenTarget
13,266373,2008-11-15 15:00:00,"Boleyn Ground, London",,Home,West Ham United,Portsmouth,0,0,D,0,0,0,0,,1.0,50.0,,,2.0,2.0,,,24.0,31.0,6.0,4.0,,,,2.0,,4.0,8.0,,,9.0,,5.0,165.0,62.0,2.0,16.0,2.0,11.0,4.0,,,,32.0,26.0,,1.0,13.0,8.0,16.0,40.0,,164.0,1.0,,,0.0,141.0,8.0,,1.0,,,,3.0,63.0,47.0,5.0,2.0,24.0,,2.0,,,8.0,3.0,147.0,8.0,,707.0,8.0,11.0,,2.0,16.0,,16.0,1.0,4.0,17.0,,0.0,4.0,4.0,,23.0,,,75.0,,9540,,182.0,13.0,1.0,196.0,,8.0,57.0,,11.0,,1.0,8.0,,7.0,5.0,1.0,,44.0,342.0,11.0,12.0,1.0,15.0,,77.0,,,,2.0,,1.0,0.0,,8.0,4.0,,,3.0,0.0,3.0,,3.0,53.3,20.0,1.0,7.0,,9.0,4.0,52.0,8.0,3.0,426.0,16.0,,20.0,23.0,7.0,31.0,1.0,3.0,262.0,9.0,15.0,9.0,83.0,15.0,,3.0,7.0,34.0,,,,3.0,15.0,,3.0,8.0,1.0,,2.0,,2.0,,,,,2.0,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
14,266381,2008-11-23 16:00:00,"Stadium of Light, Sunderland",,Away,West Ham United,Sunderland,1,0,W,1,0,0,0,,,55.0,,,,,,,28.0,76.0,7.0,4.0,,,1.0,,,3.0,2.0,1.0,,8.0,,1.0,177.0,64.0,1.0,11.0,5.0,10.0,,1.0,,,12.0,17.0,,,33.0,2.0,16.0,39.0,,146.0,3.0,,,0.0,114.0,16.0,,1.0,,1.0,,2.0,47.0,29.0,4.0,,10.0,,1.0,,,3.0,2.0,134.0,10.0,,673.0,8.0,14.0,,,15.0,,13.0,,12.0,47.0,,1.0,3.0,4.0,,19.0,,,78.0,,9540,,140.0,5.0,2.0,167.0,,15.0,58.0,,3.0,,,6.0,,8.0,8.0,1.0,,53.0,283.0,13.0,8.0,,33.0,,99.0,1.0,1.0,,,,1.0,0.0,,4.0,2.0,1.0,,4.0,0.0,2.0,,1.0,41.6,14.0,1.0,14.0,,6.0,5.0,56.0,2.0,3.0,371.0,15.0,1.0,16.0,25.0,5.0,15.0,1.0,2.0,216.0,6.0,16.0,23.0,72.0,16.0,,9.0,21.0,26.0,,,,3.0,10.0,,9.0,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,
15,266386,2008-12-01 20:00:00,"Anfield, Liverpool",,Away,West Ham United,Liverpool,0,0,D,0,0,0,0,,1.0,62.0,,,1.0,,,,17.0,38.0,4.0,3.0,,,,1.0,,1.0,6.0,,,5.0,,2.0,164.0,47.0,1.0,7.0,,12.0,,1.0,,,12.0,19.0,,2.0,21.0,5.0,18.0,25.0,,86.0,,,,0.0,87.0,9.0,,2.0,,,,,50.0,33.0,,1.0,7.0,,1.0,,,1.0,2.0,147.0,10.0,,578.0,4.0,22.0,,,18.0,,23.0,1.0,9.0,22.0,,1.0,6.0,5.0,,19.0,,,66.0,,9540,,118.0,5.0,,141.0,,19.0,47.0,,5.0,,5.0,4.0,,15.0,9.0,,,50.0,203.0,5.0,8.0,1.0,36.0,,84.0,1.0,,,,,3.0,0.0,1.0,17.0,5.0,,,3.0,0.0,,,1.0,33.2,15.0,1.0,5.0,,4.0,,30.0,5.0,,300.0,18.0,,9.0,10.0,5.0,12.0,1.0,2.0,171.0,3.0,17.0,9.0,41.0,22.0,,13.0,10.0,27.0,,,,1.0,17.0,,13.0,5.0,2.0,1.0,1.0,,2.0,2.0,,,,1.0,2.0,,,,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,
16,266403,2008-12-08 20:00:00,"Boleyn Ground, London",34277.0,Home,West Ham United,Tottenham Hotspur,0,2,L,0,0,0,0,1.0,2.0,68.0,,,2.0,6.0,,,35.0,36.0,9.0,6.0,,,,1.0,,6.0,6.0,,,12.0,,3.0,176.0,55.0,1.0,17.0,1.0,15.0,1.0,,,,25.0,13.0,,2.0,17.0,7.0,15.0,35.0,,141.0,1.0,,,0.0,100.0,14.0,,3.0,,,,1.0,46.0,52.0,7.0,2.0,18.0,,1.0,,,6.0,6.0,157.0,9.0,,703.0,10.0,14.0,,,15.0,,19.0,1.0,7.0,23.0,,2.0,2.0,5.0,,27.0,,,66.0,,9540,,188.0,8.0,2.0,203.0,,6.0,62.0,,5.0,,6.0,10.0,,6.0,2.0,,,61.0,323.0,15.0,9.0,2.0,28.0,,85.0,,,,1.0,,,0.0,,5.0,5.0,,2.0,4.0,0.0,3.0,,,48.9,24.0,,11.0,,10.0,7.0,47.0,7.0,1.0,424.0,13.0,,16.0,19.0,7.0,17.0,3.0,1.0,246.0,9.0,13.0,15.0,51.0,30.0,,3.0,8.0,19.0,,1.0,,3.0,14.0,,3.0,7.0,,,1.0,,,,,,,2.0,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,266405,2008-12-14 16:00:00,"Stamford Bridge, London",,Away,West Ham United,Chelsea,1,1,D,1,0,0,0,,,64.0,1.0,,3.0,2.0,,,18.0,43.0,1.0,3.0,,,,1.0,,3.0,14.0,1.0,,4.0,,2.0,152.0,65.0,,6.0,,5.0,1.0,,,,15.0,21.0,,,25.0,4.0,23.0,25.0,,117.0,,,,0.0,94.0,22.0,,2.0,,,,3.0,37.0,50.0,3.0,2.0,11.0,,,,,2.0,2.0,134.0,12.0,,658.0,4.0,13.0,,,15.0,,22.0,,11.0,27.0,,2.0,16.0,1.0,,14.0,,,60.0,,9540,,168.0,8.0,,194.0,1.0,10.0,61.0,,3.0,,3.0,8.0,,19.0,5.0,,,46.0,282.0,14.0,11.0,,42.0,,88.0,,,,,,2.0,0.0,,9.0,4.0,1.0,1.0,5.0,0.0,1.0,,,40.7,12.0,,8.0,,8.0,2.0,41.0,4.0,3.0,368.0,15.0,,12.0,12.0,2.0,10.0,2.0,,189.0,3.0,21.0,12.0,53.0,19.0,1.0,3.0,13.0,25.0,,1.0,,3.0,28.0,,3.0,4.0,3.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
18,266423,2008-12-20 17:30:00,"Boleyn Ground, London",31353.0,Home,West Ham United,Aston Villa,0,1,L,0,0,0,0,,4.0,67.0,,,,2.0,,,30.0,37.0,5.0,6.0,,,,4.0,,8.0,5.0,,5.0,14.0,,8.0,181.0,49.0,1.0,20.0,4.0,14.0,7.0,3.0,1.0,,26.0,17.0,,1.0,19.0,6.0,27.0,24.0,,197.0,,,,0.0,158.0,8.0,,1.0,3.0,,5.0,4.0,39.0,65.0,8.0,1.0,20.0,,1.0,,,6.0,,163.0,7.0,,743.0,8.0,16.0,,,6.0,,17.0,,11.0,23.0,,2.0,2.0,6.0,,32.0,,,104.0,2.0,9540,9.0,216.0,9.0,2.0,224.0,,12.0,59.0,1.0,2.0,,1.0,12.0,,5.0,7.0,4.0,,61.0,405.0,12.0,4.0,6.0,44.0,,108.0,3.0,,,4.0,,,0.0,,6.0,2.0,,1.0,9.0,0.0,4.0,,6.0,64.9,24.0,6.0,11.0,2.0,13.0,6.0,57.0,7.0,4.0,502.0,6.0,,24.0,13.0,6.0,37.0,4.0,6.0,304.0,8.0,25.0,12.0,89.0,25.0,,4.0,9.0,20.0,,1.0,11.0,3.0,14.0,,4.0,7.0,,,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,
19,266429,2008-12-26 13:00:00,"Fratton Park, Portsmouth",20102.0,Away,West Ham United,Portsmouth,4,1,W,1,1,0,0,,,60.0,,1.0,3.0,1.0,,,18.0,55.0,5.0,2.0,,,,3.0,2.0,4.0,3.0,4.0,,9.0,,7.0,172.0,54.0,2.0,16.0,2.0,9.0,1.0,3.0,,2.0,17.0,30.0,,2.0,28.0,3.0,16.0,13.0,,126.0,1.0,,,0.0,115.0,10.0,,3.0,,1.0,,4.0,52.0,30.0,6.0,1.0,14.0,,2.0,,,2.0,2.0,144.0,12.0,,677.0,6.0,4.0,,,26.0,,20.0,,6.0,28.0,2.0,3.0,6.0,3.0,,12.0,,,66.0,,9540,,169.0,11.0,2.0,187.0,4.0,10.0,67.0,,7.0,,7.0,7.0,,11.0,3.0,2.0,,38.0,291.0,14.0,18.0,1.0,23.0,,74.0,3.0,1.0,,,,,0.0,1.0,9.0,3.0,4.0,1.0,1.0,0.0,3.0,2.0,1.0,41.1,9.0,,9.0,1.0,7.0,3.0,34.0,5.0,4.0,374.0,26.0,1.0,22.0,7.0,6.0,21.0,1.0,2.0,204.0,13.0,15.0,4.0,72.0,21.0,3.0,4.0,13.0,33.0,,1.0,,3.0,11.0,,5.0,5.0,,,2.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,
20,266443,2008-12-28 14:00:00,"Boleyn Ground, London",34477.0,Home,West Ham United,Stoke City,2,1,W,0,1,0,1,,1.0,62.0,1.0,,3.0,7.0,,,43.0,42.0,6.0,7.0,16.0,3.0,1.0,1.0,,11.0,10.0,2.0,5.0,18.0,,5.0,170.0,55.0,1.0,22.0,,12.0,3.0,,3.0,1.0,45.0,15.0,1.0,,18.0,6.0,22.0,24.0,,228.0,,,,0.0,157.0,12.0,,1.0,,,4.0,,56.0,48.0,10.0,3.0,39.0,6.0,1.0,,,16.0,6.0,146.0,5.0,,682.0,15.0,6.0,42.0,1.0,7.0,327.0,17.0,1.0,2.0,33.0,1.0,3.0,2.0,8.0,,31.0,409.0,,97.0,,8380,8.0,127.0,19.0,2.0,146.0,1.0,5.0,51.0,,4.0,,2.0,6.0,2.0,5.0,5.0,1.0,,60.0,344.0,14.0,3.0,2.0,11.0,1.0,61.0,,,,1.0,,1.0,0.0,,4.0,,2.0,1.0,3.0,0.0,10.0,,3.0,65.9,29.0,2.0,14.0,,6.0,7.0,45.0,8.0,,426.0,7.0,1.0,13.0,13.0,10.0,60.0,1.0,4.0,325.0,12.0,17.0,12.0,112.0,25.0,1.0,2.0,13.0,19.0,,1.0,18.0,3.0,22.0,,2.0,8.0,1.0,,2.0,,2.0,,,,,,5.0,,2.0,,2.0,,,,,,,1.0,,,,2.0,,4.0,,,,,,,,,,,,,3.0,,
21,266450,2009-01-10 15:00:00,"St. James' Park, Newcastle",47571.0,Away,West Ham United,Newcastle United,2,2,D,1,1,0,0,1.0,,40.0,,,1.0,4.0,,,26.0,42.0,3.0,3.0,,,2.0,6.0,,6.0,6.0,2.0,,12.0,,9.0,136.0,49.0,1.0,15.0,,8.0,4.0,4.0,,2.0,14.0,14.0,,3.0,17.0,3.0,28.0,36.0,,154.0,,1.0,,0.0,104.0,18.0,,,,,,1.0,47.0,35.0,11.0,,11.0,,1.0,,,1.0,,111.0,13.0,,636.0,8.0,8.0,,1.0,19.0,,15.0,,5.0,19.0,2.0,0.0,11.0,1.0,,18.0,,,63.0,,8380,,177.0,8.0,,188.0,,12.0,56.0,,9.0,,7.0,6.0,,11.0,4.0,,,49.0,325.0,10.0,14.0,2.0,12.0,,83.0,4.0,2.0,,4.0,,,0.0,1.0,8.0,,2.0,2.0,4.0,0.0,3.0,1.0,2.0,46.1,12.0,1.0,2.0,1.0,8.0,4.0,49.0,3.0,2.0,389.0,19.0,,9.0,11.0,2.0,19.0,3.0,2.0,215.0,10.0,26.0,11.0,64.0,15.0,2.0,1.0,9.0,22.0,,1.0,,3.0,13.0,,1.0,3.0,,,4.0,,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
22,266463,2009-01-18 13:30:00,"Boleyn Ground, London",31818.0,Home,West Ham United,Fulham,3,1,W,1,1,0,0,1.0,,64.0,,1.0,,2.0,,,29.0,39.0,6.0,2.0,,,,2.0,2.0,6.0,11.0,3.0,,7.0,,5.0,174.0,65.0,1.0,15.0,2.0,12.0,,1.0,,1.0,22.0,14.0,,2.0,19.0,2.0,23.0,27.0,,161.0,1.0,,,0.0,142.0,15.0,,,,1.0,,1.0,74.0,40.0,3.0,2.0,20.0,,1.0,,,9.0,2.0,153.0,4.0,,724.0,4.0,18.0,,,24.0,,15.0,,15.0,23.0,1.0,1.0,4.0,4.0,,25.0,,,82.0,,8380,,175.0,10.0,2.0,189.0,3.0,8.0,54.0,,6.0,,5.0,1.0,,7.0,3.0,1.0,1.0,62.0,330.0,18.0,3.0,2.0,46.0,,90.0,1.0,,,,,1.0,0.0,,3.0,1.0,3.0,1.0,6.0,0.0,5.0,1.0,,51.9,22.0,,12.0,,1.0,4.0,45.0,3.0,1.0,429.0,24.0,,17.0,18.0,6.0,30.0,1.0,4.0,262.0,13.0,20.0,18.0,77.0,35.0,2.0,4.0,13.0,18.0,,,,3.0,19.0,,5.0,3.0,1.0,,,,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,
23,266468,2009-01-28 20:00:00,"Boleyn Ground, London",34340.0,Home,West Ham United,Hull City,2,0,W,1,0,0,0,,1.0,63.0,,,2.0,3.0,,,19.0,51.0,8.0,8.0,,,1.0,7.0,,11.0,9.0,2.0,,19.0,,10.0,146.0,69.0,,28.0,2.0,11.0,6.0,1.0,,,23.0,22.0,2.0,2.0,30.0,10.0,18.0,35.0,,155.0,,,,0.0,127.0,12.0,,2.0,,,,2.0,45.0,40.0,10.0,7.0,13.0,,,,,5.0,4.0,125.0,7.0,,728.0,14.0,14.0,,,15.0,,14.0,,6.0,29.0,,0.0,7.0,9.0,,15.0,,,60.0,,8380,,186.0,7.0,2.0,200.0,1.0,10.0,56.0,,6.0,,2.0,8.0,,9.0,6.0,1.0,,43.0,330.0,15.0,9.0,5.0,25.0,,71.0,1.0,,,1.0,,2.0,0.0,,5.0,4.0,2.0,,5.0,0.0,4.0,,3.0,50.3,12.0,3.0,20.0,1.0,8.0,5.0,30.0,11.0,2.0,409.0,15.0,,13.0,16.0,13.0,23.0,7.0,7.0,232.0,16.0,17.0,14.0,84.0,21.0,2.0,3.0,18.0,31.0,,,,3.0,21.0,,3.0,11.0,1.0,,1.0,,3.0,,,,,4.0,3.0,,,,2.0,,,,2.0,,3.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0
24,266474,2009-01-31 15:00:00,"Emirates Stadium, London",60109.0,Away,West Ham United,Arsenal,0,0,D,0,0,0,0,,,43.0,,,1.0,,,,31.0,42.0,1.0,,,,,1.0,,3.0,8.0,,,2.0,,2.0,146.0,62.0,,2.0,,11.0,1.0,,,,7.0,25.0,,1.0,20.0,2.0,21.0,32.0,,107.0,,,,0.0,77.0,13.0,,2.0,,,,1.0,31.0,36.0,2.0,,5.0,,,,,1.0,,124.0,13.0,,637.0,1.0,15.0,,1.0,22.0,,16.0,,12.0,22.0,,2.0,12.0,,,19.0,,,50.0,,8380,,177.0,3.0,,202.0,,11.0,68.0,,5.0,,4.0,4.0,,9.0,7.0,,,53.0,281.0,12.0,16.0,1.0,29.0,,80.0,,,,1.0,,2.0,0.0,,13.0,2.0,,,3.0,0.0,1.0,,1.0,36.3,17.0,,3.0,,4.0,,50.0,3.0,1.0,363.0,22.0,,20.0,18.0,,9.0,2.0,,168.0,1.0,21.0,9.0,34.0,16.0,,7.0,10.0,33.0,,,,2.0,16.0,,7.0,3.0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
26,266496,2009-02-21 15:00:00,"Toughsheet Community Stadium, Bolton",21245.0,Away,West Ham United,Bolton Wanderers,1,2,L,0,2,0,0,1.0,2.0,78.0,,1.0,,4.0,,,27.0,18.0,2.0,6.0,,,,3.0,,13.0,9.0,1.0,,16.0,,8.0,173.0,69.0,,20.0,,9.0,6.0,2.0,,1.0,33.0,23.0,,1.0,13.0,13.0,24.0,46.0,,201.0,2.0,1.0,,0.0,182.0,15.0,,2.0,,1.0,,,63.0,47.0,10.0,4.0,20.0,,,,,5.0,1.0,168.0,4.0,,740.0,11.0,12.0,,2.0,14.0,,26.0,,8.0,8.0,1.0,2.0,2.0,6.0,,24.0,,,82.0,,8380,,143.0,15.0,,165.0,1.0,5.0,52.0,,5.0,,7.0,4.0,,7.0,3.0,1.0,,58.0,331.0,19.0,7.0,4.0,33.0,,87.0,2.0,,,1.0,,1.0,0.0,,4.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,6.0,62.1,23.0,4.0,13.0,1.0,4.0,4.0,38.0,13.0,,447.0,13.0,,15.0,27.0,8.0,29.0,9.0,7.0,315.0,7.0,23.0,12.0,116.0,26.0,,3.0,6.0,29.0,,1.0,,3.0,16.0,,3.0,13.0,1.0,,2.0,,3.0,,,,,2.0,1.0,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
27,266513,2009-03-01 12:30:00,"Boleyn Ground, London",34562.0,Home,West Ham United,Manchester City,1,0,W,0,0,0,0,,1.0,41.0,,,,3.0,,,21.0,27.0,2.0,5.0,,,,3.0,,4.0,7.0,1.0,,11.0,,6.0,157.0,61.0,,12.0,1.0,10.0,4.0,1.0,,,18.0,19.0,,1.0,15.0,4.0,18.0,48.0,,174.0,,,,0.0,133.0,18.0,,1.0,,1.0,,1.0,49.0,45.0,9.0,,14.0,,,1.0,,7.0,1.0,145.0,8.0,,625.0,9.0,15.0,,1.0,18.0,,6.0,2.0,3.0,15.0,,2.0,3.0,2.0,,18.0,,,73.0,,56968,,119.0,6.0,1.0,138.0,1.0,13.0,69.0,,5.0,,3.0,5.0,,6.0,7.0,,,42.0,289.0,20.0,13.0,2.0,14.0,,87.0,1.0,,,3.0,,,0.0,,7.0,1.0,1.0,,9.0,0.0,2.0,,1.0,44.7,14.0,,8.0,,5.0,4.0,54.0,4.0,1.0,378.0,18.0,,19.0,27.0,2.0,26.0,2.0,1.0,258.0,5.0,16.0,14.0,84.0,22.0,,4.0,9.0,20.0,,,,3.0,17.0,,4.0,4.0,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
28,266518,2009-03-04 19:45:00,"The Brick Community Stadium, Wigan",14169.0,Away,West Ham United,Wigan Athletic,1,0,W,1,0,1,1,,1.0,39.0,,1.0,4.0,1.0,,,20.0,46.0,2.0,5.0,,,,1.0,,1.0,4.0,1.0,,7.0,,3.0,139.0,63.0,,7.0,,12.0,1.0,2.0,,1.0,1.0,22.0,,1.0,23.0,,21.0,30.0,,109.0,,,,0.0,77.0,11.0,,1.0,,,,1.0,26.0,30.0,4.0,1.0,1.0,,,,,,1.0,116.0,8.0,,627.0,6.0,16.0,,,23.0,,14.0,,8.0,32.0,1.0,4.0,3.0,3.0,,22.0,,,55.0,,56968,,170.0,1.0,,192.0,1.0,15.0,50.0,,8.0,,5.0,2.0,,10.0,8.0,1.0,,40.0,278.0,10.0,9.0,,27.0,,89.0,2.0,,,,,,0.0,,8.0,1.0,1.0,,4.0,1.0,1.0,1.0,,46.7,21.0,,,,3.0,1.0,51.0,1.0,1.0,362.0,23.0,,13.0,15.0,3.0,16.0,,2.0,171.0,2.0,18.0,15.0,42.0,16.0,1.0,7.0,16.0,34.0,,,,3.0,9.0,,7.0,1.0,,,2.0,1.0,4.0,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
29,266533,2009-03-16 20:00:00,"Boleyn Ground, London",40842.0,Home,West Ham United,West Bromwich Albion,0,0,D,0,0,0,0,,,58.0,,,,2.0,,,18.0,39.0,3.0,3.0,,,,1.0,,4.0,9.0,,,7.0,,1.0,148.0,67.0,,10.0,1.0,13.0,1.0,2.0,,,11.0,25.0,,,18.0,3.0,21.0,26.0,,154.0,2.0,,,0.0,115.0,11.0,,1.0,,,,2.0,82.0,27.0,2.0,3.0,8.0,,,,,5.0,3.0,127.0,4.0,,716.0,7.0,14.0,,,16.0,,19.0,1.0,4.0,16.0,,1.0,4.0,5.0,,23.0,,,65.0,,5854,,197.0,2.0,,212.0,,13.0,50.0,,5.0,,6.0,7.0,,6.0,6.0,,,41.0,347.0,12.0,6.0,,19.0,,88.0,2.0,,,,,2.0,0.0,,4.0,1.0,,,10.0,0.0,3.0,,1.0,53.4,22.0,1.0,6.0,,7.0,3.0,50.0,3.0,2.0,432.0,16.0,,13.0,11.0,6.0,14.0,1.0,3.0,231.0,6.0,19.0,11.0,67.0,23.0,,3.0,8.0,35.0,,,,3.0,16.0,,3.0,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,
30,266534,2009-03-21 15:00:00,"Ewood Park, Blackburn",21672.0,Away,West Ham United,Blackburn Rovers,1,1,D,1,0,0,0,,,56.0,1.0,,,,,,22.0,104.0,4.0,,,,,1.0,,1.0,4.0,1.0,,5.0,,2.0,190.0,45.0,1.0,6.0,,7.0,,1.0,,1.0,6.0,17.0,,1.0,56.0,1.0,20.0,32.0,,116.0,1.0,,,0.0,73.0,10.0,,2.0,,1.0,,1.0,57.0,33.0,2.0,,5.0,,1.0,,,1.0,3.0,142.0,18.0,,647.0,3.0,12.0,,,9.0,,23.0,,5.0,42.0,1.0,1.0,12.0,3.0,,20.0,,,50.0,,58622,,122.0,4.0,,144.0,1.0,12.0,43.0,,9.0,,5.0,7.0,,3.0,2.0,1.0,,50.0,237.0,13.0,3.0,1.0,26.0,,93.0,1.0,,,1.0,,3.0,0.0,,7.0,2.0,1.0,1.0,3.0,0.0,,1.0,1.0,47.3,15.0,1.0,2.0,,7.0,,41.0,1.0,1.0,330.0,9.0,1.0,17.0,14.0,4.0,12.0,1.0,1.0,192.0,5.0,20.0,8.0,35.0,18.0,,6.0,22.0,20.0,,1.0,,3.0,11.0,,6.0,1.0,1.0,,3.0,,2.0,,,,,,2.0,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,
31,266553,2009-04-04 15:00:00,"Boleyn Ground, London",34761.0,Home,West Ham United,Sunderland,2,0,W,1,0,0,0,,,54.0,,2.0,7.0,4.0,1.0,,32.0,44.0,7.0,6.0,,,,2.0,,4.0,3.0,2.0,,14.0,,6.0,147.0,41.0,,18.0,3.0,8.0,3.0,2.0,,1.0,13.0,21.0,,1.0,29.0,6.0,8.0,45.0,,183.0,,,,0.0,113.0,10.0,,2.0,,1.0,,,73.0,44.0,11.0,3.0,7.0,,,,,2.0,3.0,132.0,5.0,,661.0,10.0,6.0,,2.0,7.0,,12.0,,5.0,18.0,2.0,1.0,3.0,3.0,,13.0,,,61.0,,8380,,136.0,5.0,1.0,157.0,1.0,9.0,51.0,,4.0,1.0,4.0,13.0,,11.0,6.0,1.0,,57.0,315.0,6.0,7.0,2.0,18.0,,83.0,2.0,,,2.0,,4.0,0.0,,8.0,1.0,2.0,,2.0,0.0,,2.0,4.0,50.6,9.0,1.0,5.0,,15.0,7.0,47.0,11.0,,399.0,7.0,,21.0,28.0,5.0,13.0,4.0,2.0,255.0,8.0,7.0,7.0,74.0,19.0,,6.0,11.0,25.0,1.0,,,3.0,8.0,,6.0,11.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
