gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attObxLeft,accurateKeeperSweeper,cleanSheet,attSvLowLeft,freekickCross,contentiousDecision,attHdTarget,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,sixYardBlock,totalThroughBall,accurateKeeperThrows,attAssistSetplay,shieldBallOop,keeperThrows,attLfTarget,attSvLowCentre,attOboxTarget,errorLeadToShot,punches,foulThrowIn,goalsConcededObox,attGoalLowLeft,goalAssistSetplay,goals,goalAssistOpenplay,midfielderGoals,attGoalHighCentre,goalAssist,attSetpiece,attRfGoal,attCmissHighLeft,goalsOpenplay,attIboxGoal,goalAssistIntentional,forwardGoals,attHdGoal,bigChanceScored,attGoalLowCentre,attSvHighRight,attCmissHigh,defenderGoals,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,attGoalLowRight,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,goodHighClaim,attPostLeft,hitWoodwork,accurateFreekickCross,attFastbreak,totalHighClaim,attLgCentre,clearanceOffLine,ptsGainedLosingPos,attLfGoal,attFreekickPost,attOboxPost,attPostHigh,attSvHighCentre,attPostRight,attGoalHighRight,attOboxGoal,attPenTarget,penaltyWon,attFreekickTarget,attOneOnOne,attPenGoal,attGoalHighLeft,attObxRight,attSvHighLeft,attHdPost,attObxdLeft,goalAssistDeadball,accuratePullBack
11,987694,2018-11-03 15:00:00,"Cardiff City Stadium, Cardiff",30877,Home,Cardiff City,Leicester City,0,1,L,0,0,0,0,1.0,,46.0,1.0,17.0,27.0,3.0,,8.0,3.0,1.0,135.0,6.0,4.0,4.0,8.0,1.0,2.0,45.0,163.0,60.0,1.0,11.0,,35.0,1.0,,2.0,18.0,7.0,27.0,6.0,2.0,23.0,115.0,,0.0,107.0,13.0,1.0,39.0,55.0,3.0,37.0,3.0,4.0,12.0,13.0,3.0,1.0,4.0,1.0,163.0,,10.0,54.0,465.0,5.0,13.0,29.0,16.0,158.0,21.0,9.0,13.0,2.0,5.0,5.0,25.0,245.0,52.0,96994,7.0,57.0,1.0,5.0,,72.0,5.0,,13.0,10.0,63.0,4.0,15.0,3.0,1.0,1.0,66.0,166.0,11.0,5.0,40.0,76.0,,,0.0,2.0,12.0,4.0,1.0,5.0,0.0,3.0,4.0,40.1,11.0,3.0,3.0,,1.0,25.0,6.0,,271.0,16.0,,5.0,7.0,8.0,34.0,3.0,6.0,217.0,7.0,2.0,32.0,55.0,17.0,4.0,13.0,13.0,1.0,4.0,3.0,10.0,4.0,4.0,6.0,,,,,,3.0,,1.0,,,,,,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
12,987703,2018-11-10 12:30:00,"Cardiff City Stadium, Cardiff",29402,Home,Cardiff City,Brighton and Hove Albion,2,1,W,1,1,0,1,,,72.0,2.0,20.0,7.0,11.0,8.0,9.0,2.0,3.0,160.0,2.0,7.0,6.0,12.0,,6.0,113.0,167.0,68.0,1.0,20.0,3.0,39.0,2.0,1.0,1.0,20.0,7.0,7.0,3.0,5.0,31.0,227.0,1.0,0.0,197.0,7.0,1.0,75.0,77.0,6.0,71.0,,,17.0,10.0,11.0,1.0,4.0,5.0,167.0,,4.0,128.0,650.0,12.0,15.0,28.0,9.0,349.0,20.0,7.0,6.0,2.0,1.0,6.0,21.0,448.0,93.0,96994,4.0,137.0,,10.0,,146.0,2.0,,10.0,2.0,69.0,,16.0,3.0,1.0,1.0,65.0,362.0,19.0,10.0,35.0,77.0,,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,60.6,13.0,,6.0,2.0,5.0,34.0,4.0,,472.0,9.0,1.0,9.0,9.0,9.0,37.0,1.0,2.0,346.0,11.0,3.0,30.0,121.0,39.0,1.0,6.0,12.0,1.0,12.0,3.0,12.0,1.0,7.0,4.0,1.0,,,,1.0,3.0,,,4.0,,,1.0,1.0,3.0,,,3.0,1.0,1.0,2.0,,1.0,,,1.0,,2.0,,,1.0,,,1.0,,1.0,2.0,,1.0,1.0,2.0,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,3.0,,,,,,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13,987715,2018-11-24 15:00:00,"Goodison Park, Liverpool",39139,Away,Cardiff City,Everton,0,1,L,0,0,0,0,,,63.0,2.0,23.0,35.0,1.0,1.0,6.0,6.0,1.0,125.0,2.0,,2.0,6.0,1.0,1.0,45.0,151.0,53.0,,7.0,,28.0,,1.0,2.0,7.0,7.0,35.0,3.0,4.0,19.0,69.0,,0.0,84.0,13.0,3.0,19.0,32.0,2.0,21.0,1.0,1.0,4.0,24.0,1.0,,,,151.0,1.0,12.0,29.0,411.0,2.0,9.0,18.0,14.0,102.0,32.0,13.0,13.0,3.0,4.0,4.0,21.0,189.0,53.0,96994,3.0,48.0,1.0,3.0,,75.0,2.0,,24.0,12.0,62.0,1.0,12.0,4.0,2.0,1.0,68.0,115.0,12.0,12.0,39.0,70.0,,1.0,0.0,6.0,7.0,7.0,1.0,1.0,0.0,1.0,3.0,29.3,11.0,3.0,1.0,,2.0,27.0,3.0,,220.0,14.0,,7.0,9.0,4.0,26.0,1.0,4.0,152.0,2.0,4.0,26.0,32.0,21.0,2.0,13.0,16.0,1.0,2.0,3.0,5.0,2.0,17.0,3.0,,,,,1.0,1.0,,,,,,1.0,1.0,,4.0,,,,,1.0,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,987723,2018-11-30 20:00:00,"Cardiff City Stadium, Cardiff",30213,Home,Cardiff City,Wolverhampton Wanderers,2,1,W,0,1,0,0,,,65.0,5.0,20.0,21.0,7.0,4.0,10.0,3.0,1.0,154.0,6.0,7.0,2.0,7.0,,3.0,62.0,189.0,84.0,,17.0,1.0,43.0,1.0,2.0,5.0,20.0,12.0,21.0,7.0,4.0,35.0,120.0,1.0,0.0,119.0,3.0,1.0,65.0,43.0,5.0,33.0,1.0,,13.0,17.0,7.0,,4.0,5.0,189.0,1.0,7.0,63.0,543.0,3.0,11.0,26.0,12.0,177.0,30.0,7.0,11.0,1.0,2.0,2.0,31.0,283.0,74.0,96994,4.0,76.0,,7.0,,93.0,3.0,,17.0,11.0,72.0,2.0,15.0,8.0,2.0,1.0,78.0,190.0,12.0,5.0,37.0,92.0,,1.0,0.0,2.0,6.0,2.0,1.0,4.0,0.0,5.0,1.0,47.9,18.0,1.0,,3.0,6.0,36.0,7.0,,312.0,12.0,,9.0,14.0,8.0,42.0,1.0,2.0,239.0,9.0,3.0,39.0,51.0,24.0,2.0,11.0,26.0,1.0,6.0,2.0,19.0,2.0,10.0,7.0,1.0,,1.0,,1.0,2.0,,,,1.0,,2.0,,3.0,3.0,2.0,3.0,,,,,,,,,1.0,2.0,,2.0,,1.0,3.0,2.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,3.0,,,,,,,2.0,1.0,,,,,,,,,,,,
15,987738,2018-12-04 19:45:00,"London Stadium, London",56811,Away,Cardiff City,West Ham United,1,3,L,0,0,0,0,,,55.0,2.0,22.0,20.0,4.0,3.0,5.0,8.0,2.0,146.0,2.0,12.0,2.0,5.0,,5.0,57.0,150.0,61.0,1.0,9.0,,24.0,2.0,,,12.0,7.0,20.0,4.0,6.0,20.0,127.0,1.0,0.0,96.0,10.0,2.0,51.0,59.0,3.0,46.0,2.0,,8.0,18.0,4.0,1.0,3.0,2.0,150.0,,16.0,46.0,491.0,5.0,12.0,12.0,14.0,188.0,24.0,7.0,9.0,2.0,3.0,2.0,24.0,269.0,48.0,96994,3.0,78.0,1.0,5.0,,107.0,5.0,1.0,18.0,7.0,55.0,5.0,13.0,1.0,,,57.0,203.0,10.0,9.0,27.0,70.0,1.0,,0.0,7.0,10.0,8.0,3.0,4.0,0.0,2.0,1.0,39.0,14.0,,2.0,,2.0,37.0,4.0,,295.0,14.0,,6.0,14.0,2.0,15.0,,,200.0,4.0,6.0,25.0,66.0,19.0,1.0,9.0,14.0,3.0,5.0,3.0,18.0,1.0,8.0,4.0,,,1.0,,1.0,,,,1.0,1.0,,,2.0,1.0,,1.0,2.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
16,987745,2018-12-08 15:00:00,"Cardiff City Stadium, Cardiff",30067,Home,Cardiff City,Southampton,1,0,W,0,0,0,0,2.0,,67.0,1.0,18.0,28.0,1.0,7.0,12.0,1.0,1.0,111.0,5.0,15.0,2.0,10.0,1.0,4.0,51.0,158.0,61.0,,13.0,,21.0,3.0,1.0,4.0,16.0,7.0,28.0,6.0,2.0,18.0,98.0,,0.0,103.0,9.0,,41.0,52.0,4.0,28.0,4.0,3.0,10.0,16.0,1.0,,1.0,1.0,158.0,1.0,5.0,58.0,461.0,8.0,10.0,32.0,14.0,139.0,26.0,7.0,10.0,2.0,4.0,6.0,25.0,222.0,64.0,96994,7.0,56.0,1.0,7.0,,75.0,4.0,1.0,16.0,11.0,50.0,4.0,12.0,7.0,3.0,1.0,63.0,149.0,10.0,4.0,34.0,77.0,1.0,,0.0,,7.0,1.0,,4.0,0.0,3.0,3.0,36.2,12.0,3.0,4.0,3.0,1.0,27.0,7.0,,248.0,14.0,,6.0,11.0,8.0,28.0,2.0,7.0,189.0,3.0,1.0,25.0,55.0,24.0,,10.0,13.0,,7.0,3.0,27.0,,11.0,7.0,,,,1.0,,2.0,,,,1.0,,1.0,3.0,1.0,2.0,,2.0,2.0,1.0,,,,,,1.0,,1.0,,,,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,2.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
17,987760,2018-12-15 15:00:00,"Vicarage Road, Watford",20032,Away,Cardiff City,Watford,2,3,L,0,1,0,0,,,65.0,2.0,26.0,26.0,4.0,4.0,6.0,5.0,,136.0,3.0,3.0,1.0,6.0,1.0,3.0,44.0,147.0,40.0,,10.0,1.0,21.0,1.0,,1.0,13.0,11.0,26.0,,2.0,13.0,94.0,,0.0,95.0,5.0,5.0,30.0,65.0,2.0,41.0,,2.0,13.0,18.0,4.0,,3.0,2.0,147.0,,9.0,34.0,438.0,5.0,19.0,17.0,12.0,145.0,31.0,14.0,9.0,0.0,3.0,4.0,18.0,232.0,48.0,96994,5.0,67.0,,8.0,,97.0,1.0,,18.0,10.0,54.0,1.0,16.0,8.0,5.0,1.0,71.0,158.0,7.0,15.0,46.0,67.0,,,0.0,1.0,5.0,4.0,3.0,6.0,0.0,3.0,2.0,28.5,9.0,2.0,1.0,1.0,3.0,25.0,,,255.0,12.0,,9.0,7.0,4.0,25.0,,2.0,171.0,4.0,2.0,13.0,53.0,28.0,,9.0,17.0,1.0,6.0,3.0,7.0,,11.0,,1.0,,,,,2.0,,,,,,1.0,2.0,,,,,1.0,1.0,,,1.0,,2.0,,,2.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
18,987764,2018-12-22 17:30:00,"Cardiff City Stadium, Cardiff",33028,Home,Cardiff City,Manchester United,1,5,L,1,3,0,0,,,49.0,1.0,13.0,15.0,1.0,2.0,8.0,4.0,1.0,97.0,5.0,5.0,5.0,6.0,1.0,3.0,44.0,129.0,45.0,1.0,9.0,,23.0,2.0,,1.0,16.0,11.0,15.0,4.0,1.0,19.0,77.0,,0.0,77.0,13.0,3.0,38.0,34.0,2.0,31.0,1.0,2.0,12.0,18.0,1.0,1.0,2.0,1.0,129.0,,9.0,37.0,385.0,3.0,6.0,12.0,13.0,124.0,22.0,8.0,6.0,2.0,4.0,4.0,22.0,186.0,43.0,96994,4.0,65.0,,8.0,1.0,82.0,6.0,,18.0,5.0,62.0,3.0,14.0,8.0,1.0,2.0,46.0,137.0,12.0,10.0,24.0,53.0,1.0,,0.0,,7.0,2.0,5.0,2.0,0.0,4.0,4.0,25.7,10.0,4.0,7.0,2.0,1.0,21.0,4.0,1.0,209.0,13.0,1.0,9.0,5.0,5.0,28.0,1.0,4.0,143.0,3.0,1.0,11.0,39.0,14.0,,6.0,17.0,3.0,4.0,3.0,13.0,,13.0,4.0,2.0,,1.0,,1.0,2.0,,,,1.0,,,,,3.0,1.0,,1.0,,,,,,2.0,,,1.0,,1.0,,,2.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,
19,987774,2018-12-26 15:00:00,"Selhurst Park, London",25206,Away,Cardiff City,Crystal Palace,0,0,D,0,0,0,0,,,48.0,1.0,22.0,47.0,4.0,3.0,5.0,5.0,3.0,138.0,4.0,5.0,,7.0,,4.0,63.0,140.0,57.0,,9.0,,22.0,2.0,2.0,,10.0,6.0,47.0,1.0,4.0,15.0,139.0,,0.0,118.0,11.0,3.0,45.0,79.0,3.0,41.0,2.0,,9.0,13.0,4.0,,,2.0,140.0,1.0,22.0,61.0,507.0,7.0,8.0,15.0,13.0,189.0,24.0,6.0,22.0,3.0,13.0,4.0,20.0,271.0,56.0,96994,3.0,68.0,2.0,9.0,,88.0,9.0,,13.0,18.0,57.0,3.0,15.0,9.0,7.0,4.0,68.0,203.0,9.0,14.0,32.0,77.0,,,0.0,,12.0,4.0,,2.0,0.0,3.0,1.0,37.6,14.0,1.0,3.0,,1.0,33.0,1.0,,303.0,13.0,,5.0,9.0,4.0,20.0,1.0,2.0,225.0,5.0,3.0,24.0,73.0,14.0,2.0,22.0,20.0,,8.0,2.0,10.0,2.0,5.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
20,987786,2018-12-29 15:00:00,"King Power Stadium, Leicester",32047,Away,Cardiff City,Leicester City,1,0,W,0,0,0,0,,1.0,58.0,1.0,24.0,34.0,8.0,6.0,4.0,7.0,1.0,133.0,3.0,5.0,3.0,6.0,,3.0,55.0,149.0,55.0,1.0,12.0,5.0,31.0,1.0,,,16.0,8.0,34.0,4.0,9.0,22.0,133.0,,0.0,128.0,16.0,6.0,50.0,61.0,4.0,37.0,1.0,1.0,12.0,15.0,8.0,1.0,5.0,1.0,149.0,,6.0,48.0,488.0,5.0,13.0,16.0,17.0,176.0,23.0,8.0,15.0,2.0,6.0,2.0,21.0,248.0,57.0,96994,3.0,58.0,,5.0,1.0,72.0,9.0,1.0,15.0,7.0,75.0,1.0,13.0,10.0,3.0,1.0,56.0,188.0,13.0,9.0,24.0,61.0,,,0.0,3.0,10.0,3.0,,5.0,0.0,3.0,1.0,37.8,6.0,1.0,9.0,1.0,6.0,30.0,4.0,1.0,273.0,17.0,,10.0,11.0,3.0,32.0,,2.0,217.0,5.0,8.0,23.0,79.0,18.0,3.0,15.0,15.0,,7.0,3.0,14.0,3.0,9.0,5.0,4.0,,2.0,1.0,,2.0,,,1.0,2.0,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
21,987794,2019-01-01 17:30:00,"Cardiff City Stadium, Cardiff",32485,Home,Cardiff City,Tottenham Hotspur,0,3,L,0,3,0,0,,,60.0,,27.0,14.0,2.0,1.0,3.0,1.0,,121.0,4.0,6.0,2.0,4.0,,3.0,51.0,119.0,40.0,,5.0,,14.0,2.0,,1.0,18.0,8.0,14.0,5.0,,30.0,130.0,,0.0,91.0,6.0,,57.0,64.0,2.0,45.0,2.0,,13.0,20.0,2.0,,5.0,1.0,119.0,1.0,9.0,73.0,438.0,4.0,9.0,17.0,10.0,202.0,24.0,7.0,5.0,1.0,3.0,2.0,11.0,272.0,44.0,96994,2.0,90.0,1.0,6.0,,111.0,5.0,,20.0,7.0,37.0,6.0,13.0,4.0,4.0,1.0,58.0,216.0,6.0,9.0,25.0,48.0,,,0.0,,3.0,1.0,3.0,5.0,0.0,2.0,2.0,26.9,8.0,1.0,3.0,,,26.0,5.0,,290.0,10.0,,6.0,16.0,2.0,23.0,2.0,1.0,197.0,1.0,,14.0,56.0,30.0,,5.0,14.0,2.0,3.0,3.0,9.0,,11.0,5.0,,,1.0,,3.0,2.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,987804,2019-01-12 15:00:00,"Cardiff City Stadium, Cardiff",30725,Home,Cardiff City,Huddersfield Town,0,0,D,0,0,0,0,,,64.0,1.0,27.0,26.0,2.0,2.0,1.0,3.0,,155.0,2.0,8.0,2.0,3.0,,,48.0,171.0,63.0,,3.0,2.0,45.0,,,,15.0,4.0,26.0,3.0,4.0,17.0,105.0,,0.0,109.0,12.0,,50.0,49.0,2.0,26.0,2.0,,12.0,26.0,2.0,,3.0,,171.0,1.0,7.0,41.0,469.0,2.0,13.0,12.0,19.0,145.0,25.0,17.0,9.0,3.0,8.0,,18.0,243.0,68.0,96994,1.0,52.0,1.0,6.0,,74.0,10.0,,26.0,9.0,78.0,3.0,17.0,7.0,1.0,,77.0,155.0,12.0,8.0,50.0,75.0,,,0.0,2.0,10.0,2.0,,6.0,0.0,2.0,,38.9,10.0,,3.0,,3.0,32.0,3.0,,270.0,19.0,,8.0,7.0,,26.0,,,211.0,1.0,3.0,30.0,49.0,26.0,1.0,9.0,13.0,,2.0,2.0,13.0,1.0,12.0,3.0,,,2.0,1.0,,3.0,,,,2.0,,,1.0,5.0,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,987818,2019-01-19 15:00:00,"St. James' Park, Newcastle",49864,Away,Cardiff City,Newcastle United,0,3,L,0,1,0,0,1.0,,63.0,2.0,28.0,17.0,4.0,1.0,5.0,3.0,,143.0,3.0,9.0,,6.0,,1.0,66.0,168.0,73.0,,9.0,1.0,39.0,1.0,1.0,1.0,22.0,19.0,17.0,10.0,2.0,18.0,144.0,,0.0,122.0,6.0,2.0,69.0,60.0,3.0,45.0,1.0,2.0,12.0,24.0,4.0,,3.0,3.0,168.0,,12.0,71.0,539.0,3.0,21.0,19.0,10.0,202.0,22.0,15.0,11.0,1.0,5.0,3.0,27.0,298.0,55.0,96994,2.0,72.0,,7.0,,98.0,2.0,1.0,24.0,7.0,60.0,,11.0,4.0,3.0,2.0,70.0,213.0,11.0,1.0,41.0,67.0,,,0.0,1.0,7.0,3.0,3.0,6.0,0.0,,1.0,46.5,20.0,,1.0,2.0,3.0,32.0,10.0,,325.0,10.0,,13.0,7.0,5.0,35.0,3.0,2.0,249.0,7.0,2.0,28.0,73.0,27.0,7.0,11.0,25.0,3.0,4.0,3.0,13.0,7.0,11.0,10.0,,,,,,2.0,,1.0,,,1.0,,1.0,6.0,3.0,1.0,7.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,987823,2019-01-29 19:45:00,"Emirates Stadium, London",59933,Away,Cardiff City,Arsenal,1,2,L,0,0,0,0,,,55.0,3.0,30.0,25.0,11.0,10.0,7.0,2.0,,111.0,7.0,4.0,3.0,14.0,2.0,2.0,46.0,116.0,50.0,1.0,19.0,5.0,9.0,,1.0,2.0,16.0,9.0,25.0,7.0,3.0,18.0,105.0,1.0,0.0,92.0,12.0,1.0,30.0,46.0,7.0,34.0,4.0,3.0,9.0,13.0,12.0,1.0,2.0,6.0,116.0,,11.0,41.0,430.0,10.0,10.0,20.0,11.0,147.0,35.0,15.0,11.0,3.0,6.0,7.0,20.0,212.0,45.0,96994,5.0,62.0,,3.0,1.0,75.0,6.0,1.0,13.0,6.0,41.0,1.0,12.0,4.0,3.0,1.0,60.0,160.0,10.0,7.0,35.0,63.0,1.0,1.0,0.0,,4.0,2.0,2.0,4.0,0.0,4.0,3.0,29.1,11.0,3.0,4.0,1.0,8.0,37.0,7.0,1.0,232.0,11.0,,9.0,12.0,9.0,26.0,3.0,3.0,173.0,4.0,3.0,21.0,50.0,12.0,2.0,11.0,16.0,2.0,14.0,3.0,8.0,2.0,10.0,7.0,,,,,,4.0,,,2.0,,,,,1.0,3.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
25,987834,2019-02-02 17:30:00,"Cardiff City Stadium, Cardiff",31939,Home,Cardiff City,Bournemouth,2,0,W,1,0,0,0,,,56.0,4.0,31.0,30.0,3.0,6.0,9.0,2.0,,114.0,2.0,5.0,3.0,9.0,,5.0,40.0,135.0,60.0,,12.0,3.0,20.0,3.0,,,17.0,9.0,30.0,5.0,3.0,21.0,85.0,,0.0,83.0,17.0,1.0,28.0,42.0,9.0,29.0,3.0,,12.0,22.0,3.0,,4.0,,135.0,2.0,6.0,35.0,407.0,7.0,11.0,20.0,18.0,122.0,32.0,13.0,15.0,1.0,2.0,,10.0,191.0,42.0,96994,6.0,51.0,1.0,7.0,,68.0,10.0,,22.0,10.0,70.0,2.0,14.0,3.0,3.0,,71.0,134.0,12.0,21.0,38.0,71.0,,,0.0,1.0,7.0,1.0,,3.0,0.0,2.0,,26.9,5.0,,2.0,2.0,7.0,30.0,6.0,,218.0,18.0,,8.0,12.0,,21.0,,,167.0,5.0,2.0,27.0,46.0,17.0,3.0,15.0,17.0,,8.0,3.0,10.0,3.0,15.0,6.0,1.0,,,1.0,,1.0,,,,,2.0,,3.0,,1.0,2.0,,3.0,2.0,,,,1.0,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,2.0,1.0,,,,,,,1.0,2.0,,,2.0,,,,1.0,2.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,
26,987848,2019-02-09 15:00:00,"St. Mary's Stadium, Southampton",31438,Away,Cardiff City,Southampton,2,1,W,0,0,0,0,1.0,,69.0,,23.0,25.0,2.0,2.0,4.0,6.0,1.0,149.0,3.0,3.0,1.0,4.0,,3.0,40.0,166.0,70.0,,6.0,,21.0,,,1.0,14.0,10.0,25.0,2.0,,26.0,91.0,,0.0,100.0,12.0,4.0,46.0,40.0,2.0,36.0,2.0,1.0,12.0,16.0,2.0,,1.0,1.0,166.0,1.0,10.0,42.0,461.0,1.0,14.0,21.0,9.0,144.0,33.0,12.0,11.0,3.0,3.0,2.0,22.0,238.0,58.0,96994,3.0,68.0,,10.0,,94.0,7.0,1.0,16.0,5.0,65.0,3.0,15.0,4.0,1.0,1.0,72.0,156.0,15.0,14.0,41.0,72.0,,,0.0,2.0,8.0,3.0,1.0,4.0,0.0,2.0,1.0,33.3,18.0,1.0,2.0,,,27.0,2.0,,267.0,9.0,,15.0,11.0,3.0,21.0,1.0,2.0,187.0,3.0,,35.0,50.0,23.0,3.0,11.0,17.0,1.0,3.0,3.0,8.0,3.0,8.0,2.0,3.0,,,,,1.0,,,,,,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,2.0,1.0,,,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,1.0,,,,2.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,
27,987855,2019-02-22 19:45:00,"Cardiff City Stadium, Cardiff",30387,Home,Cardiff City,Watford,1,5,L,0,1,0,0,,,69.0,1.0,29.0,16.0,8.0,3.0,7.0,2.0,4.0,155.0,3.0,11.0,2.0,8.0,1.0,6.0,48.0,158.0,72.0,1.0,15.0,3.0,21.0,3.0,1.0,1.0,12.0,10.0,16.0,3.0,2.0,25.0,129.0,1.0,0.0,116.0,10.0,1.0,62.0,38.0,4.0,47.0,,1.0,9.0,23.0,8.0,1.0,3.0,3.0,158.0,1.0,7.0,63.0,520.0,6.0,20.0,21.0,17.0,191.0,28.0,13.0,8.0,1.0,1.0,4.0,23.0,288.0,62.0,96994,3.0,81.0,3.0,5.0,,104.0,4.0,1.0,23.0,7.0,53.0,3.0,15.0,5.0,2.0,1.0,74.0,207.0,11.0,8.0,46.0,74.0,2.0,,0.0,3.0,3.0,,5.0,6.0,0.0,1.0,2.0,35.4,15.0,1.0,4.0,,4.0,33.0,3.0,,313.0,17.0,,6.0,10.0,5.0,28.0,2.0,1.0,221.0,10.0,2.0,28.0,68.0,33.0,2.0,8.0,23.0,4.0,8.0,3.0,19.0,2.0,14.0,3.0,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,,3.0,1.0,2.0,,1.0,1.0,2.0,2.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,2.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,
