gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,savedObox,attIboxBlocked,attGoalLowCentre,goals,attBxRight,attSvHighLeft,freekickCross,goodHighClaim,attHdTarget,accurateFreekickCross,sixYardBlock,attRfGoal,totalThroughBall,goalsOpenplay,attAssistSetplay,attIboxGoal,attHdTotal,attHdMiss,totalHighClaim,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,attGoalLowRight,attCmissRight,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attGoalHighRight,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attMissRight,goalAssist,attFastbreak,goalAssistIntentional,attGoalLowLeft,goalAssistSetplay,attMissHighRight,ptsGainedLosingPos,secondYellow,defenderGoals,attCmissLeft,attCmissHighRight,attHdGoal,postScoringAtt,attIboxPost,hitWoodwork,attCmissHighLeft,attSvLowRight,punches,attPostRight,attLfTarget,accuratePullBack,attSvHighRight,penaltyWon,totalPullBack,attPenGoal,attLfGoal,attFreekickTarget,forwardGoals,goalsConcededObox,accurateThroughBall,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attObxdLeft,foulThrowIn,goalAssistDeadball,attPenTarget,attLgCentre,attGoalHighLeft,attFreekickGoal,attObpGoal,attPostHigh,attGoalHighCentre,goalFastbreak,attHdPost,attOboxPost,penaltySave,ownGoals,attIboxOwnGoal,attPenPost
11,1059808,2019-11-02 15:00:00,"Etihad Stadium, Manchester",53922.0,Away,Southampton,Manchester City,1,2,L,1,0,0,0,,54.0,16.0,76.0,2.0,,1.0,2.0,2.0,112.0,1.0,15.0,,2.0,3.0,44.0,118.0,67.0,,3.0,,18.0,,,,4.0,11.0,2.0,76.0,,5.0,17.0,80.0,0.0,58.0,10.0,1.0,,27.0,48.0,2.0,33.0,5.0,4.0,13.0,2.0,,2.0,,118.0,,,19.0,36.0,461.0,2.0,10.0,4.0,11.0,122.0,40.0,,3.0,33.0,,1.0,13.0,,13.0,189.0,34.0,1.0,93100,,60.0,,1.0,,85.0,8.0,13.0,13.0,60.0,,,1.0,15.0,7.0,4.0,,66.0,139.0,9.0,24.0,31.0,,63.0,0.0,1.0,17.0,2.0,2.0,1.0,0.0,1.0,,24.7,9.0,3.0,,,1.0,,21.0,,225.0,11.0,,4.0,7.0,,6.0,,,144.0,3.0,5.0,24.0,33.0,2.0,33.0,20.0,2.0,3.0,3.0,20.0,8.0,,,,,1.0,,,1.0,2.0,,,,1.0,1.0,1.0,,1.0,,,3.0,4.0,,4.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
12,1059819,2019-11-09 15:00:00,"St. Mary's Stadium, Southampton",29754.0,Home,Southampton,Everton,1,2,L,0,1,0,0,,55.0,12.0,24.0,2.0,1.0,1.0,3.0,2.0,137.0,1.0,10.0,4.0,2.0,3.0,77.0,165.0,56.0,1.0,4.0,,27.0,,,,11.0,5.0,2.0,24.0,5.0,4.0,31.0,85.0,0.0,75.0,12.0,,,27.0,50.0,1.0,50.0,,6.0,15.0,3.0,1.0,,1.0,165.0,,,19.0,81.0,547.0,1.0,2.0,8.0,6.0,229.0,27.0,,4.0,9.0,,1.0,9.0,1.0,22.0,319.0,46.0,2.0,93100,,160.0,,5.0,1.0,190.0,3.0,15.0,12.0,75.0,,2.0,6.0,17.0,5.0,4.0,,50.0,244.0,11.0,13.0,19.0,1.0,69.0,0.0,3.0,9.0,2.0,2.0,1.0,0.0,1.0,,47.3,14.0,,,1.0,6.0,,29.0,5.0,345.0,6.0,,14.0,8.0,1.0,17.0,,,166.0,3.0,4.0,24.0,36.0,21.0,9.0,12.0,2.0,1.0,3.0,19.0,9.0,5.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
13,1059823,2019-11-23 15:00:00,"Emirates Stadium, London",60295.0,Away,Southampton,Arsenal,2,2,D,1,1,0,0,,62.0,19.0,21.0,9.0,4.0,11.0,3.0,4.0,132.0,2.0,13.0,3.0,15.0,6.0,57.0,138.0,52.0,,21.0,1.0,15.0,2.0,1.0,4.0,13.0,9.0,2.0,21.0,7.0,2.0,27.0,146.0,0.0,106.0,19.0,2.0,1.0,61.0,48.0,8.0,58.0,3.0,6.0,17.0,10.0,,2.0,7.0,138.0,3.0,1.0,12.0,69.0,540.0,13.0,10.0,35.0,16.0,218.0,27.0,,5.0,7.0,1.0,2.0,4.0,7.0,20.0,293.0,46.0,,91047,5.0,91.0,3.0,3.0,2.0,108.0,8.0,17.0,3.0,79.0,,1.0,4.0,14.0,,,,52.0,235.0,12.0,20.0,21.0,3.0,59.0,0.0,2.0,6.0,3.0,2.0,5.0,0.0,1.0,3.0,39.0,17.0,9.0,4.0,1.0,4.0,4.0,31.0,8.0,316.0,16.0,,17.0,12.0,11.0,23.0,1.0,4.0,221.0,16.0,2.0,9.0,74.0,18.0,7.0,18.0,2.0,15.0,3.0,21.0,8.0,8.0,,3.0,,2.0,,,1.0,3.0,,,,1.0,,,1.0,2.0,1.0,1.0,3.0,2.0,,2.0,2.0,,2.0,1.0,,,,1.0,,,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,3.0,,,,,,,2.0,1.0,,,3.0,,1.0,4.0,,1.0,,1.0,,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14,1059839,2019-11-30 17:30:00,"St. Mary's Stadium, Southampton",26929.0,Home,Southampton,Watford,2,1,W,0,1,0,0,,59.0,26.0,19.0,4.0,2.0,7.0,2.0,1.0,179.0,6.0,20.0,2.0,6.0,6.0,147.0,181.0,59.0,2.0,11.0,1.0,21.0,3.0,,1.0,25.0,11.0,1.0,19.0,6.0,3.0,30.0,229.0,0.0,160.0,6.0,1.0,1.0,107.0,74.0,5.0,75.0,,19.0,18.0,4.0,2.0,5.0,1.0,181.0,2.0,1.0,4.0,147.0,784.0,5.0,7.0,26.0,12.0,416.0,24.0,,7.0,10.0,,1.0,,1.0,41.0,530.0,64.0,1.0,88900,3.0,208.0,1.0,14.0,,232.0,2.0,18.0,3.0,52.0,1.0,2.0,2.0,21.0,2.0,2.0,2.0,57.0,431.0,10.0,7.0,21.0,1.0,95.0,0.0,3.0,7.0,1.0,1.0,1.0,0.0,6.0,,62.8,40.0,6.0,2.0,1.0,2.0,2.0,58.0,6.0,548.0,12.0,,11.0,10.0,3.0,34.0,,2.0,341.0,8.0,2.0,12.0,102.0,25.0,10.0,17.0,1.0,8.0,3.0,27.0,8.0,6.0,1.0,1.0,,2.0,,,,,1.0,,,2.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,3.0,,,1.0,,,,,1.0,,,,,2.0,2.0,1.0,,4.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
15,1059851,2019-12-04 19:30:00,"St. Mary's Stadium, Southampton",27019.0,Home,Southampton,Norwich City,2,1,W,2,0,0,0,,69.0,28.0,15.0,5.0,4.0,9.0,2.0,2.0,168.0,6.0,11.0,1.0,11.0,5.0,78.0,167.0,71.0,,14.0,1.0,28.0,1.0,,2.0,21.0,15.0,2.0,15.0,6.0,5.0,36.0,170.0,0.0,126.0,12.0,1.0,,76.0,51.0,7.0,55.0,1.0,15.0,16.0,5.0,,9.0,2.0,167.0,2.0,,6.0,65.0,582.0,8.0,14.0,35.0,13.0,243.0,16.0,,8.0,4.0,,1.0,2.0,4.0,30.0,350.0,74.0,,88900,5.0,88.0,,4.0,1.0,108.0,6.0,16.0,5.0,61.0,,3.0,1.0,13.0,4.0,2.0,1.0,73.0,252.0,7.0,11.0,35.0,5.0,81.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,4.0,,40.1,22.0,5.0,2.0,2.0,1.0,4.0,40.0,6.0,366.0,13.0,,4.0,18.0,5.0,38.0,2.0,3.0,279.0,7.0,4.0,27.0,68.0,44.0,4.0,27.0,1.0,8.0,3.0,19.0,11.0,6.0,1.0,3.0,1.0,2.0,,,2.0,,1.0,2.0,,1.0,,,1.0,2.0,2.0,1.0,,,,,2.0,,1.0,1.0,,1.0,,,,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
16,1059857,2019-12-08 14:00:00,"St. James' Park, Newcastle",42303.0,Away,Southampton,Newcastle United,1,2,L,0,0,0,0,,57.0,29.0,17.0,6.0,3.0,12.0,4.0,3.0,171.0,5.0,9.0,4.0,9.0,4.0,92.0,171.0,77.0,2.0,19.0,3.0,37.0,1.0,,5.0,25.0,13.0,2.0,17.0,11.0,6.0,33.0,161.0,0.0,124.0,17.0,1.0,,48.0,64.0,4.0,64.0,2.0,14.0,18.0,7.0,2.0,4.0,2.0,171.0,1.0,,7.0,83.0,630.0,5.0,15.0,32.0,7.0,281.0,25.0,,12.0,7.0,,3.0,6.0,5.0,25.0,390.0,61.0,,93100,4.0,141.0,2.0,8.0,,171.0,9.0,18.0,5.0,91.0,1.0,1.0,2.0,17.0,5.0,3.0,1.0,69.0,297.0,11.0,21.0,37.0,10.0,88.0,0.0,,3.0,2.0,2.0,4.0,0.0,2.0,2.0,54.7,21.0,3.0,1.0,,2.0,5.0,48.0,12.0,410.0,7.0,1.0,9.0,20.0,10.0,35.0,3.0,8.0,264.0,11.0,6.0,33.0,73.0,21.0,7.0,24.0,2.0,7.0,2.0,16.0,12.0,12.0,2.0,2.0,1.0,1.0,2.0,,2.0,,,,1.0,1.0,,1.0,3.0,1.0,3.0,3.0,1.0,,,,,,1.0,,1.0,2.0,,1.0,,,,,2.0,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,
17,1059870,2019-12-14 17:30:00,"St. Mary's Stadium, Southampton",27701.0,Home,Southampton,West Ham United,0,1,L,0,1,0,0,,74.0,28.0,24.0,4.0,2.0,7.0,3.0,1.0,182.0,9.0,8.0,1.0,8.0,2.0,110.0,198.0,68.0,1.0,11.0,,31.0,1.0,,2.0,26.0,8.0,1.0,24.0,5.0,4.0,41.0,170.0,0.0,143.0,9.0,2.0,,57.0,55.0,1.0,64.0,,21.0,19.0,4.0,1.0,9.0,3.0,198.0,,,9.0,118.0,701.0,8.0,9.0,23.0,10.0,328.0,26.0,1.0,11.0,9.0,,1.0,3.0,7.0,27.0,451.0,71.0,,93100,6.0,181.0,1.0,11.0,,216.0,6.0,19.0,4.0,69.0,,4.0,3.0,23.0,2.0,1.0,1.0,68.0,342.0,12.0,12.0,41.0,2.0,80.0,0.0,,8.0,3.0,1.0,1.0,0.0,9.0,,57.0,22.0,6.0,,,3.0,,34.0,5.0,474.0,10.0,,7.0,14.0,9.0,39.0,,5.0,284.0,6.0,4.0,34.0,81.0,36.0,9.0,15.0,1.0,8.0,3.0,18.0,10.0,5.0,,,,,,,1.0,2.0,1.0,,,,2.0,,,,3.0,2.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,2.0,,,,,,2.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,4.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
18,1059873,2019-12-21 15:00:00,"Villa Park, Birmingham",41834.0,Away,Southampton,Aston Villa,3,1,W,2,0,0,0,,63.0,26.0,24.0,6.0,4.0,11.0,5.0,5.0,156.0,4.0,6.0,5.0,9.0,8.0,70.0,166.0,54.0,2.0,17.0,2.0,35.0,2.0,,1.0,22.0,13.0,3.0,24.0,4.0,2.0,34.0,116.0,0.0,90.0,15.0,2.0,2.0,49.0,41.0,6.0,44.0,,18.0,16.0,6.0,2.0,4.0,1.0,166.0,1.0,,9.0,71.0,543.0,7.0,9.0,24.0,3.0,219.0,22.0,,7.0,12.0,,1.0,5.0,3.0,21.0,309.0,58.0,,93100,6.0,122.0,2.0,10.0,2.0,150.0,9.0,16.0,8.0,71.0,1.0,3.0,1.0,25.0,10.0,4.0,2.0,77.0,234.0,15.0,13.0,37.0,3.0,76.0,0.0,1.0,7.0,2.0,1.0,3.0,0.0,3.0,2.0,43.5,18.0,4.0,2.0,,1.0,4.0,31.0,5.0,341.0,3.0,,9.0,16.0,5.0,28.0,1.0,4.0,213.0,10.0,1.0,17.0,44.0,25.0,12.0,16.0,,10.0,3.0,6.0,10.0,5.0,3.0,2.0,1.0,3.0,,,4.0,3.0,,1.0,1.0,,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,,1.0,1.0,1.0,,2.0,,3.0,,,,,2.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,2.0,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,
19,1059884,2019-12-26 15:00:00,"Stamford Bridge, London",40651.0,Away,Southampton,Chelsea,2,0,W,1,0,0,0,,87.0,17.0,31.0,1.0,2.0,4.0,3.0,1.0,180.0,1.0,11.0,2.0,3.0,3.0,64.0,197.0,79.0,,5.0,1.0,34.0,1.0,1.0,,8.0,16.0,,31.0,1.0,4.0,31.0,91.0,0.0,84.0,9.0,2.0,1.0,58.0,48.0,3.0,46.0,1.0,7.0,24.0,1.0,,2.0,,197.0,1.0,,6.0,72.0,595.0,1.0,8.0,10.0,9.0,223.0,40.0,,9.0,14.0,1.0,2.0,2.0,,21.0,344.0,62.0,,93100,3.0,138.0,1.0,3.0,1.0,180.0,3.0,24.0,7.0,80.0,,2.0,2.0,25.0,4.0,,,72.0,228.0,9.0,16.0,40.0,1.0,86.0,0.0,3.0,8.0,2.0,,1.0,0.0,1.0,1.0,33.9,16.0,1.0,1.0,,2.0,2.0,35.0,1.0,362.0,9.0,,13.0,13.0,,15.0,,,190.0,2.0,3.0,27.0,34.0,39.0,14.0,32.0,,3.0,3.0,19.0,17.0,1.0,1.0,1.0,1.0,2.0,,,2.0,2.0,,1.0,,1.0,1.0,2.0,1.0,2.0,,,2.0,4.0,,4.0,1.0,,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,
20,1059899,2019-12-28 15:00:00,"St. Mary's Stadium, Southampton",31108.0,Home,Southampton,Crystal Palace,1,1,D,0,0,0,0,,57.0,22.0,11.0,4.0,1.0,10.0,1.0,2.0,147.0,7.0,18.0,3.0,8.0,5.0,122.0,156.0,69.0,1.0,14.0,2.0,28.0,3.0,,,38.0,10.0,1.0,11.0,12.0,1.0,32.0,202.0,0.0,122.0,13.0,1.0,1.0,86.0,43.0,4.0,62.0,2.0,26.0,18.0,4.0,1.0,9.0,1.0,156.0,1.0,,2.0,140.0,682.0,5.0,5.0,27.0,14.0,370.0,21.0,2.0,6.0,3.0,,1.0,,4.0,21.0,459.0,64.0,,93100,6.0,185.0,1.0,15.0,1.0,214.0,11.0,18.0,4.0,73.0,1.0,2.0,4.0,9.0,3.0,3.0,2.0,43.0,380.0,7.0,16.0,19.0,2.0,64.0,0.0,4.0,4.0,1.0,1.0,,0.0,5.0,,59.9,18.0,5.0,,1.0,4.0,5.0,38.0,12.0,471.0,14.0,,6.0,17.0,4.0,42.0,2.0,3.0,295.0,9.0,1.0,24.0,86.0,27.0,3.0,20.0,1.0,10.0,2.0,28.0,8.0,12.0,,3.0,,1.0,2.0,2.0,2.0,,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,1059909,2020-01-01 15:00:00,"St. Mary's Stadium, Southampton",30976.0,Home,Southampton,Tottenham Hotspur,1,0,W,1,0,0,0,1.0,77.0,24.0,37.0,4.0,3.0,8.0,5.0,,155.0,6.0,8.0,1.0,10.0,3.0,64.0,202.0,60.0,,12.0,3.0,20.0,2.0,,2.0,19.0,14.0,,37.0,5.0,9.0,38.0,121.0,0.0,98.0,21.0,1.0,,49.0,71.0,7.0,41.0,,14.0,15.0,4.0,,6.0,1.0,202.0,2.0,1.0,6.0,83.0,583.0,7.0,7.0,18.0,13.0,207.0,27.0,,9.0,15.0,,3.0,4.0,3.0,27.0,320.0,56.0,,93100,6.0,102.0,1.0,7.0,,137.0,13.0,15.0,5.0,80.0,,1.0,1.0,30.0,5.0,3.0,1.0,64.0,217.0,8.0,17.0,29.0,2.0,75.0,0.0,4.0,9.0,3.0,,1.0,0.0,4.0,,40.9,22.0,1.0,,1.0,1.0,5.0,31.0,6.0,343.0,13.0,,15.0,17.0,4.0,25.0,2.0,3.0,225.0,6.0,7.0,21.0,53.0,40.0,15.0,22.0,,10.0,3.0,16.0,8.0,6.0,2.0,2.0,,1.0,,,1.0,,1.0,,1.0,,4.0,1.0,2.0,1.0,3.0,2.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
22,1059917,2020-01-11 15:00:00,"King Power Stadium, Leicester",32115.0,Away,Southampton,Leicester City,2,1,W,1,1,0,0,,67.0,17.0,10.0,5.0,2.0,10.0,4.0,7.0,164.0,5.0,9.0,5.0,12.0,10.0,59.0,199.0,67.0,1.0,16.0,1.0,21.0,5.0,,1.0,17.0,16.0,3.0,10.0,4.0,5.0,32.0,125.0,0.0,102.0,17.0,3.0,2.0,81.0,52.0,8.0,37.0,1.0,13.0,16.0,6.0,1.0,2.0,1.0,199.0,3.0,1.0,4.0,58.0,533.0,9.0,14.0,20.0,13.0,174.0,21.0,,7.0,5.0,,3.0,,4.0,34.0,298.0,65.0,,91047,4.0,61.0,3.0,6.0,1.0,97.0,9.0,16.0,6.0,66.0,,2.0,3.0,16.0,1.0,1.0,,66.0,181.0,8.0,9.0,36.0,2.0,79.0,0.0,2.0,2.0,3.0,1.0,5.0,0.0,4.0,1.0,41.8,24.0,8.0,2.0,1.0,3.0,1.0,29.0,4.0,318.0,13.0,,11.0,15.0,5.0,22.0,1.0,2.0,238.0,12.0,3.0,28.0,54.0,29.0,5.0,23.0,1.0,12.0,3.0,18.0,5.0,4.0,1.0,,1.0,2.0,1.0,,5.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,3.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,3.0,,,,,,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,
23,1059929,2020-01-18 15:00:00,"St. Mary's Stadium, Southampton",31152.0,Home,Southampton,Wolverhampton Wanderers,2,3,L,2,0,0,0,,67.0,27.0,16.0,2.0,3.0,9.0,1.0,,167.0,7.0,9.0,3.0,8.0,5.0,100.0,185.0,54.0,,11.0,,31.0,2.0,,1.0,24.0,8.0,1.0,16.0,1.0,3.0,40.0,161.0,0.0,110.0,13.0,1.0,,74.0,66.0,4.0,56.0,,23.0,15.0,2.0,,8.0,,185.0,,,6.0,79.0,607.0,7.0,13.0,16.0,10.0,269.0,17.0,,9.0,8.0,,2.0,1.0,4.0,32.0,381.0,68.0,1.0,93100,9.0,128.0,,9.0,2.0,151.0,6.0,15.0,8.0,75.0,,2.0,2.0,21.0,2.0,3.0,2.0,80.0,282.0,10.0,18.0,42.0,1.0,88.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,7.0,1.0,52.5,26.0,7.0,,1.0,2.0,1.0,41.0,1.0,402.0,10.0,,2.0,18.0,5.0,31.0,,3.0,275.0,2.0,2.0,21.0,61.0,40.0,8.0,14.0,3.0,8.0,3.0,20.0,10.0,1.0,,1.0,,2.0,,,6.0,,2.0,1.0,,1.0,,1.0,,2.0,6.0,2.0,,1.0,,1.0,,,,,1.0,2.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,2.0,,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,3.0,,,,,,,,,1.0,,,1.0,1.0,,,,
24,1059940,2020-01-21 19:30:00,"Selhurst Park, London",23739.0,Away,Southampton,Crystal Palace,2,0,W,1,0,0,0,,67.0,33.0,16.0,8.0,4.0,6.0,,2.0,199.0,5.0,14.0,,16.0,6.0,78.0,204.0,75.0,,15.0,2.0,31.0,3.0,,2.0,19.0,14.0,1.0,16.0,8.0,6.0,38.0,210.0,0.0,165.0,13.0,,,92.0,68.0,9.0,80.0,2.0,11.0,18.0,9.0,,2.0,4.0,204.0,2.0,,6.0,94.0,681.0,12.0,5.0,18.0,11.0,304.0,25.0,,6.0,6.0,,2.0,1.0,6.0,33.0,426.0,71.0,1.0,93100,3.0,112.0,2.0,9.0,,153.0,5.0,18.0,8.0,79.0,,1.0,4.0,24.0,,2.0,1.0,81.0,317.0,12.0,16.0,36.0,3.0,83.0,0.0,2.0,,,,2.0,0.0,2.0,2.0,55.6,24.0,8.0,,1.0,4.0,3.0,39.0,8.0,451.0,11.0,,10.0,23.0,6.0,33.0,3.0,2.0,317.0,10.0,5.0,28.0,109.0,28.0,6.0,22.0,,12.0,3.0,24.0,8.0,8.0,,1.0,,2.0,1.0,,,,,,,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,1.0,,2.0,3.0,,1.0,1.0,2.0,,2.0,3.0,2.0,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,
25,1059946,2020-02-01 15:00:00,"Anfield, Liverpool",53291.0,Away,Southampton,Liverpool,0,4,L,0,0,0,0,2.0,73.0,22.0,26.0,6.0,3.0,11.0,5.0,3.0,160.0,6.0,10.0,,12.0,4.0,65.0,172.0,52.0,,17.0,3.0,16.0,3.0,,1.0,19.0,11.0,1.0,26.0,10.0,2.0,41.0,119.0,0.0,107.0,15.0,4.0,,59.0,37.0,6.0,45.0,,9.0,22.0,6.0,,2.0,2.0,172.0,,,11.0,51.0,539.0,9.0,7.0,43.0,6.0,187.0,23.0,,3.0,15.0,,2.0,4.0,6.0,14.0,295.0,58.0,,93100,4.0,92.0,,6.0,1.0,116.0,6.0,22.0,4.0,50.0,,5.0,4.0,20.0,5.0,1.0,,68.0,205.0,7.0,8.0,29.0,4.0,82.0,0.0,2.0,6.0,4.0,4.0,4.0,0.0,4.0,1.0,38.5,12.0,8.0,2.0,2.0,4.0,6.0,25.0,11.0,321.0,6.0,,10.0,22.0,7.0,32.0,2.0,5.0,224.0,11.0,2.0,17.0,58.0,31.0,15.0,18.0,3.0,12.0,3.0,14.0,14.0,11.0,1.0,3.0,,,3.0,,1.0,,,1.0,1.0,,2.0,,3.0,,2.0,2.0,1.0,,,,,,2.0,,,1.0,,,,,,,4.0,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
26,1059960,2020-02-15 12:30:00,"St. Mary's Stadium, Southampton",26302.0,Home,Southampton,Burnley,1,2,L,1,1,0,0,2.0,58.0,28.0,10.0,4.0,3.0,6.0,4.0,1.0,212.0,6.0,11.0,,7.0,2.0,110.0,202.0,59.0,,10.0,1.0,23.0,1.0,1.0,2.0,26.0,7.0,,10.0,4.0,5.0,41.0,231.0,0.0,167.0,8.0,1.0,,86.0,69.0,3.0,79.0,,22.0,16.0,4.0,,10.0,2.0,202.0,1.0,1.0,6.0,117.0,731.0,7.0,7.0,29.0,7.0,364.0,25.0,,9.0,5.0,1.0,2.0,,4.0,42.0,489.0,77.0,,93100,3.0,161.0,1.0,12.0,1.0,205.0,1.0,16.0,7.0,55.0,,1.0,3.0,23.0,3.0,5.0,1.0,68.0,386.0,11.0,9.0,33.0,1.0,90.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,6.0,1.0,63.6,36.0,3.0,1.0,,3.0,3.0,47.0,4.0,518.0,7.0,,10.0,21.0,5.0,41.0,,2.0,339.0,5.0,3.0,26.0,115.0,21.0,5.0,11.0,1.0,8.0,3.0,19.0,7.0,4.0,1.0,2.0,,1.0,2.0,,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,2.0,2.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,
