team_code,team_name,gw,is_home,opponent_code,opponent_name,team_score,opponent_score,difficulty,finished
43,Man City,9,False,7,Aston Villa,0,1,4,True
1,Man Utd,9,True,36,Brighton,4,2,3,True
4,Newcastle,9,True,54,Fulham,2,1,3,True
17,Nott'm Forest,9,False,91,Bournemouth,0,2,4,True
6,Spurs,9,False,11,Everton,3,0,3,True
56,Sunderland,9,False,8,Chelsea,2,1,3,True
21,West Ham,9,False,2,Leeds,1,2,3,True
39,Wolves,9,True,90,Burnley,2,3,1,True
3,Arsenal,10,False,90,Burnley,2,0,2,True
7,Aston Villa,10,False,14,Liverpool,0,2,4,True
91,Bournemouth,10,False,43,Man City,1,3,5,True
94,Brentford,10,False,31,Crystal Palace,0,2,3,True
36,Brighton,10,True,2,Leeds,3,0,2,True
90,Burnley,10,True,3,Arsenal,0,2,4,True
8,Chelsea,10,False,6,Spurs,1,0,3,True
31,Crystal Palace,10,True,94,Brentford,2,0,3,True
11,Everton,10,False,56,Sunderland,1,1,3,True
54,Fulham,10,True,39,Wolves,3,0,1,True
2,Leeds,10,False,36,Brighton,0,3,4,True
14,Liverpool,10,True,7,Aston Villa,2,0,3,True
43,Man City,10,True,91,Bournemouth,3,1,3,True
1,Man Utd,10,False,17,Nott'm Forest,2,2,3,True
4,Newcastle,10,False,21,West Ham,1,3,3,True
17,Nott'm Forest,10,True,1,Man Utd,2,2,3,True
6,Spurs,10,True,8,Chelsea,0,1,3,True
56,Sunderland,10,True,11,Everton,1,1,3,True
21,West Ham,10,True,4,Newcastle,3,1,3,True
39,Wolves,10,False,54,Fulham,0,3,3,True
3,Arsenal,11,False,56,Sunderland,2,2,3,True
7,Aston Villa,11,True,91,Bournemouth,4,0,3,True
91,Bournemouth,11,False,7,Aston Villa,0,4,4,True
94,Brentford,11,True,4,Newcastle,3,1,3,True
36,Brighton,11,False,31,Crystal Palace,0,0,3,True
90,Burnley,11,False,21,West Ham,2,3,3,True
8,Chelsea,11,True,39,Wolves,3,0,1,True
31,Crystal Palace,11,True,36,Brighton,0,0,3,True
11,Everton,11,True,54,Fulham,2,0,3,True
54,Fulham,11,False,11,Everton,0,2,3,True
2,Leeds,11,False,17,Nott'm Forest,1,3,3,True
